pattern1,pattern2,pattern3,pattern4
0.45,0.50,0.40,0.60
0.42,0.45,0.38,0.55
0.40,0.42,0.35,0.50
0.45,0.48,0.42,0.52
0.60,0.65,0.55,0.68
0.85,0.90,0.80,0.92
1.15,1.20,1.10,1.25
1.30,1.40,1.25,1.45
1.20,1.30,1.15,1.32
1.05,1.10,1.00,1.15
0.95,1.00,0.90,1.05
0.90,0.95,0.85,0.98
0.88,0.92,0.82,0.95
0.85,0.90,0.80,0.92
0.88,0.95,0.82,0.96
0.92,1.00,0.88,1.02
1.05,1.15,1.00,1.18
1.25,1.35,1.20,1.38
1.35,1.45,1.30,1.50
1.25,1.30,1.20,1.35
1.00,1.10,0.95,1.12
0.80,0.85,0.75,0.90
0.65,0.70,0.60,0.78
0.50,0.55,0.45,0.65
