iteration,timestamp,T1,J1,P1F,V1F,P1
0,2025-11-06 20:48:38.428946,0.0,0.0,0.0,0.0,1
1,2025-11-06 20:48:41.711578,3.1915781497955322,69.21785400515299,212.41648803874583,232.2842845694595,1
2,2025-11-06 20:48:44.633267,3.3316550254821777,67.01101033654372,328.73236898596224,212.03544932859586,1
3,2025-11-06 20:48:47.505384,3.455052375793457,67.0344211337199,327.4984585210045,211.16734020438344,1
4,2025-11-06 20:48:50.514164,3.57745623588562,67.05776264141879,326.26820008935783,210.30293384114884,1
5,2025-11-06 20:48:53.237517,3.6988797187805176,67.08103441002838,325.0416173886758,209.44218388194713,1
6,2025-11-06 20:48:56.174316,3.8193349838256836,67.1042358104584,323.8187435763551,208.58510191601454,1
7,2025-11-06 20:48:58.728193,3.9388341903686523,67.12736690208523,322.5995755228528,207.73165897026047,1
8,2025-11-06 20:49:01.851888,4.057388782501221,67.15042704595434,321.3841469054754,206.88183186621245,1
9,2025-11-06 20:49:04.819234,4.1750102043151855,69.33768234351125,206.10070820493362,225.16721870374568,1
10,2025-11-06 20:49:07.860631,4.307992935180664,69.35579486481392,205.1460534183423,224.13861604150043,1
11,2025-11-06 20:49:11.010046,4.440521240234375,69.3738754846949,204.19308005668367,223.11074929575625,1
12,2025-11-06 20:49:13.713910,4.572588920593262,69.4772295467216,198.74560820124233,220.52786780477618,1
13,2025-11-06 20:49:16.614777,4.721721172332764,69.49720582312092,197.692720667575,219.38144896694212,1
14,2025-11-06 20:49:19.756249,4.870177268981934,69.5171442136874,196.64182997857924,218.2364092482203,1
15,2025-11-06 20:49:22.830051,5.017951965332031,69.53704389744479,195.5929794053673,217.09278341631943,1
16,2025-11-06 20:49:25.775040,5.165041446685791,67.51556598945189,302.13880638354374,197.45089386105974,1
17,2025-11-06 20:49:28.798331,5.295945644378662,67.54119563669666,300.7879472175571,196.4953787171453,1
18,2025-11-06 20:49:31.255463,5.425741195678711,67.56675498918945,299.4407930697896,195.54375755660658,1
19,2025-11-06 20:49:34.190960,5.554442405700684,67.5922434399587,298.0973759318318,194.59606514715233,1
20,2025-11-06 20:49:37.336166,5.68206262588501,67.61766045554623,296.7577239206063,193.65224933721947,1
21,2025-11-06 20:49:40.299963,5.808615207672119,67.64300570989748,295.4218542214374,192.71232171604424,1
22,2025-11-06 20:49:42.441282,5.934113025665283,67.6682785647897,294.0898004730662,191.7762417212998,1
23,2025-11-06 20:49:45.902471,6.058569431304932,67.69347860080633,292.76158478163916,190.84402673684053,1
24,2025-11-06 20:49:49.553054,6.181995868682861,69.644163930567,189.94701490097617,209.04170043991144,1
25,2025-11-06 20:49:53.056337,6.311809062957764,69.66260429034988,188.97508076552478,207.98896898782004,1
26,2025-11-06 20:49:55.906503,6.441100597381592,69.6810085411517,188.00504982240136,206.93725738851754,1
27,2025-11-06 20:49:59.412890,6.569862365722656,69.69937613909094,187.03695073791354,205.88661779356698,1
28,2025-11-06 20:50:02.895412,6.698089599609375,69.71770610314695,186.07083521861583,204.83710814914957,1
29,2025-11-06 20:50:06.207667,6.825774669647217,69.73599770312968,185.10674175056104,203.78876901759213,1
30,2025-11-06 20:50:09.841118,6.952911853790283,69.75425052039324,184.14469239927328,202.74166993431209,1
31,2025-11-06 20:50:13.484045,7.079494953155518,67.87493138031755,283.19777190291757,183.27150968161732,1
