,J1,J2,J3,J4,J5,J5S,J1S,J4S
0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,-0.00016460853140733394,-0.0001662390655190543,-0.00011905268220014253,-0.00011543191352949566,-0.00011887738619129062,0,0,0
2,-0.00015722776882216155,-0.00013893253142666985,-0.00011875230106904722,-0.00011598686619764986,-0.00011860557472879618,0,0,0
3,-0.00015730606595682734,-0.00013912602262129646,-0.00011912182368539303,-0.00011634622564233144,-0.00011897672454634245,0,0,0
4,-0.00015738413135345353,-0.00013931895623105816,-0.00011948886433777783,-0.00011670448663339828,-0.00011934536344381353,0,0,0
5,-0.00015746196350962694,-0.00013951131939631656,-0.00011985344002525711,-0.000117061619883696,-0.00011971150929737995,0,0,0
6,-0.00015753956031885674,-0.0001397030994243681,-0.00012021556723759374,-0.00011741759740476642,-0.00012007517941733158,0,0,0
7,-0.0001576169219820306,-0.00013989428540786273,-0.00012057526348313585,-0.00011777239228049518,-0.0001204363921042495,0,0,0
8,-0.00015769404636011952,-0.00014008486554818844,-0.00012093254520637586,-0.00011812597878311737,-0.00012079516456090621,0,0,0
9,-0.00016500929586995728,-0.00016655771700185452,-0.00012200468828963639,-0.00011847909810880075,-0.00012184182954580236,0,0,0
10,-0.00016506987298319287,-0.0001666108142816841,-0.0001224283866581799,-0.0001190179634853794,-0.00012226630923711234,0,0,0
11,-0.00016513034340245647,-0.00016666372628935112,-0.00012285030379280304,-0.00011955193018290732,-0.00012268901799918907,0,0,0
12,-0.00016547600984197162,-0.00016698899879816459,-0.00012409798907413283,-0.00012008125341639863,-0.00012393129023291038,0,0,0
13,-0.0001655428202624168,-0.00016704645409908569,-0.0001245622836827359,-0.00012064982336639662,-0.00012439676101883902,0,0,0
14,-0.0001656095039743978,-0.00016710374519699644,-0.0001250242150321673,-0.00012121364069963447,-0.0001248598727048189,0,0,0
15,-0.0001656760582319787,-0.0001671608719758913,-0.00012548377376559006,-0.0001217727372582178,-0.0001253206157444431,0,0,0
16,-0.00015891524924423374,-0.00014333937892819032,-0.00012519694819856263,-0.0001223264025732995,-0.00012506060304116496,0,0,0
17,-0.00015900096729705367,-0.0001435406753121468,-0.00012558423871550262,-0.00012269980517879198,-0.0001254496487501966,0,0,0
18,-0.0001590864502490881,-0.0001437414011695473,-0.0001259688184093599,-0.00012307207624079718,-0.00012583595114893598,0,0,0
19,-0.0001591716960716548,-0.0001439415418327647,-0.00012635070401605553,-0.00012344318210073257,-0.00012621952794378944,0,0,0
20,-0.00015925670298010756,-0.00014414108332171688,-0.0001267299122601928,-0.0001238130904977408,-0.00012660039679589284,0,0,0
21,-0.0001593414698844188,-0.00014434001257870727,-0.0001271064604237676,-0.00012418177042721967,-0.00012697857586435712,0,0,0
22,-0.00015942599464909625,-0.00014453831642720434,-0.00012748036496541937,-0.0001245491921889219,-0.0001273540824651309,0,0,0
23,-0.00015951027587146323,-0.0001447359825904268,-0.00012785164320958497,-0.00012491532724548504,-0.00012772693473468987,0,0,0
24,-0.0001660343199169567,-0.00016742368481661386,-0.00012855887269255017,-0.0001252807572939496,-0.00012841382412059676,0,0,0
25,-0.00016609599348341885,-0.00016747758523391,-0.00012896931747358954,-0.00012579524983898194,-0.00012882512142916802,0,0,0
26,-0.0001661575462824566,-0.00016753130034084657,-0.00012937780382083375,-0.00012630496582201334,-0.00012923446850921394,0,0,0
27,-0.00016621897649617828,-0.00016758483011054427,-0.0001297843159518708,-0.00012680994417846368,-0.00012964184938026423,0,0,0
28,-0.00016628028084530539,-0.00016763817397004888,-0.00013018883815502368,-0.00012731022372208854,-0.00013004724814673073,0,0,0
29,-0.0001663414568852334,-0.00016769133166895823,-0.00013059135507512032,-0.00012780584326947287,-0.00013045064925255368,0,0,0
30,-0.0001664025032168223,-0.00016774430335581597,-0.00013099185209546283,-0.00012829684149007258,-0.00013085203788863574,0,0,0
31,-0.00016011714254951458,-0.0001463056574337332,-0.00013074556425077431,-0.00012878262397999663,-0.0001306302065749043,0,0,0
32,0.0,0.0,0.0,0.0,0.0,0,0,0
33,0.0,0.0,0.0,0.0,0.0,0,0,0
34,0.0,0.0,0.0,0.0,0.0,0,0,0
35,0.0,0.0,0.0,0.0,0.0,0,0,0
36,0.0,0.0,0.0,0.0,0.0,0,0,0
37,0.0,0.0,0.0,0.0,0.0,0,0,0
38,0.0,0.0,0.0,0.0,0.0,0,0,0
39,0.0,0.0,0.0,0.0,0.0,0,0,0
40,0.0,0.0,0.0,0.0,0.0,0,0,0
41,0.0,0.0,0.0,0.0,0.0,0,0,0
42,0.0,0.0,0.0,0.0,0.0,0,0,0
43,0.0,0.0,0.0,0.0,0.0,0,0,0
44,0.0,0.0,0.0,0.0,0.0,0,0,0
45,0.0,0.0,0.0,0.0,0.0,0,0,0
46,0.0,0.0,0.0,0.0,0.0,0,0,0
47,0.0,0.0,0.0,0.0,0.0,0,0,0
48,0.0,0.0,0.0,0.0,0.0,0,0,0
49,0.0,0.0,0.0,0.0,0.0,0,0,0
50,0.0,0.0,0.0,0.0,0.0,0,0,0
51,0.0,0.0,0.0,0.0,0.0,0,0,0
52,0.0,0.0,0.0,0.0,0.0,0,0,0
53,0.0,0.0,0.0,0.0,0.0,0,0,0
54,0.0,0.0,0.0,0.0,0.0,0,0,0
55,0.0,0.0,0.0,0.0,0.0,0,0,0
56,0.0,0.0,0.0,0.0,0.0,0,0,0
57,0.0,0.0,0.0,0.0,0.0,0,0,0
58,0.0,0.0,0.0,0.0,0.0,0,0,0
59,0.0,0.0,0.0,0.0,0.0,0,0,0
60,0.0,0.0,0.0,0.0,0.0,0,0,0
