iteration,timestamp,P2
0,2025-11-06 20:54:45.050383,1
1,2025-11-06 20:54:48.119039,1
2,2025-11-06 20:54:51.102341,1
3,2025-11-06 20:54:54.325203,1
4,2025-11-06 20:54:57.003277,1
5,2025-11-06 20:55:00.252423,1
6,2025-11-06 20:55:03.205574,0
7,2025-11-06 20:55:05.857035,0
8,2025-11-06 20:55:08.555085,0
9,2025-11-06 20:55:11.246545,0
10,2025-11-06 20:55:14.186242,0
11,2025-11-06 20:55:17.204517,1
12,2025-11-06 20:55:19.571921,1
13,2025-11-06 20:55:22.190013,1
14,2025-11-06 20:55:24.057718,1
15,2025-11-06 20:55:26.890733,1
16,2025-11-06 20:55:29.633715,0
