iteration,timestamp,J1,P1F,V1F,P1
0,2025-11-06 20:54:45.058425,0.0,0.0,0.0,1
1,2025-11-06 20:54:48.118367,69.21785400515299,212.41648803874583,232.2842845694595,1
2,2025-11-06 20:54:51.117196,69.23635706533213,211.44124915999504,231.23051008610673,1
3,2025-11-06 20:54:54.299694,69.2548267160025,210.46777119276453,230.17766274165297,1
4,2025-11-06 20:54:57.096932,69.27326250796852,209.4960778127615,229.12579468766126,1
5,2025-11-06 20:55:00.202971,69.29166358550646,208.5262141225308,228.07495228107655,1
6,2025-11-06 20:55:03.217933,54.97348105464027,0.0,-4.642810285986343,0
7,2025-11-06 20:55:05.881168,54.91418317567828,0.0,-4.772496736791254,0
8,2025-11-06 20:55:08.501843,54.85474982403344,0.0,-4.891970173162008,0
9,2025-11-06 20:55:11.266226,54.79519595134066,0.0,-5.0019723062177945,0
10,2025-11-06 20:55:14.169838,54.73553461501222,0.0,-5.103204284750973,0
11,2025-11-06 20:55:17.187210,69.27258692416393,209.53168573846202,229.1803973741935,1
12,2025-11-06 20:55:19.565880,69.37675125036071,204.0415073732296,226.5447153229161,1
13,2025-11-06 20:55:22.235563,69.39703842913454,202.972233140271,225.37745324370917,1
14,2025-11-06 20:55:24.078951,69.41728628333851,201.9050315833481,224.21174412215805,1
15,2025-11-06 20:55:26.970244,69.43749454932899,200.83991659829775,223.04755898517215,1
16,2025-11-06 20:55:29.640748,55.5889537732954,0.0,-0.07698150170654117,0
