iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J5S_LEVEL,J1S_LEVEL,J4S_LEVEL,P2_FLOW,P2_STATUS,P1_FLOW,P1_STATUS,V5_FLOW,V5_STATUS,V1_FLOW,V1_STATUS,V4_FLOW,V4_STATUS
0,2025-11-06 20:54:45.013698,3.0509999999999993,3.0509999999999993,69.19931839717133,69.68925869615624,55.463387786006976,54.346450048598385,55.41070702498121,4.115706632533567,69.19931769948928,54.34644958062686,,187.57020975604098,1.0,,213.39344241116004,1.0
1,2025-11-06 20:54:47.421115,3.191578061938476,3.2186313630937082,69.21785400515299,69.7053827446028,55.59668190519423,54.51407420451124,55.54426850300372,4.24926811195471,69.21785331062435,54.51407374060322,186.72036120257368,1.0,212.41648803874583,1.0,130.7858810844209,1.0,232.2842845694595,1.0,155.15348742439983,1.0
2,2025-11-06 20:54:50.411931,3.3316551302543784,3.384807142011733,69.23635706533213,69.7214536189317,55.72940474559958,54.68024288465668,55.67726145879922,4.382261069166601,69.23635637395425,54.680242424780886,185.87331529182416,1.0,211.44124915999504,1.0,130.31217105321957,1.0,231.23051008610673,1.0,153.80491464156876,1.0
3,2025-11-06 20:54:53.523017,3.471224829765587,3.5495385392600243,69.2548267160025,69.73747119758713,55.861551727771726,54.84496729039304,55.80968126516209,4.514680876963498,69.25482602777264,54.84496683451822,185.0290784306228,1.0,210.46777119276453,1.0,129.83256210077343,1.0,230.17766274165297,1.0,152.46679824713283,1.0
4,2025-11-06 20:54:56.371482,3.6102808508230915,3.712836759908192,69.27326250796852,69.75343550174966,55.993118097235346,55.00825862556742,55.94152311301197,4.646522726264865,69.27326182288375,55.008258173662306,184.18764950260817,1.0,209.4960778127615,1.0,129.34711217326367,1.0,229.12579468766126,1.0,151.13913244647392,1.0
5,2025-11-06 20:54:59.355739,3.748816931465122,3.8747129945809093,69.29166358550646,69.76934640928326,56.12409928757916,55.17012807954792,56.072782384522164,4.777781999243898,69.29166290356369,55.17012763158135,183.34903494519028,1.0,208.5262141225308,1.0,128.85586183301712,1.0,228.07495228107655,1.0,149.82188826650145,1.0
6,2025-11-06 20:55:02.543067,3.886826867627368,4.035178410455544,54.97348105464027,54.989538821670344,54.983191158408154,55.33010148496182,54.983684951006566,3.6886851093048216,54.97348106852224,55.3301016651244,0.0,0.0,0.0,0.0,-52.94266461476127,1.0,-4.642810285986343,1.0,-60.25516266845443,1.0
7,2025-11-06 20:55:05.193856,3.830123093545322,3.9706426540899007,54.91418317567828,54.929414623832585,54.92440158143083,55.26556642934973,54.924915408839375,3.6299155680266355,54.91418318994802,55.265566608623296,0.0,0.0,0.0,0.0,-53.239992265048386,1.0,-4.772496736791254,1.0,-59.95783212085826,1.0
8,2025-11-06 20:55:07.826864,3.773100871313096,3.9064253436206795,54.85474982403344,54.869237859354655,54.86544703650732,55.201349762424165,54.86597966160114,3.5709798216081303,54.8547498386604,55.20134994087802,0.0,0.0,0.0,0.0,-53.514150134788,1.0,-4.891970173162008,1.0,-59.683680045736764,1.0
9,2025-11-06 20:55:10.562344,3.7157850157849275,3.842501669124386,54.79519595134066,54.8090146483147,54.80634288836079,55.13742667871476,54.80689310997156,3.51189327073392,54.795195966296525,55.137426856413235,0.0,0.0,0.0,0.0,-53.766780998216746,1.0,-5.0019723062177945,1.0,-59.4310433876899,1.0
10,2025-11-06 20:55:13.469955,3.658198581450064,3.7788485728226133,54.73553461501222,54.74875021543717,54.74710293629422,55.07377412466872,54.747669596827045,3.4526697582850874,54.73553463027077,55.07377430167148,0.0,0.0,0.0,0.0,-53.99945229953573,1.0,-5.103204284750973,1.0,-59.19836339444373,1.0
11,2025-11-06 20:55:16.466312,3.6003629464146654,3.7154446919053745,69.27258692416393,69.75334072756104,55.986582001481786,55.010865634264206,55.93486260654285,4.639862219139779,69.27258623891589,55.01086518289365,184.19264475596322,1.0,209.53168573846202,1.0,129.5664993125456,1.0,229.1803973741935,1.0,150.9603481963495,1.0
12,2025-11-06 20:55:18.884019,3.7391340009493494,3.8771294376232683,69.37675125036071,69.85096716378409,56.37233747891927,55.17260987573219,56.31907426572232,5.024073831341327,69.37675057299334,55.172609390946754,179.04705828124142,1.0,204.0415073732296,1.0,145.27820940998026,1.0,226.5447153229161,1.0,162.13591823543538,1.0
13,2025-11-06 20:55:21.516119,3.894732941014313,4.050783686589109,69.39703842913454,69.86825953168976,56.51644241920093,55.34625701038535,56.46356920097551,5.16856876862553,69.39703775525727,55.34625652949118,178.13563123490349,1.0,202.972233140271,1.0,144.5989410956372,1.0,225.37745324370917,1.0,160.83448756830876,1.0
14,2025-11-06 20:55:23.413504,4.049604359963253,4.2230440441904165,69.41728628333851,69.88550473237227,56.65980314611342,55.51851034708372,56.60732072077505,5.312320290467083,69.41728561294671,55.51850987005621,177.22669022651613,1.0,201.9050315833481,1.0,143.91599030147972,1.0,224.21174412215805,1.0,159.5412881562197,1.0
15,2025-11-06 20:55:26.124906,4.203744315689718,4.3939193311057245,69.43749454932899,69.90270290726211,56.80241740925767,55.68937870554717,56.75032652027991,5.455326092024868,69.4374938824181,55.689378232361754,176.32022780171894,1.0,200.83991659829775,1.0,143.2293946925256,1.0,223.04755898517215,1.0,158.25630261531387,1.0
16,2025-11-06 20:55:28.970990,4.357148895208728,4.5634183492858345,55.5889537732954,55.61599195873373,55.588958670668234,55.858369544419965,55.588977135011476,4.293977220402573,55.588953773525574,55.85836968529603,0.0,0.0,0.0,0.0,-28.558952133721505,1.0,-0.07698150170654117,1.0,-47.11583421396881,1.0
