iteration,timestamp,P2
0,2025-11-06 20:56:27.038908,1
1,2025-11-06 20:56:29.626741,1
2,2025-11-06 20:56:32.636024,1
3,2025-11-06 20:56:35.312443,1
4,2025-11-06 20:56:38.135577,1
5,2025-11-06 20:56:41.103784,0
6,2025-11-06 20:56:43.924162,0
7,2025-11-06 20:56:46.636796,0
8,2025-11-06 20:56:49.601042,0
9,2025-11-06 20:56:52.603077,0
10,2025-11-06 20:56:55.473496,1
11,2025-11-06 20:56:57.974223,1
12,2025-11-06 20:57:01.094495,1
13,2025-11-06 20:57:04.036437,1
14,2025-11-06 20:57:07.092210,1
15,2025-11-06 20:57:09.540173,0
16,2025-11-06 20:57:12.690920,0
17,2025-11-06 20:57:15.555442,0
18,2025-11-06 20:57:18.168074,0
19,2025-11-06 20:57:21.139104,0
20,2025-11-06 20:57:24.059843,1
21,2025-11-06 20:57:27.018120,1
22,2025-11-06 20:57:29.951745,1
23,2025-11-06 20:57:32.840458,1
24,2025-11-06 20:57:35.879944,1
25,2025-11-06 20:57:38.934798,0
26,2025-11-06 20:57:41.745856,0
27,2025-11-06 20:57:44.563520,0
28,2025-11-06 20:57:47.050363,0
29,2025-11-06 20:57:50.012175,0
30,2025-11-06 20:57:52.722029,1
31,2025-11-06 20:57:54.890858,1
32,2025-11-06 20:57:57.871939,1
33,2025-11-06 20:58:00.837323,1
34,2025-11-06 20:58:03.873365,1
35,2025-11-06 20:58:06.605541,0
36,2025-11-06 20:58:09.507446,0
37,2025-11-06 20:58:12.083906,0
38,2025-11-06 20:58:14.688857,0
39,2025-11-06 20:58:17.854401,0
40,2025-11-06 20:58:20.210410,1
41,2025-11-06 20:58:23.290904,1
42,2025-11-06 20:58:26.359136,1
43,2025-11-06 20:58:29.263790,1
44,2025-11-06 20:58:32.297809,1
45,2025-11-06 20:58:35.120865,0
46,2025-11-06 20:58:37.894461,0
47,2025-11-06 20:58:40.652121,0
48,2025-11-06 20:58:43.648612,0
49,2025-11-06 20:58:46.593958,0
50,2025-11-06 20:58:49.686135,1
51,2025-11-06 20:58:52.248252,1
52,2025-11-06 20:58:55.155678,1
53,2025-11-06 20:58:57.937316,1
54,2025-11-06 20:59:00.879475,1
55,2025-11-06 20:59:03.678660,0
56,2025-11-06 20:59:06.587510,0
57,2025-11-06 20:59:09.406104,0
58,2025-11-06 20:59:12.363093,0
59,2025-12-04 17:26:34.076187,0
60,2025-12-04 17:26:38.463561,1
61,2025-12-04 17:26:42.673661,1
62,2025-12-04 17:26:46.816250,1
63,2025-12-04 17:26:50.711050,1
64,2025-12-04 17:26:54.721605,1
65,2025-12-04 17:26:59.559047,0
66,2025-12-04 17:27:03.530472,0
67,2025-12-04 17:27:07.144265,0
68,2025-12-04 17:27:10.062040,0
69,2025-12-04 17:27:13.187554,0
70,2025-12-04 17:27:17.308663,1
71,2025-12-04 17:27:21.433672,1
72,2025-12-04 17:27:26.797960,1
73,2025-12-04 17:27:31.555043,1
74,2025-12-04 17:27:42.068115,1
75,2025-12-04 17:27:46.420884,0
