iteration,timestamp,J1,P1F,V1F,P1
0,2025-11-06 20:56:27.017013,0.0,0.0,0.0,1
1,2025-11-06 20:56:29.605319,69.21785400515299,212.41648803874583,232.2842845694595,1
2,2025-11-06 20:56:32.687787,69.23635706533213,211.44124915999504,231.23051008610673,1
3,2025-11-06 20:56:35.322715,69.2548267160025,210.46777119276453,230.17766274165297,1
4,2025-11-06 20:56:38.146702,69.27326250796852,209.4960778127615,229.12579468766126,1
5,2025-11-06 20:56:41.135100,54.82794826250983,0.0,-5.015650502286917,0
6,2025-11-06 20:56:43.866127,54.76827374749508,0.0,-5.1157872979956664,0
7,2025-11-06 20:56:46.611706,54.70850473620158,0.0,-5.207895650300998,0
8,2025-11-06 20:56:49.623850,54.648651391138614,0.0,-5.29258689141443,0
9,2025-11-06 20:56:52.692259,54.58872256986211,0.0,-5.370414407366297,0
10,2025-11-06 20:56:55.483633,69.25422290328638,210.49959628713017,230.23941019232552,1
11,2025-11-06 20:56:57.964587,69.27267469902812,209.52705939777573,229.18572262824455,1
12,2025-11-06 20:57:01.109937,69.37684428729175,204.0366036853295,226.549495882864,1
13,2025-11-06 20:57:04.112224,69.39713615879484,202.96708211317593,225.3816833149358,1
14,2025-11-06 20:57:07.135476,69.41738865171018,201.89963606417123,224.2154179100453,1
15,2025-11-06 20:57:09.537020,55.43187182698277,0.0,-0.2558874388114418,0
16,2025-11-06 20:57:12.603092,55.39676073787477,0.0,-0.6669489562227682,0
17,2025-11-06 20:57:15.560938,55.360810232541304,0.0,-1.0389895152229656,0
18,2025-11-06 20:57:18.156120,55.32415533492827,0.0,-1.3751295176689382,0
19,2025-11-06 20:57:21.119296,55.286907025682765,0.0,-1.6782488887656655,0
20,2025-11-06 20:57:24.042384,69.41340218269207,202.1097504743165,224.37642137447256,1
21,2025-11-06 20:57:27.084969,69.43357890757134,201.04629792335135,223.21518569810905,1
22,2025-11-06 20:57:29.991341,69.4537268504099,199.98436238442935,222.0555493363463,1
23,2025-11-06 20:57:32.849161,69.47383528674668,198.9245091106097,220.89743695914876,1
24,2025-11-06 20:57:35.886830,69.45384094475413,199.97834882563006,220.48922929116088,1
25,2025-11-06 20:57:38.912715,55.970587123910136,0.0,-1.8298447906772708,0
26,2025-11-06 20:57:41.726335,55.92451718744226,0.0,-2.1308259476882085,0
27,2025-11-06 20:57:44.558989,55.877956926091464,0.0,-2.4064962127567924,0
28,2025-11-06 20:57:47.032492,55.83097094377162,0.0,-2.6586606094269882,0
29,2025-11-06 20:57:50.096221,55.78361532850081,0.0,-2.8890488312072193,0
30,2025-11-06 20:57:52.736838,69.44216582159804,200.59370833404816,221.11297936930896,1
31,2025-11-06 20:57:54.911605,69.46128216787459,199.58614504840304,220.0151947613449,1
32,2025-11-06 20:57:57.806299,69.48036383533463,198.58040957555275,218.91884142405615,1
33,2025-11-06 20:58:00.854021,69.49940627683904,197.57674158108668,217.82390776820648,1
34,2025-11-06 20:58:03.871749,69.51840855649624,196.57519039294823,216.73045173997707,1
35,2025-11-06 20:58:06.631934,56.46591152486971,0.0,-1.4242418035337323,0
36,2025-11-06 20:58:09.503295,56.503280378863224,0.0,1.5569849153962423,0
37,2025-11-06 20:58:12.045768,56.477419996184736,0.0,1.004221806510941,0
38,2025-11-06 20:58:14.701765,56.45066313047897,0.0,0.4935015493856554,0
39,2025-11-06 20:58:17.798113,56.423114428200236,0.0,0.023447922217201267,0
40,2025-11-06 20:58:20.183895,69.58626328311033,192.99877833675424,215.469722470516,1
41,2025-11-06 20:58:23.276165,69.60680170037358,191.91626210272278,214.2846593244485,1
42,2025-11-06 20:58:26.374772,69.62729904175757,190.83591085081127,213.1012302606905,1
43,2025-11-06 20:58:29.289280,69.64775523861022,189.75772819945735,211.91946425233255,1
44,2025-11-06 20:58:32.284434,69.66816946824906,188.68175750969937,210.7394076563196,1
45,2025-11-06 20:58:35.076967,57.16607713502285,0.0,1.3973750566265153,0
46,2025-11-06 20:58:37.938808,57.139954236795475,0.0,0.8565459637566164,0
47,2025-11-06 20:58:40.684910,57.112963501497234,0.0,0.35743812134114705,0
48,2025-11-06 20:58:43.643593,56.92016550134542,0.0,-4.724960587054738,0
49,2025-11-06 20:58:46.624803,56.860894360081794,0.0,-4.847371894811658,0
50,2025-11-06 20:58:49.617591,69.5458540218164,195.128625091504,213.18143357007102,1
51,2025-11-06 20:58:52.248525,69.5634943485811,194.19885821357866,212.17233559241322,1
52,2025-11-06 20:58:55.177862,69.5810979090116,193.27102917502654,211.16430961910737,1
53,2025-11-06 20:58:57.973835,69.5986636821974,192.34519178487142,210.15741359633466,1
