,J1,J2,J3,J4,J5,J5S,J1S,J4S
0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,-0.00016460853140733394,-0.0001662390655190543,-0.00011905268220014253,-0.00011543191352949566,-0.00011887738619129062,0,0,0
2,-0.00016467041467361276,-0.00016629281436804087,-0.00011949657217016685,-0.0001159876627199713,-0.00011932217956151958,0,0,0
3,-0.00016473218620109337,-0.00016634638497027343,-0.00011993853619360562,-0.00011653858154734076,-0.00011976505604491261,0,0,0
4,-0.00016479384449019196,-0.00016639977739648705,-0.00012037855835789424,-0.00011708470748988119,-0.00012020599954782329,0,0,0
5,-0.00011648166161056516,-0.00011652760312553411,-0.00011651913150419135,-0.0001176244391618686,-0.00011652097909893855,0,0,0
6,-0.00011628208089900865,-0.00011632603251014339,-0.00011632094800436698,-0.00011741166651975165,-0.00011632285008776444,0,0,0
7,-0.00011608218414733889,-0.00011612434126313964,-0.00011612235724587916,-0.00011719971827806763,-0.00011612431012272606,0,0,0
8,-0.00011588200534093456,-0.00011592254295151204,-0.00011592339654855843,-0.00011698852885690503,-0.00011592539670473578,0,0,0
9,-0.00011568157410647844,-0.00011572064909942059,-0.00011572409970679876,-0.00011677803763063765,-0.00011572614380361056,0,0,0
10,-0.00016473016675687318,-0.00016634744289834358,-0.00011991426247605962,-0.00011656985942182619,-0.00011974010283482772,0,0,0
11,-0.0001647918785697955,-0.0001664007938087214,-0.00012035507487007656,-0.00011711476008557486,-0.00012018185409279125,0,0,0
12,-0.00016514027252799532,-0.00016672727395358188,-0.00012164546299262779,-0.00011765515611845189,-0.00012146710586923736,0,0,0
13,-0.00016520813845241928,-0.00016678508952102045,-0.00012212763999646214,-0.00011823541825818795,-0.00012195059345271653,0,0,0
14,-0.00016527587267589682,-0.00016684274770148138,-0.0001226073207223838,-0.00011881102930864528,-0.00012243158732455183,0,0,0
15,-0.0001185014768383856,-0.00011858706315206219,-0.00011850162833383804,-0.00011938032394807174,-0.00011850171112218089,0,0,0
16,-0.00011838404821608042,-0.0001184589738994643,-0.00011838494130806121,-0.0001192129836443212,-0.00011838508315454077,0,0,0
17,-0.00011826381217556858,-0.00011832965457648004,-0.00011826584192447586,-0.00011904893163356522,-0.00011826604979791266,0,0,0
18,-0.00011814122030306893,-0.00011819932235679509,-0.00011814463136458342,-0.00011888786705402499,-0.00011814490896583707,0,0,0
19,-0.00011801664377315626,-0.00011806814934452875,-0.00011802157676367442,-0.00011872951059548719,-0.00011802192532070599,0,0,0
20,-0.0001652625399768595,-0.0001668242791910962,-0.0001225372334298308,-0.0001185753190272104,-0.00012236276939289525,0,0,0
21,-0.00016533002079543375,-0.00016688197263865556,-0.00012301332150666588,-0.00011915048559537344,-0.0001228401298128179,0,0,0
22,-0.00016539740535204627,-0.000166939468670253,-0.0001234869522919374,-0.00011972098261523012,-0.00012331503577623913,0,0,0
23,-0.00016546465777976513,-0.0001669968056271337,-0.0001239581142529972,-0.000120286840041674,-0.0001237874757052404,0,0,0
24,-0.0001653977869395329,-0.00016692665027328245,-0.00012403318436822797,-0.00012084798578433642,-0.00012386652919601726,0,0,0
25,-0.00012030320378576542,-0.00012038496710226026,-0.00012030899317797605,-0.00012138208557416985,-0.00012030943813278072,0,0,0
26,-0.00012014912342860312,-0.00012022318580513558,-0.0001201567996636299,-0.00012118824580270582,-0.00012015733116705451,0,0,0
27,-0.00011999340318461032,-0.00012006072018285102,-0.00012000301934347534,-0.00012099683985856313,-0.0001200036364759638,0,0,0
28,-0.00011983625912117601,-0.00011989766619462217,-0.00011984782428767881,-0.00012080766805376897,-0.00011984852505167231,0,0,0
29,-0.00011967787882491476,-0.000119734105746018,-0.00011969136826582571,-0.00012062054407211087,-0.0001196921498404091,0,0,0
30,-0.0001653587396280587,-0.00016688839178532312,-0.00012377716029752739,-0.00012043689331325213,-0.00012361090382220552,0,0,0
31,-0.0001654226740222167,-0.0001669433098597911,-0.00012422262028085107,-0.00012097769537683156,-0.00012405745219212671,0,0,0
32,-0.00016548649243347148,-0.00016699804137330326,-0.00012466585410657316,-0.0001215138838180918,-0.00012450177981992438,0,0,0
33,-0.00016555017965377977,-0.0001670526016088819,-0.0001251068489235435,-0.0001220454925049913,-0.00012494387371297821,0,0,0
34,-0.0001656137325538215,-0.00016710698994971713,-0.00012554559430541067,-0.00012257255528851208,-0.00012538372326668435,0,0,0
35,-0.00012195981039549718,-0.00012205250402120893,-0.0001219634497382277,-0.00012309358781554202,-0.0001219637896089909,0,0,0
36,-0.0001220847900856825,-0.000122190512422162,-0.00012208049682256084,-0.00012289655438613823,-0.0001220804603770159,0,0,0
37,-0.0001219983003413852,-0.00012208832048365065,-0.00012199639476225987,-0.00012274458768384038,-0.00012199639134434059,0,0,0
38,-0.00012190881232006165,-0.00012198536306561702,-0.00012190830120885454,-0.00012259713376675473,-0.00012190830732885404,0,0,0
39,-0.00012181667601112888,-0.00012188172244569667,-0.00012181667440402777,-0.00012245381273371907,-0.00012181670973478775,0,0,0
40,-0.00016584067188567142,-0.0001673130955370866,-0.00012620312420325185,-0.00012231589438843144,-0.00012603853328735202,0,0,0
41,-0.00016590936237958513,-0.00016737165569597701,-0.00012667461000084588,-0.00012288102067016304,-0.00012651134434353561,0,0,0
42,-0.00016597791549606195,-0.0001674300598217593,-0.00012714351386316935,-0.0001234415279975648,-0.00012698157477729176,0,0,0
43,-0.00016604633100450545,-0.00016748830816625036,-0.00012760982925995922,-0.0001239974450013695,-0.0001274492178772757,0,0,0
44,-0.00016611460615473557,-0.00016754640004473464,-0.00012807354994955167,-0.00012454880027977177,-0.00012791426723771814,0,0,0
