iteration,timestamp,T1,J1,P1F,V1F,P1
0,2025-07-08 23:21:18.431778,0.0,0.0,0.0,0.0,1
1,2025-07-08 23:21:20.861839,3.1915781497955322,69.21785400515299,212.41648803874583,232.2842845694595,1
2,2025-07-08 23:21:23.910735,3.3316550254821777,69.23635706533213,211.44124915999504,231.23051008610673,1
3,2025-07-08 23:21:26.825308,3.471224784851074,69.2548267160025,210.46777119276453,230.17766274165297,1
4,2025-07-08 23:21:29.889525,3.610280752182007,69.27326250796852,209.4960778127615,229.12579468766126,1
5,2025-07-08 23:21:32.477584,3.748816967010498,69.29166358550646,208.5262141225308,228.07495228107655,1
6,2025-07-08 23:21:35.219754,3.886826753616333,69.31002962275358,207.55819729728142,227.02516449498944,1
7,2025-07-08 23:21:38.070745,4.024304389953613,69.32835986060236,206.59206734721738,225.97649507019923,1
8,2025-07-08 23:21:41.631547,4.161243915557861,69.34665372511955,205.62785452257833,224.92897877441465,1
9,2025-07-08 23:21:43.818374,4.297638416290283,69.3649105091972,204.66559609282982,223.88266775919874,1
10,2025-07-08 23:21:46.762111,4.433483123779297,69.38312967731427,203.7053202836255,222.83760258687835,1
11,2025-07-08 23:21:49.088722,4.568770885467529,69.40131063423719,202.7470584678768,221.79383540901654,1
12,2025-07-08 23:21:52.228835,4.703496932983398,69.50458691541547,197.30368619956687,219.20685712302657,1
13,2025-07-08 23:21:55.645700,4.854799747467041,69.52463237065476,196.247152463938,218.04809574859974,1
14,2025-07-08 23:21:58.402867,5.005341053009033,69.5446349463425,195.1928787763957,216.89112491117157,1
15,2025-07-08 23:22:01.421652,5.155117511749268,69.5645946744581,194.14086345140512,215.73596199459644,1
16,2025-07-08 23:22:04.741888,5.3041253089904785,69.5845108409597,193.09114412390056,214.58264176658304,1
17,2025-07-08 23:22:07.628950,5.452361106872559,69.60438293025096,192.04374796935818,213.43119320022197,1
18,2025-07-08 23:22:10.078482,5.599822521209717,69.624210693584,190.99868809851145,212.28165685784006,1
19,2025-07-08 23:22:12.861795,5.746505260467529,69.64399349645285,189.95599795420063,211.1340617125279,1
20,2025-07-08 23:22:15.805478,5.892406940460205,69.66373094241104,188.91569843188748,209.9884367373761,1
21,2025-07-08 23:22:18.839595,6.037524223327637,69.6834225972283,187.8778124185013,208.84483408394772,1
22,2025-07-08 23:22:21.858679,6.181853771209717,69.70306795368576,186.84236664797635,207.70325375224274,1
23,2025-07-08 23:22:25.128851,6.325393199920654,69.7226667113403,185.80937695573635,206.56374789382426,1
24,2025-07-08 23:22:27.767945,6.468139171600342,69.70276660008979,186.85825006078485,206.1358674973235,1
25,2025-07-08 23:22:31.097804,6.602248668670654,69.72133036295695,185.87981173173446,205.05722830762352,1
26,2025-07-08 23:22:34.442865,6.735642910003662,67.82870126726901,285.63441768894177,185.59564408974438,1
27,2025-07-08 23:22:37.570453,6.853720188140869,67.85148986725967,284.4333013066754,184.71657154805143,1
28,2025-07-08 23:22:40.890523,6.970468521118164,67.874224233476,283.2350434183428,183.8418797376562,1
29,2025-07-08 23:22:44.086269,7.085921764373779,67.89690150163686,282.03979499131225,182.9716034262674,1
30,2025-07-08 23:22:47.418523,7.20011043548584,58.40040668099259,0.0,-0.25820528605891013,0
31,2025-07-08 23:22:51.105376,7.162065029144287,58.357336909894435,0.0,-0.6862855968847725,0
32,2025-07-08 23:22:53.815133,7.122996807098389,58.31337468880991,0.0,-1.0804181374624022,0
33,2025-07-08 23:22:57.702386,7.082983016967773,58.268642132362274,0.0,-1.4429178577302082,0
34,2025-07-08 23:23:00.789196,7.042097091674805,58.223242202524894,0.0,-1.7759026906105646,0
35,2025-07-08 23:23:03.952093,7.00040864944458,58.177263220169806,0.0,-2.081371779354413,0
36,2025-07-08 23:23:06.874579,6.957981109619141,58.215935573921065,0.0,0.8150362168635183,0
37,2025-07-08 23:23:09.925703,6.934922695159912,58.188879578863265,0.0,0.31922261484851333,0
38,2025-07-08 23:23:12.578891,6.91066837310791,58.1610552295947,0.0,-0.13609819575322035,0
39,2025-07-08 23:23:15.599868,6.885326862335205,58.13229940168385,0.0,-0.5441262305794226,0
40,2025-07-08 23:23:18.813002,6.859010219573975,58.10270828750442,0.0,-0.9064260365221344,0
41,2025-07-08 23:23:21.758545,6.831822872161865,58.07243918801058,0.0,-1.2273377825522402,0
42,2025-07-08 23:23:24.661559,6.803861618041992,58.041617208895424,0.0,-1.5108047062994956,0
43,2025-07-08 23:23:27.470711,6.775214672088623,58.01034386490432,0.0,-1.760494801033019,0
44,2025-07-08 23:23:30.328968,6.745961666107178,57.97870220359121,0.0,-1.9798384806790637,0
45,2025-07-08 23:23:32.784605,6.716175079345703,57.946760002712914,0.0,-2.172037271748195,0
46,2025-07-08 23:23:35.841419,6.685919284820557,57.91457236572526,0.0,-2.3400725052624693,0
47,2025-07-08 23:23:39.536549,6.655252933502197,57.882184407808396,0.0,-2.486653165192365,0
48,2025-07-08 23:23:43.772733,6.624227523803711,57.675721088428226,0.0,-6.337765058788136,0
49,2025-07-08 23:23:46.471345,6.5634307861328125,57.61515748020273,0.0,-6.327317362320173,0
50,2025-07-08 23:23:49.362830,6.502659797668457,57.5545996109069,0.0,-6.317773626278722,0
51,2025-07-08 23:23:52.332374,6.441912651062012,57.49404697270874,0.0,-6.309049828701063,0
52,2025-07-08 23:23:56.235863,6.381187438964844,57.433499342619164,0.0,-6.301070639551654,0
53,2025-07-08 23:23:58.990736,6.32048225402832,57.37295620748149,0.0,-6.293775215340247,0
54,2025-07-08 23:24:02.652504,6.25979471206665,57.312417146877884,0.0,-6.287114301812835,0
55,2025-07-08 23:24:06.963359,6.199123859405518,57.25188195380954,0.0,-6.281021260861053,0
56,2025-07-08 23:24:10.221668,6.138468265533447,57.191350196221826,0.0,-6.275449735539951,0
57,2025-07-08 23:24:12.969690,6.077826499938965,57.130821643224536,0.0,-6.27035336890458,0
58,2025-07-08 23:24:15.716222,6.017197132110596,57.070295983983925,0.0,-6.265691598628109,0
59,2025-07-08 23:24:18.188000,5.956579685211182,57.00977308136295,0.0,-6.2614354516199455,0
60,2025-07-08 23:24:21.425250,5.895972728729248,67.35464819262076,310.6202840544534,194.28673684274145,1
61,2025-07-08 23:24:24.760055,5.9725799560546875,67.37035827686726,309.7922542692542,193.7023843731822,1
62,2025-07-08 23:24:28.041418,6.04844856262207,67.38600299644833,308.96766965271456,193.12164774532903,1
63,2025-07-08 23:24:31.392218,6.12359619140625,67.401582259639,308.14653503937194,192.54449219147318,1
64,2025-07-08 23:24:35.199733,6.198038578033447,67.41709569303885,307.32887011000435,191.97084817619725,1
65,2025-07-08 23:24:38.148026,6.271790504455566,67.4325431320549,306.5146835397961,191.40069831564688,1
66,2025-07-08 23:24:41.276328,6.34486722946167,67.44792413871728,305.7039984127791,190.833990458259,1
