,J1,J2,J3,J4,J5
0,0.0,0.0,0.0,0.0,0.0
1,-0.001723081758130744,-0.0017872663751431843,-0.00031190500632077953,-0.00011750485183069426,-0.0003057784554602394
2,-0.00108653436648541,-0.0011239885077690358,-0.00023556853183974379,-0.00012185026193746729,-0.0002318969952917982
3,-0.0007380983223405946,-0.0007618023509584759,-0.0001950280559933637,-0.00012512364717345292,-0.00019270054967771344
4,-0.0005792286893070425,-0.00039927092692307043,-0.00017763212087150036,-0.0001276556842715787,-0.0001759193853639307
5,-0.0001390733404474806,-0.00013949017478387225,-0.00012902449612479106,-0.0001293443539435274,-0.00012897670694151042
6,-0.00013909515615762396,-0.00013950598137599745,-0.0001291603065645619,-0.00012944399464013602,-0.00012911378540104046
7,-0.0001391166977947797,-0.0001395217967138085,-0.00012929327235047027,-0.00012954476391501712,-0.0001292479567900695
8,-0.00013913797460685272,-0.00013953761385677887,-0.00012942351028028765,-0.00012964652117794628,-0.00012937933884007213
9,-0.00013915899594219182,-0.00013955342578798822,-0.00012955113772332493,-0.00012974912300080742,-0.00012950804997289734
10,-0.00013917977112226643,-0.00013956922536885184,-0.00012967627169804707,-0.00012985242366932658,-0.00012963420841233586
11,-0.00013920030929878173,-0.00013958500532780304,-0.00012979902761015905,-0.00012995627587061685,-0.00012975793095615918
12,-0.00013937303835688335,-0.0001397630614719944,-0.00013014057795530387,-0.00013006063146520918,-0.00013010192093456107
13,-0.00013940170565899927,-0.000139786971034008,-0.00013030378474970626,-0.0001302316822853322,-0.0001302656363708088
14,-0.0001394301706601883,-0.0001398106971856064,-0.00013046507397255713,-0.00013040014705340274,-0.00013042743580299443
15,-0.00013945843152487507,-0.0001398342409199102,-0.00013062444304626997,-0.00013056607660814069,-0.000130587316067845
16,-0.00013948648655966165,-0.00013985760318476953,-0.00013078189086171866,-0.00013072951993217728,-0.00013074527546771852
17,-0.00013951433422535256,-0.00013988078489125228,-0.00013093741786594893,-0.00013089052413790825,-0.00013090131388378
18,-0.0001395419731334181,-0.00013990378690515587,-0.00013109102599144327,-0.00013104913445334654,-0.00013105543268546071
19,-0.00013956940203467674,-0.00013992661004276317,-0.00013124271857972714,-0.00013120539421646371,-0.00013120763466821118
20,-0.00013959661981222143,-0.00013994925506942784,-0.00013139250030780425,-0.00013135934487236046,-0.00013135792398559552
21,-0.00013962362547222427,-0.00013997172268401248,-0.00013154037709195708,-0.0001315110259987312,-0.00013150630604743307
22,-0.00013724303516433,-0.0001344256889348938,-0.00013154756727085104,-0.00013166035665766295,-0.00013152022142106978
23,-0.00013727730463491294,-0.0001344592383421228,-0.00013163965206554383,-0.00013169297960222037,-0.00013161405044674555
24,-0.00013716219560701182,-0.00013425254540739423,-0.00013162612031656417,-0.00013173193129400738,-0.00013160315766249097
25,-0.0001310015305323256,-0.00013102608502995992,-0.00013103337674199412,-0.00013174703136713262,-0.0001310348866276423
26,-0.00013083590990882493,-0.00013085967838688317,-0.0001308684353337508,-0.00013157576626214473,-0.00013086997138289202
27,-0.00013703208442739228,-0.00013403375123891058,-0.00013137064543871814,-0.00013140510738512468,-0.0001313487378804823
28,-0.00013956646577958725,-0.00013989646508544035,-0.000131552211880796,-0.00013143116923467645,-0.00013152469618475936
29,-0.00013711503638756393,-0.000134157368828845,-0.00013154991830417073,-0.0001315783357084288,-0.00013152871774027464
30,-0.0001371359482348952,-0.0001341805150079242,-0.00013160305766005798,-0.00013160420410884222,-0.0001315834923243797
31,-0.00013096997740357663,-0.00013098441525625587,-0.0001310121666118852,-0.0001316372664059856,-0.00013101407162937394
32,-0.00013080271612506245,-0.00013081741927957883,-0.00013084457838449305,-0.00013147225151530716,-0.00013084647099221856
33,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0
