iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,P2_FLOW,P2_STATUS,P2_SPEED,P1_FLOW,P1_STATUS,P1_SPEED
0,2025-12-04 18:36:10.220314,3.0509999999999993,3.0509999999999993,240.15512436674652,247.3066437079432,75.74753667438485,54.35352791778177,75.04447050173961,705.0135629205676,1.0,1.0,776.5287563325345,1.0,1.0
1,2025-12-04 18:36:12.412190,3.7488537004112046,3.818698586073316,535.2004315069282,554.3915942159321,113.25941330800093,55.13388153639945,111.42757820720368,1172.776038560452,1.0,1.5,1280.5736986297156,1.0,1.5
2,2025-12-04 18:36:15.228483,4.947695664798945,5.126252250247117,344.87313606522235,356.07190226382056,90.4348523691683,56.43315660010674,89.3370651017664,891.134147801495,1.0,1.2,979.5657595651838,1.0,1.2
3,2025-12-04 18:36:17.633063,5.846812535649313,6.109490593412919,240.69096394882467,247.77845455380796,78.31327395237902,57.41189685939453,77.61735093335894,700.29545446192,1.0,1.0,771.170360511753,1.0,1.0
4,2025-12-04 18:36:20.489036,6.540597680044198,6.870465351466659,193.1890371793795,139.38177214609587,73.11189958975986,58.16897446103735,72.5997926811789,0.0,0.0,0.5,1130.7930854708034,1.0,1.0
5,2025-12-04 18:36:23.426662,7.122081098267065,7.378867361891597,61.58284693761385,61.70748015931328,58.57824840017872,58.673885699281094,58.563959462890715,88.04158725493755,1.0,0.5,98.01224499089221,1.0,0.5
6,2025-12-04 18:36:26.323083,7.170321149642852,7.408659485024776,61.58936982209613,61.71220632085857,58.61885564188228,58.70367820897944,58.604945841555505,87.66349433131428,1.0,0.5,97.49041423230885,1.0,0.5
7,2025-12-04 18:36:29.233437,7.217259855581068,7.438789097796422,61.59581075894102,61.71693509722759,58.65861233326154,58.73380816321545,58.64506300797817,87.28519222179149,1.0,0.5,96.97513928471862,1.0,0.5
8,2025-12-04 18:36:31.997511,7.262946049103186,7.46921416474732,61.60217251358223,61.721664414136754,58.69755339682344,58.76423352432108,58.684346162897015,86.90684686905962,1.0,0.5,96.46619891342114,1.0,0.5
9,2025-12-04 18:36:34.196199,7.307429349723244,7.499891804602883,61.60845788024813,61.726392171688566,58.73571392803057,58.794911409156704,58.7228307162654,86.52862626491428,1.0,0.5,95.9633695801496,1.0,0.5
10,2025-12-04 18:36:37.148564,7.350760004104762,7.530778449519233,61.61466964703996,61.73111623704404,58.7731289131596,58.825798248425976,58.76055201456641,86.15070103647676,1.0,0.5,95.46642823680324,1.0,0.5
11,2025-12-04 18:36:40.118225,7.392988680910797,7.561830053458991,61.62081054962501,61.73583443570139,58.80983285775127,58.85684999514286,58.79754498197746,85.77324514388852,1.0,0.5,94.97515602999952,1.0,0.5
12,2025-12-04 18:36:42.903156,7.434166204448072,7.593002366677197,61.672456436379996,61.78907311830604,58.911956210534775,58.88805225658295,58.90039778464522,81.51415053551673,1.0,0.5,90.84348508959992,1.0,0.5
13,2025-12-04 18:36:45.748534,7.486572438344278,7.644147849379101,61.68102794284882,61.79622206294613,58.960754946079724,58.93919635134522,58.94934860245739,80.94223496431005,1.0,0.5,90.15776457209435,1.0,0.5
14,2025-12-04 18:36:48.633813,7.538404964995523,7.694520058702379,61.68953896139791,61.80331616866132,59.00898032842188,58.98956721752293,58.997726537956545,80.3747065070947,1.0,0.5,89.47688308816791,1.0,0.5
15,2025-12-04 18:36:51.580976,7.589658462205906,7.744134198415913,61.69798894333005,61.81035573140268,59.05663158742,59.039180056913956,59.045530642780086,79.8115414877854,1.0,0.5,88.80088453359566,1.0,0.5
16,2025-12-04 18:36:54.049749,7.640328186281265,7.79300491547687,61.70637738212335,61.817341034806056,59.10370839169183,59.088049514566606,59.09276041136205,79.25271721551591,1.0,0.5,88.12980943013198,1.0,0.5
17,2025-12-04 18:36:56.830377,7.690409970735039,7.841146298699561,61.71470381785287,61.82427235120612,59.15021087455401,59.136189677440974,59.139415805748826,78.69821190351082,1.0,0.5,87.4636945717701,1.0,0.5
18,2025-12-04 18:36:59.496554,7.73990022901491,7.88857187305466,61.72296783506052,61.8311499397705,59.19613961366325,59.183614068712764,59.18549723617326,78.14800481835995,1.0,0.5,86.80257319515748,1.0,0.5
19,2025-12-04 18:37:02.452231,7.788795953957591,7.935294597535088,61.73116906036396,61.83797404477756,59.24149560860228,59.23033564564344,59.2310055395436,77.60207641779553,1.0,0.5,86.1464751708827,1.0,0.5
20,2025-12-04 18:37:05.317561,7.837094713925177,7.981326866644684,61.73930715986177,61.8447448940693,59.28628025682193,59.276366801073024,59.27594195623967,77.06040847445585,1.0,0.5,85.4954272110582,1.0,0.5
21,2025-12-04 18:37:08.016353,7.8847946456468945,8.026680515606742,61.74738183641112,61.851462697723086,59.33049532845721,59.32171936863191,59.32030810571262,76.52298418215352,1.0,0.5,84.84945308711032,1.0,0.5
22,2025-12-04 18:37:10.416433,7.931894443874129,8.071366829076007,61.035586735467604,60.19320187104516,59.33264518784469,59.36636914760933,59.324468795036765,0.0,0.0,0.0,120.89653058129612,1.0,0.5
23,2025-12-04 18:37:12.656304,7.970575602894033,8.081120167757431,61.04583328698454,60.203233124011405,59.36017848697299,59.37612338942696,59.35252361818306,0.0,0.0,0.0,120.48666852061817,1.0,0.5
24,2025-12-04 18:37:15.540560,8.006921935360985,8.092769353547093,61.01141575523586,60.141432058122284,59.35613250223894,59.38776992195898,59.34926668208599,0.0,0.0,0.0,121.8633697905655,1.0,0.5
25,2025-12-04 18:37:18.450480,8.033098862912025,8.097334838676227,59.16938052407013,59.17672230427945,59.178902521634186,59.392284835069134,59.179353977069795,0.0,0.0,0.0,0.0,0.0,0.0
26,2025-12-04 18:37:20.772678,7.984528748158061,8.046126437530026,59.11986005504714,59.12696681605491,59.129585137808995,59.341076669123105,59.130044416272305,0.0,0.0,0.0,0.0,0.0,0.0
27,2025-12-04 18:37:23.448541,7.935828422118042,7.995048248918718,60.972512589070476,60.07601273047922,59.27974566352382,59.290049765721626,59.27319531681995,0.0,0.0,0.0,123.41949643718088,1.0,0.5
28,2025-12-04 18:37:25.965635,7.960481334989781,8.002804425925449,61.73029112203678,61.828960719987165,59.33403392324401,59.29784224305198,59.32580674669233,78.32314240102617,1.0,0.5,86.21671023705754,1.0,0.5
29,2025-12-04 18:37:28.773990,7.992893271800071,8.046843423461565,60.99731517634721,60.112974317367815,59.33334814521581,59.341844932123095,59.32700918921094,0.0,0.0,0.0,122.42739294611174,1.0,0.5
30,2025-12-04 18:37:31.727534,8.016506030992428,8.054577169543268,61.0035678067275,60.11989501125914,59.349236781039124,59.34957956846233,59.3433867570679,0.0,0.0,0.0,122.17728773089995,1.0,0.5
31,2025-12-04 18:37:34.316107,8.037649980173592,8.064511852468916,59.159946157234025,59.16426306680959,59.172560705909234,59.359465176393,59.1731303038836,0.0,0.0,0.0,0.0,0.0,0.0
32,2025-12-04 18:37:36.924851,7.987210722575527,8.015172594469687,59.10993513331167,59.114331367901755,59.12245192437611,59.3101258205581,59.123017812275116,0.0,0.0,0.0,0.0,0.0,0.0
