iteration,timestamp,T2,P2,ScadaCommand_P2
0,2025-12-25 16:34:31.912694,0.0,1,1.0
1,2025-12-25 16:34:36.398506,0.0,1,1.0
2,2025-12-25 16:34:40.579424,0.0,1,1.0
3,2025-12-25 16:34:44.779907,0.0,1,1.0
4,2025-12-25 16:34:49.086277,0.0,1,1.0
5,2025-12-25 16:34:53.283912,0.0,1,1.0
6,2025-12-25 16:34:57.168970,0.0,1,1.0
7,2025-12-25 16:35:01.504591,0.0,1,1.0
8,2025-12-25 16:35:05.895106,0.0,1,1.0
9,2025-12-25 16:35:09.648853,0.0,1,1.0
10,2025-12-25 16:35:13.544293,0.0,1,1.0
11,2025-12-25 16:35:18.153379,0.0,1,1.0
12,2025-12-25 16:35:22.152590,0.0,1,1.0
13,2025-12-25 16:35:26.350463,0.0,1,1.0
14,2025-12-25 16:35:30.647473,0.0,1,1.0
15,2025-12-25 16:35:34.962612,0.0,1,1.0
16,2025-12-25 16:35:39.426941,0.0,1,1.0
17,2025-12-25 16:35:42.946715,0.0,1,1.0
18,2025-12-25 16:35:47.563332,0.0,1,0.0
19,2025-12-25 16:35:52.194511,0.0,0,0.0
20,2025-12-25 16:35:56.778739,0.0,0,0.0
21,2025-12-25 16:36:01.348441,0.0,0,0.0
22,2025-12-25 16:36:06.040064,0.0,0,0.0
23,2025-12-25 16:36:11.231480,0.0,0,0.0
24,2025-12-25 16:36:15.907486,0.0,0,0.0
25,2025-12-25 16:36:20.302121,0.0,0,0.0
26,2025-12-25 16:36:24.752419,0.0,0,0.0
27,2025-12-25 16:36:29.532746,0.0,0,0.0
28,2025-12-25 16:36:34.130567,0.0,0,0.0
29,2025-12-25 16:36:38.460234,0.0,0,0.0
30,2025-12-25 16:36:42.992797,0.0,0,0.0
31,2025-12-25 16:36:48.142939,0.0,0,0.0
32,2025-12-25 16:36:52.661330,0.0,0,0.0
33,2025-12-25 16:36:56.806377,0.0,0,0.0
34,2025-12-25 16:37:01.130756,0.0,0,0.0
35,2025-12-25 16:37:05.726783,0.0,0,0.0
36,2025-12-25 16:37:09.745085,0.0,0,0.0
37,2025-12-25 16:37:14.296310,0.0,0,0.0
38,2025-12-25 16:37:19.380026,0.0,0,0.0
39,2025-12-25 16:37:23.763923,0.0,0,0.0
40,2025-12-25 16:37:28.614470,0.0,0,0.0
41,2025-12-25 16:37:33.267711,0.0,0,0.0
42,2025-12-25 16:37:37.623640,0.0,0,0.0
43,2025-12-25 16:37:42.205555,0.0,0,0.0
44,2025-12-25 16:37:47.421543,0.0,0,0.0
45,2025-12-25 16:37:51.707764,0.0,0,0.0
46,2025-12-25 16:37:56.005916,0.0,0,0.0
47,2025-12-25 16:37:59.952237,0.0,0,0.0
48,2025-12-25 16:38:04.310066,0.0,0,0.0
49,2025-12-25 16:38:08.593881,0.0,0,0.0
50,2025-12-25 16:38:12.217373,0.0,0,0.0
51,2025-12-25 16:38:16.382715,0.0,0,0.0
52,2025-12-25 16:38:20.998607,0.0,0,0.0
53,2025-12-25 16:38:25.654473,0.0,0,0.0
54,2025-12-25 16:38:29.856340,0.0,0,0.0
55,2025-12-25 16:38:34.213051,0.0,0,0.0
56,2025-12-25 16:38:39.214609,0.0,0,0.0
57,2025-12-25 16:38:44.713881,0.0,0,0.0
58,2025-12-25 16:38:49.034138,0.0,0,0.0
59,2025-12-25 16:38:53.656969,0.0,0,0.0
60,2025-12-25 16:38:57.650063,0.0,0,0.0
61,2025-12-25 16:39:02.164388,0.0,0,0.0
62,2025-12-25 16:39:06.435773,0.0,0,0.0
63,2025-12-25 16:39:10.403891,0.0,0,0.0
64,2025-12-25 16:39:14.592551,0.0,0,0.0
65,2025-12-25 16:39:18.825440,0.0,0,0.0
66,2025-12-25 16:39:23.172259,0.0,0,0.0
67,2025-12-25 16:39:27.816679,0.0,0,0.0
68,2025-12-25 16:39:31.700974,0.0,0,0.0
69,2025-12-25 16:39:35.999090,0.0,0,0.0
70,2025-12-25 16:39:40.820704,0.0,0,0.0
71,2025-12-25 16:39:44.886257,0.0,0,0.0
72,2025-12-25 16:39:50.001590,0.0,0,0.0
73,2025-12-25 16:39:54.683596,0.0,0,0.0
74,2025-12-25 16:39:59.503847,0.0,0,0.0
75,2025-12-25 16:40:03.915519,0.0,0,0.0
76,2025-12-25 16:40:08.185695,0.0,0,0.0
77,2025-12-25 16:40:12.834134,0.0,0,0.0
78,2025-12-25 16:40:18.084677,0.0,0,0.0
79,2025-12-25 16:40:23.076128,0.0,0,0.0
80,2025-12-25 16:40:27.692546,0.0,0,0.0
81,2025-12-25 16:40:32.445848,0.0,0,0.0
82,2025-12-25 16:40:37.174079,0.0,0,0.0
83,2025-12-25 16:40:42.131517,0.0,0,0.0
84,2025-12-25 16:40:46.855342,0.0,0,0.0
85,2025-12-25 16:40:51.727164,0.0,0,0.0
86,2025-12-25 16:40:57.320587,0.0,0,0.0
87,2025-12-25 16:41:02.527363,0.0,0,0.0
88,2025-12-25 16:41:07.510905,0.0,0,0.0
89,2025-12-25 16:41:12.159483,0.0,0,0.0
90,2025-12-25 16:41:17.162230,0.0,0,0.0
91,2025-12-25 16:41:21.513181,0.0,0,0.0
92,2025-12-25 16:41:25.539977,0.0,0,0.0
93,2025-12-25 16:41:30.821486,0.0,0,0.0
94,2025-12-25 16:41:35.027973,0.0,0,0.0
95,2025-12-25 16:41:39.733469,0.0,0,0.0
96,2025-12-25 16:41:43.973515,0.0,0,0.0
97,2025-12-25 16:41:48.943660,0.0,0,0.0
98,2025-12-25 16:41:54.009382,0.0,0,0.0
99,2025-12-25 16:41:59.108790,0.0,0,0.0
100,2025-12-25 16:42:03.771693,0.0,0,0.0
101,2025-12-25 16:42:08.382749,0.0,0,0.0
102,2025-12-25 16:42:13.338112,0.0,0,0.0
103,2025-12-25 16:42:17.917324,0.0,0,0.0
104,2025-12-25 16:42:22.861348,0.0,0,0.0
105,2025-12-25 16:42:27.931154,0.0,0,0.0
106,2025-12-25 16:42:32.821546,0.0,0,0.0
107,2025-12-25 16:42:37.053181,0.0,0,0.0
108,2025-12-25 16:42:42.297694,0.0,0,0.0
109,2025-12-25 16:42:46.736971,0.0,0,0.0
110,2025-12-25 16:42:51.146014,0.0,0,0.0
111,2025-12-25 16:42:55.585803,0.0,0,0.0
112,2025-12-25 16:42:59.773142,0.0,0,0.0
113,2025-12-25 16:43:04.733188,0.0,0,0.0
114,2025-12-25 16:43:09.766605,0.0,0,0.0
115,2025-12-25 16:43:14.470729,0.0,0,0.0
116,2025-12-25 16:43:19.049630,0.0,0,0.0
117,2025-12-25 16:43:24.322391,0.0,0,0.0
118,2025-12-25 16:43:28.956755,0.0,0,0.0
119,2025-12-25 16:43:33.314612,0.0,0,0.0
120,2025-12-25 16:43:38.245662,0.0,0,0.0
121,2025-12-25 16:43:42.698462,0.0,0,0.0
122,2025-12-25 16:43:47.512940,0.0,0,0.0
123,2025-12-25 16:43:51.673360,0.0,0,0.0
124,2025-12-25 16:43:56.507621,0.0,0,0.0
125,2025-12-25 16:44:01.502988,0.0,0,0.0
126,2025-12-25 16:44:05.492544,0.0,0,0.0
127,2025-12-25 16:44:09.903198,0.0,0,0.0
128,2025-12-25 16:44:14.572010,0.0,0,0.0
129,2025-12-25 16:44:18.739661,0.0,0,0.0
130,2025-12-25 16:44:23.324564,0.0,0,0.0
131,2025-12-25 16:44:27.372519,0.0,0,0.0
132,2025-12-25 16:44:31.757797,0.0,0,0.0
133,2025-12-25 16:44:36.262818,0.0,0,0.0
134,2025-12-25 16:44:40.013346,0.0,0,0.0
135,2025-12-25 16:44:44.178068,0.0,0,0.0
136,2025-12-25 16:44:48.438624,0.0,0,0.0
137,2025-12-25 16:44:52.456159,0.0,0,0.0
138,2025-12-25 16:44:56.521550,0.0,0,0.0
139,2025-12-25 16:45:00.687866,0.0,0,0.0
140,2025-12-25 16:45:05.355941,0.0,0,0.0
141,2025-12-25 16:45:09.641809,0.0,0,0.0
142,2025-12-25 16:45:14.328915,0.0,0,0.0
143,2025-12-25 16:45:18.216735,0.0,0,0.0
144,2025-12-25 16:45:22.481623,0.0,0,0.0
145,2025-12-25 16:45:26.689430,0.0,0,0.0
146,2025-12-25 16:45:31.205806,0.0,0,0.0
147,2025-12-25 16:45:35.525980,0.0,0,0.0
148,2025-12-25 16:45:39.949583,0.0,0,0.0
149,2025-12-25 16:45:44.305040,0.0,0,0.0
150,2025-12-25 16:45:48.625147,0.0,0,0.0
151,2025-12-25 16:45:53.261661,0.0,0,0.0
152,2025-12-25 16:45:57.428320,0.0,0,0.0
153,2025-12-25 16:46:01.856746,0.0,0,0.0
154,2025-12-25 16:46:06.575269,0.0,0,0.0
155,2025-12-25 16:46:11.036667,0.0,0,0.0
156,2025-12-25 16:46:15.000828,0.0,0,0.0
157,2025-12-25 16:46:19.775458,0.0,0,0.0
158,2025-12-25 16:46:23.998606,0.0,0,0.0
159,2025-12-25 16:46:28.165820,0.0,0,0.0
