iteration,timestamp,error_flag,P2,ScadaCommand_P2,ScadaCommand_P1,ScadaCommand_V13,ScadaCommand_V24,T1,T2,P1,J1,J2,V13F,V24F
0.0,2025-07-10 18:37:19.799907,False,1.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,2025-07-10 18:37:31.729853,False,1.0,1,1,,,2.9941153526306152,3.011420488357544,1.0,69.19306182861328,69.68478393554688,233.72593688964844,144.67156982421875
2.0,2025-07-10 18:37:43.013902,False,1.0,1,1,,,3.1352698802948,3.1790809631347656,1.0,69.21162414550781,69.70091247558594,232.66900634765625,143.90008544921875
3.0,2025-07-10 18:37:56.299894,False,1.0,1,1,,,3.2759158611297607,3.34529185295105,1.0,69.23015594482422,69.71698760986328,231.6129913330078,143.13221740722656
4.0,2025-07-10 18:38:07.724422,False,1.0,1,1,,,3.4160468578338623,3.510064125061035,1.0,69.2486572265625,69.73300170898438,230.5579376220703,142.3679656982422
5.0,2025-07-10 18:38:19.436728,False,1.0,1,1,,,3.5556564331054688,3.6734089851379395,1.0,69.26712036132812,69.74897003173828,229.50389099121094,141.60731506347656
6.0,2025-07-10 18:38:31.451893,False,1.0,1,1,,,3.6947388648986816,3.8353376388549805,1.0,69.28555297851562,69.76488494873047,228.4508819580078,140.85023498535156
7.0,2025-07-10 18:38:42.958829,False,1.0,1,1,,,3.8332879543304443,3.995861291885376,1.0,69.30393981933594,69.78074645996094,227.39898681640625,140.0967559814453
8.0,2025-07-10 18:38:54.575833,False,1.0,1,1,,,3.971297264099121,4.1549906730651855,1.0,69.32230377197266,69.79654693603516,226.34825134277344,139.34681701660156
9.0,2025-07-10 18:39:05.715813,False,1.0,1,1,,,4.108761310577393,4.312736988067627,1.0,69.34062194824219,69.81230163574219,225.29867553710938,138.60043334960938
10.0,2025-07-10 18:39:17.663788,False,1.0,1,1,,,4.245673656463623,4.469111442565918,1.0,69.35890197753906,69.8280029296875,224.25035095214844,137.85760498046875
11.0,2025-07-10 18:39:30.213485,False,1.0,1,1,,,4.382028579711914,4.624124526977539,1.0,69.37715148925781,69.8436508178711,223.20330810546875,137.1182861328125
12.0,2025-07-10 18:39:42.257693,False,1.0,1,1,,,4.517820358276367,4.777787685394287,1.0,69.48060607910156,69.94068145751953,220.6057586669922,136.81655883789062
13.0,2025-07-10 18:39:55.003318,False,1.0,1,1,,,4.670199871063232,4.943734169006348,1.0,69.5007095336914,69.95770263671875,219.44415283203125,136.0212860107422
14.0,2025-07-10 18:40:07.181447,False,1.0,1,1,,,4.821817874908447,5.108346462249756,1.0,69.52076721191406,69.97468566894531,218.28431701660156,135.2289581298828
15.0,2025-07-10 18:40:18.136121,False,1.0,1,1,,,4.972670555114746,5.271633148193359,1.0,69.54078674316406,69.99161529541016,217.12628173828125,134.43955993652344
16.0,2025-07-10 18:40:29.169503,False,1.0,1,1,,,5.1227545738220215,5.433602809906006,1.0,69.56076049804688,70.00849914550781,215.9700469970703,133.6531219482422
17.0,2025-07-10 18:40:40.334964,False,1.0,1,1,,,5.272066116333008,5.594263553619385,1.0,69.5806884765625,70.02533721923828,214.81568908691406,132.8695831298828
18.0,2025-07-10 18:40:50.747131,False,1.0,1,1,,,5.420602798461914,5.753624439239502,1.0,69.60057067871094,70.04212951660156,213.6632080078125,132.08897399902344
