iteration,timestamp,T2,P2,ScadaCommand_P2
0,2025-12-25 17:36:08.503741,0.0,1,1.0
1,2025-12-25 17:36:14.228620,0.0,1,1.0
2,2025-12-25 17:36:19.535282,0.0,1,1.0
3,2025-12-25 17:36:25.565913,0.0,1,1.0
4,2025-12-25 17:36:30.807090,0.0,1,1.0
5,2025-12-25 17:36:36.794014,0.0,1,1.0
6,2025-12-25 17:36:42.030580,0.0,1,1.0
7,2025-12-25 17:36:47.131455,0.0,1,1.0
8,2025-12-25 17:36:52.598395,0.0,1,1.0
9,2025-12-25 17:36:58.670769,0.0,1,1.0
10,2025-12-25 17:37:03.577063,0.0,1,1.0
11,2025-12-25 17:37:08.810025,0.0,1,1.0
12,2025-12-25 17:37:14.601336,0.0,1,1.0
13,2025-12-25 17:37:20.094608,0.0,1,1.0
14,2025-12-25 17:37:25.602414,0.0,1,1.0
15,2025-12-25 17:37:31.203759,0.0,1,1.0
16,2025-12-25 17:37:36.514036,0.0,1,1.0
17,2025-12-25 17:37:42.068194,0.0,1,1.0
18,2025-12-25 17:37:47.484437,0.0,1,0.0
19,2025-12-25 17:37:52.579484,0.0,0,0.0
20,2025-12-25 17:37:58.072609,0.0,0,0.0
21,2025-12-25 17:38:03.667753,0.0,0,0.0
22,2025-12-25 17:38:08.934782,0.0,0,0.0
23,2025-12-25 17:38:13.563876,0.0,0,0.0
24,2025-12-25 17:38:18.946889,0.0,0,0.0
25,2025-12-25 17:38:24.418717,0.0,0,0.0
26,2025-12-25 17:38:29.974555,0.0,0,0.0
27,2025-12-25 17:38:35.271879,0.0,0,0.0
28,2025-12-25 17:38:40.599174,0.0,0,0.0
29,2025-12-25 17:38:46.508200,0.0,0,0.0
30,2025-12-25 17:38:51.997833,0.0,0,0.0
31,2025-12-25 17:38:57.870161,0.0,0,0.0
32,2025-12-25 17:39:03.326558,0.0,0,0.0
33,2025-12-25 17:39:09.297156,0.0,0,0.0
34,2025-12-25 17:39:14.883773,0.0,0,0.0
35,2025-12-25 17:39:20.048060,0.0,0,0.0
36,2025-12-25 17:39:25.332263,0.0,0,0.0
37,2025-12-25 17:39:30.538908,0.0,0,0.0
38,2025-12-25 17:39:35.800713,0.0,0,0.0
39,2025-12-25 17:39:41.000450,0.0,0,0.0
40,2025-12-25 17:39:47.078314,0.0,0,0.0
41,2025-12-25 17:39:52.755389,0.0,0,0.0
42,2025-12-25 17:39:58.454781,0.0,0,0.0
43,2025-12-25 17:40:03.702820,0.0,0,0.0
