iteration,timestamp,error_flag,P2,ScadaCommand_P2,ScadaCommand_P1,T1,T2,P1,J1,J2
0.0,2025-12-25 17:36:06.479618,False,1.0,1,1,0.0,0.0,1.0,0.0,0.0
1.0,2025-12-25 17:36:12.768851,False,1.0,1,1,3.252293348312378,3.2810044288635254,1.0,79.06969451904297,79.2622299194336
2.0,2025-12-25 17:36:17.723058,False,1.0,1,1,3.4527666568756104,3.5094101428985596,1.0,79.07292175292969,79.26464080810547
3.0,2025-12-25 17:36:23.415104,False,1.0,1,1,3.652416467666626,3.736224412918091,1.0,79.07614135742188,79.26705169677734
4.0,2025-12-25 17:36:29.012212,False,1.0,1,1,3.8512396812438965,3.9614546298980713,1.0,79.07935333251953,79.26945495605469
5.0,2025-12-25 17:36:34.726827,False,1.0,1,1,4.049232482910156,4.185107707977295,1.0,79.08256530761719,79.2718505859375
6.0,2025-12-25 17:36:40.111175,False,1.0,1,1,4.246391773223877,4.407191753387451,1.0,79.08577728271484,79.27423858642578
7.0,2025-12-25 17:36:45.494612,False,1.0,1,1,4.442714691162109,4.627713203430176,1.0,79.08898162841797,79.27661895751953
8.0,2025-12-25 17:36:50.956710,False,1.0,1,1,4.638197422027588,4.846680164337158,1.0,79.0921859741211,79.27899932861328
9.0,2025-12-25 17:36:56.690144,False,1.0,1,1,4.832837104797363,5.0640997886657715,1.0,79.09538269042969,79.2813720703125
10.0,2025-12-25 17:37:02.257633,False,1.0,1,1,5.026630401611328,5.279979228973389,1.0,79.09857940673828,79.28373718261719
11.0,2025-12-25 17:37:07.250802,False,1.0,1,1,5.219573974609375,5.494325637817383,1.0,79.10177612304688,79.28609466552734
12.0,2025-12-25 17:37:12.634538,False,1.0,1,1,5.411664962768555,5.707146644592285,1.0,79.11824035644531,79.30004119873047
13.0,2025-12-25 17:37:17.948106,False,1.0,1,1,5.619582653045654,5.931300163269043,1.0,79.12167358398438,79.30253601074219
14.0,2025-12-25 17:37:23.731571,False,1.0,1,1,5.8264923095703125,6.153923034667969,1.0,79.1250991821289,79.3050308227539
15.0,2025-12-25 17:37:29.566256,False,1.0,1,1,6.0323920249938965,6.3750200271606445,1.0,79.1285171508789,79.3075180053711
16.0,2025-12-25 17:37:34.574679,False,1.0,1,1,6.237279415130615,6.594597816467285,1.0,79.1319351196289,79.30999755859375
17.0,2025-12-25 17:37:40.258022,False,1.0,1,1,6.441153049468994,6.812661647796631,1.0,79.1353530883789,79.3124771118164
18.0,2025-12-25 17:37:45.674275,False,1.0,0,1,6.644010543823242,7.0292181968688965,1.0,79.13876342773438,79.31494903564453
19.0,2025-12-25 17:37:50.936647,False,0.0,0,1,6.845850467681885,7.244272708892822,1.0,78.66368865966797,70.34709930419922
20.0,2025-12-25 17:37:56.439985,False,0.0,0,0,7.043867111206055,7.409078121185303,1.0,78.68110656738281,70.42289733886719
21.0,2025-12-25 17:38:01.612652,False,0.0,0,0,7.240476131439209,7.573425769805908,0.0,58.49657440185547,58.5477180480957
22.0,2025-12-25 17:38:07.198222,False,0.0,0,0,7.215979099273682,7.516871452331543,0.0,58.466064453125,58.510807037353516
23.0,2025-12-25 17:38:12.140542,False,0.0,0,0,7.190006732940674,7.461793422698975,0.0,58.43454360961914,58.47364044189453
24.0,2025-12-25 17:38:17.018323,False,0.0,0,0,7.16265869140625,7.408090591430664,0.0,58.352272033691406,58.38238525390625
25.0,2025-12-25 17:38:22.536816,False,0.0,0,0,7.122500419616699,7.348470211029053,0.0,58.30742645263672,58.334529876708984
26.0,2025-12-25 17:38:28.265984,False,0.0,0,0,7.08148193359375,7.28971004486084,0.0,58.261924743652344,58.286399841308594
27.0,2025-12-25 17:38:33.398100,False,0.0,0,0,7.039671421051025,7.2317423820495605,0.0,58.21586227416992,58.23802947998047
28.0,2025-12-25 17:38:38.801061,False,0.0,0,0,6.997131824493408,7.174503326416016,0.0,58.169307708740234,58.189456939697266
29.0,2025-12-25 17:38:44.561838,False,0.0,0,0,6.95392370223999,7.1179327964782715,0.0,58.1223258972168,58.14070510864258
30.0,2025-12-25 17:38:49.955918,False,0.0,0,0,6.910102844238281,7.061975479125977,0.0,58.074974060058594,58.091800689697266
31.0,2025-12-25 17:38:55.718769,False,0.0,0,0,6.865720272064209,7.0065789222717285,0.0,58.02730178833008,58.04276657104492
32.0,2025-12-25 17:39:01.558531,False,0.0,0,0,6.820825576782227,6.951695919036865,0.0,57.979347229003906,57.993621826171875
33.0,2025-12-25 17:39:07.180315,False,0.0,0,0,6.7754621505737305,6.897280693054199,0.0,57.931156158447266,57.94437789916992
34.0,2025-12-25 17:39:13.120213,False,0.0,0,0,6.729671478271484,6.843292713165283,0.0,57.88275146484375,57.89505386352539
35.0,2025-12-25 17:39:18.469221,False,0.0,0,0,6.683492183685303,6.789693355560303,0.0,57.834163665771484,57.84565734863281
36.0,2025-12-25 17:39:23.475263,False,0.0,0,0,6.636959075927734,6.736448287963867,0.0,57.877830505371094,57.88954544067383
37.0,2025-12-25 17:39:29.214969,False,0.0,0,0,6.609060764312744,6.697656154632568,0.0,57.84705352783203,57.85721969604492
38.0,2025-12-25 17:39:34.074127,False,0.0,0,0,6.580469608306885,6.659557342529297,0.0,57.81581497192383,57.824703216552734
39.0,2025-12-25 17:39:39.113466,False,0.0,0,0,6.551266193389893,6.622071266174316,0.0,57.784202575683594,57.792030334472656
40.0,2025-12-25 17:39:45.089655,False,0.0,0,0,6.521522521972656,6.585124492645264,0.0,57.75228500366211,57.75923538208008
41.0,2025-12-25 17:39:50.687028,False,0.0,0,0,6.491304874420166,6.548652172088623,0.0,57.720115661621094,57.72633743286133
42.0,2025-12-25 17:39:56.529631,False,0.0,0,0,6.460671424865723,6.512595176696777,0.0,57.687744140625,57.693363189697266
43.0,2025-12-25 17:40:01.935600,False,0.0,0,0,6.429675102233887,6.476902008056641,0.0,57.65520477294922,57.66032028198242
44.0,2025-12-25 17:40:07.354407,False,0.0,0,0,6.398361682891846,6.441525459289551,0.0,57.622528076171875,57.62722396850586
45.0,2025-12-25 17:40:12.815389,False,0.0,0,0,6.366772174835205,6.406424522399902,0.0,57.58974075317383,57.594085693359375
46.0,2025-12-25 17:40:19.041375,False,0.0,0,0,6.334942817687988,6.371563911437988,0.0,57.556861877441406,57.5609130859375
47.0,2025-12-25 17:40:25.557721,False,0.0,0,0,6.302905082702637,6.336911201477051,0.0,57.52390670776367,57.5277099609375
48.0,2025-12-25 17:40:31.470979,False,0.0,0,0,6.270687580108643,6.302438735961914,0.0,57.31630325317383,57.32200241088867
49.0,2025-12-25 17:40:37.081093,False,0.0,0,0,6.209240436553955,6.242898464202881,0.0,57.25560760498047,57.26144027709961
50.0,2025-12-25 17:40:42.740210,False,0.0,0,0,6.147876262664795,6.18327522277832,0.0,57.194923400878906,57.20088195800781
51.0,2025-12-25 17:40:48.032374,False,0.0,0,0,6.086586952209473,6.123577117919922,0.0,57.13425827026367,57.14032745361328
52.0,2025-12-25 17:40:53.330703,False,0.0,0,0,6.025365829467773,6.063810348510742,0.0,57.073604583740234,57.079776763916016
53.0,2025-12-25 17:40:59.060690,False,0.0,0,1,5.964208126068115,6.003981113433838,0.0,57.012962341308594,57.01923370361328
54.0,2025-12-25 17:41:04.310482,False,0.0,0,1,5.903107166290283,5.944094181060791,1.0,78.48429107666016,69.39965057373047
55.0,2025-12-25 17:41:10.056137,False,0.0,0,1,6.08535099029541,6.103949546813965,1.0,78.50043487548828,69.47364807128906
56.0,2025-12-25 17:41:15.378698,False,0.0,0,1,6.266380786895752,6.2632904052734375,1.0,78.51654815673828,69.54743957519531
57.0,2025-12-25 17:41:20.977425,False,0.0,0,1,6.446206092834473,6.422110080718994,1.0,78.53262329101562,69.62100982666016
