iteration,timestamp,T1,P1,ScadaCommand_P1
0,2025-12-25 20:04:09.153278,0.0,1,1.0
1,2025-12-25 20:04:13.444532,0.0,1,1.0
2,2025-12-25 20:04:18.137611,0.0,1,1.0
3,2025-12-25 20:04:23.900508,0.0,1,1.0
4,2025-12-25 20:04:29.789202,0.0,1,0.0
5,2025-12-25 20:04:35.394815,0.0,0,1.0
6,2025-12-25 20:04:41.077461,0.0,1,1.0
7,2025-12-25 20:04:47.029215,0.0,1,1.0
8,2025-12-25 20:04:52.891159,0.0,1,1.0
9,2025-12-25 20:04:58.634241,0.0,1,1.0
10,2025-12-25 20:05:04.821787,0.0,1,0.0
11,2025-12-25 20:05:10.805512,0.0,0,1.0
12,2025-12-25 20:05:16.124261,0.0,1,1.0
13,2025-12-25 20:05:21.490200,0.0,1,1.0
14,2025-12-25 20:05:27.606157,0.0,1,1.0
15,2025-12-25 20:05:33.344572,0.0,1,1.0
16,2025-12-25 20:05:40.177441,0.0,1,0.0
17,2025-12-25 20:05:46.029537,0.0,0,0.0
18,2025-12-25 20:05:52.293230,0.0,0,0.0
19,2025-12-25 20:05:58.024192,0.0,0,0.0
20,2025-12-25 20:06:03.610152,0.0,0,0.0
21,2025-12-25 20:06:09.761211,0.0,0,0.0
22,2025-12-25 20:06:16.032660,0.0,0,0.0
23,2025-12-25 20:06:21.647002,0.0,0,0.0
24,2025-12-25 20:06:27.838123,0.0,0,0.0
25,2025-12-25 20:06:32.722130,0.0,0,0.0
26,2025-12-25 20:06:38.661286,0.0,0,0.0
27,2025-12-25 20:06:44.605375,0.0,0,0.0
28,2025-12-25 20:06:49.966617,0.0,0,0.0
29,2025-12-25 20:06:55.738281,0.0,0,0.0
30,2025-12-25 20:07:01.473174,0.0,0,0.0
31,2025-12-25 20:07:07.732563,0.0,0,0.0
32,2025-12-25 20:07:12.653685,0.0,0,0.0
33,2025-12-25 20:07:18.971041,0.0,0,0.0
34,2025-12-25 20:07:25.354258,0.0,0,0.0
35,2025-12-25 20:07:31.042985,0.0,0,0.0
36,2025-12-25 20:07:36.901318,0.0,0,1.0
37,2025-12-25 20:07:42.918276,0.0,1,0.0
38,2025-12-25 20:07:48.966275,0.0,0,0.0
39,2025-12-25 20:07:55.264005,0.0,0,0.0
40,2025-12-25 20:08:00.467598,0.0,0,0.0
41,2025-12-25 20:08:06.245618,0.0,0,0.0
42,2025-12-25 20:08:12.398940,0.0,0,0.0
43,2025-12-25 20:08:18.231691,0.0,0,0.0
44,2025-12-25 20:08:24.564389,0.0,0,0.0
45,2025-12-25 20:08:30.333582,0.0,0,0.0
46,2025-12-25 20:08:35.309077,0.0,0,0.0
47,2025-12-25 20:08:40.621885,0.0,0,0.0
48,2025-12-25 20:08:46.228145,0.0,0,0.0
49,2025-12-25 20:08:51.709995,0.0,0,0.0
50,2025-12-25 20:08:57.957357,0.0,0,0.0
51,2025-12-25 20:09:04.562153,0.0,0,0.0
52,2025-12-25 20:09:10.486087,0.0,0,0.0
53,2025-12-25 20:09:15.604225,0.0,0,0.0
54,2025-12-25 20:09:21.385553,0.0,0,0.0
55,2025-12-25 20:09:26.889393,0.0,0,0.0
56,2025-12-25 20:09:32.993458,0.0,0,0.0
57,2025-12-25 20:09:38.639746,0.0,0,1.0
58,2025-12-25 20:09:44.121150,0.0,1,1.0
59,2025-12-25 20:09:49.493268,0.0,1,1.0
60,2025-12-25 20:09:55.217156,0.0,1,1.0
61,2025-12-25 20:10:00.447044,0.0,1,1.0
62,2025-12-25 20:10:06.350676,0.0,1,0.0
63,2025-12-25 20:10:12.274785,0.0,0,0.0
64,2025-12-25 20:10:18.100262,0.0,0,0.0
65,2025-12-25 20:10:24.377056,0.0,0,0.0
66,2025-12-25 20:10:29.993043,0.0,0,1.0
67,2025-12-25 20:10:35.310259,0.0,1,1.0
68,2025-12-25 20:10:40.502673,0.0,1,1.0
69,2025-12-25 20:10:46.230839,0.0,1,0.0
70,2025-12-25 20:10:51.765526,0.0,0,0.0
71,2025-12-25 20:10:57.086955,0.0,0,0.0
72,2025-12-25 20:11:01.916120,0.0,0,0.0
73,2025-12-25 20:11:07.638893,0.0,0,1.0
74,2025-12-25 20:11:13.107590,0.0,1,1.0
75,2025-12-25 20:11:19.017243,0.0,1,1.0
76,2025-12-25 20:11:25.223110,0.0,1,0.0
77,2025-12-25 20:11:30.717972,0.0,0,0.0
78,2025-12-25 20:11:36.104505,0.0,0,0.0
79,2025-12-25 20:11:41.624213,0.0,0,0.0
80,2025-12-25 20:11:46.611361,0.0,0,1.0
81,2025-12-25 20:11:52.325280,0.0,1,1.0
82,2025-12-25 20:11:56.763683,0.0,1,0.0
83,2025-12-25 20:12:02.087132,0.0,0,0.0
84,2025-12-25 20:12:07.151808,0.0,0,0.0
85,2025-12-25 20:12:12.553484,0.0,0,1.0
86,2025-12-25 20:12:18.309195,0.0,1,1.0
87,2025-12-25 20:12:23.963435,0.0,1,1.0
88,2025-12-25 20:12:29.557550,0.0,1,1.0
89,2025-12-25 20:12:34.606579,0.0,1,0.0
