iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,P2_FLOW,P2_STATUS,P2_SPEED,P1_FLOW,P1_STATUS,P1_SPEED,plc3AttackerUnit,plc2AttackerUnit
0,2025-12-25 20:04:05.444932,3.0509999999999993,3.0509999999999993,79.06646893465594,79.25981145882966,56.50568526484545,54.346807676349066,56.41604034877507,219.275416468142,1.0,1.0,296.61242613763324,1.0,1.0,0,0
1,2025-12-25 20:04:09.314504,3.25229337088512,3.2810045173300804,79.06969557875,79.26223090423727,56.690828901924064,54.576801826635595,56.60174270221198,218.30763830509895,1.0,1.0,295.32176850000843,1.0,1.0,0,0
2,2025-12-25 20:04:13.502036,3.452766688343929,3.5094102081670555,79.0729189710524,79.26464436001697,56.875141717307095,54.80519725932721,56.78661493256386,217.34225599321908,1.0,1.0,294.03241157903796,1.0,1.0,0,0
3,2025-12-25 20:04:18.248403,3.6524165585764607,3.736224425488944,79.07613902960097,79.26705185721693,57.058621695385575,55.032001326588,56.97065498168757,216.37925711322768,1.0,1.0,292.7443881596164,1.0,1.0,0,0
4,2025-12-25 20:04:24.311146,3.8512396142947156,3.96145451758916,79.07935569767388,79.26945339265839,57.24126680496968,55.25722137589557,57.153860776538934,215.4186429366436,1.0,1.0,291.4577209304494,1.0,1.0,0,0
5,2025-12-25 20:04:29.842141,4.049232519416629,4.1851078272154005,63.96716390035344,78.85856458211369,55.88316769436089,55.48068150753471,55.852505999229365,379.7741671545326,1.0,1.0,0.0,0.0,0.0,0,0
6,2025-12-25 20:04:35.429449,4.143534294649669,4.376320371139693,79.08446775251466,79.27380254404122,57.52609864424544,55.6720640913725,57.4389513719973,213.67898238351736,1.0,1.0,289.41289899414477,1.0,1.0,0,0
7,2025-12-25 20:04:41.112317,4.341143258694445,4.596304281682362,79.08767525763187,79.27618825354749,57.70707751802959,55.892038398484765,57.62050711722699,212.72469858100882,1.0,1.0,288.12989694725445,1.0,1.0,0,0
8,2025-12-25 20:04:47.149193,4.537894372785722,4.814749814787395,79.09088643890148,79.27856061404042,57.88720220539604,56.110474429737884,57.80120891376492,211.77575438383283,1.0,1.0,286.8454244394175,1.0,1.0,0,0
9,2025-12-25 20:04:52.994187,4.733784647992774,5.031664103409719,79.09409381828212,79.28092709034219,58.066470241529316,56.327379317436176,57.98105428287322,210.82916386312334,1.0,1.0,285.5624726871527,1.0,1.0,0,0
10,2025-12-25 20:04:58.762985,4.928811087054502,5.247054294502576,79.0972973393238,79.28328767963438,58.244879975448704,56.542760207742184,58.16004153109797,209.88492814625226,1.0,1.0,284.28106427048186,1.0,1.0,0,0
