iteration,timestamp,T1,P1,ScadaCommand_P1
0,2025-07-10 18:37:24.208267,0.0,1,1.0
1,2025-07-10 18:37:35.630783,0.0,1,1.0
2,2025-07-10 18:37:46.951170,0.0,1,1.0
3,2025-07-10 18:38:00.161348,0.0,1,1.0
4,2025-07-10 18:38:12.002316,0.0,1,1.0
5,2025-07-10 18:38:23.895850,0.0,1,1.0
6,2025-07-10 18:38:36.051220,0.0,1,1.0
7,2025-07-10 18:38:47.220014,0.0,1,1.0
8,2025-07-10 18:38:58.238054,0.0,1,1.0
9,2025-07-10 18:39:10.081330,0.0,1,1.0
10,2025-07-10 18:39:22.215524,0.0,1,1.0
11,2025-07-10 18:39:34.376870,0.0,1,1.0
12,2025-07-10 18:39:47.261794,0.0,1,1.0
13,2025-07-10 18:39:59.466628,0.0,1,1.0
14,2025-07-10 18:40:11.148332,0.0,1,1.0
15,2025-07-10 18:40:22.210338,0.0,1,1.0
16,2025-07-10 18:40:33.042457,0.0,1,1.0
17,2025-07-10 18:40:44.011101,0.0,1,1.0
18,2025-07-10 18:40:54.941337,0.0,1,1.0
19,2025-07-10 18:41:06.616482,0.0,1,1.0
20,2025-07-10 18:41:18.189047,0.0,1,1.0
21,2025-07-10 18:41:29.090303,0.0,1,1.0
22,2025-07-10 18:41:39.798513,0.0,1,1.0
23,2025-07-10 18:41:51.878846,0.0,1,1.0
24,2025-07-10 18:42:03.240956,0.0,1,1.0
25,2025-07-10 18:42:14.517561,0.0,1,1.0
26,2025-07-10 18:42:25.240262,0.0,1,1.0
27,2025-07-10 18:42:37.549215,0.0,1,1.0
28,2025-07-10 18:42:48.902726,0.0,1,1.0
29,2025-07-10 18:43:00.949869,0.0,1,1.0
30,2025-07-10 18:43:12.653616,0.0,1,0.0
31,2025-07-10 18:43:24.576803,0.0,0,0.0
32,2025-07-10 18:43:36.855215,0.0,0,0.0
33,2025-07-10 18:43:48.896297,0.0,0,0.0
34,2025-07-10 18:43:59.836380,0.0,0,0.0
35,2025-07-10 18:44:12.100054,0.0,0,0.0
36,2025-07-10 18:44:24.150075,0.0,0,0.0
37,2025-07-10 18:44:36.045331,0.0,0,0.0
38,2025-07-10 18:44:48.050952,0.0,0,0.0
39,2025-07-10 18:45:01.203609,0.0,0,0.0
40,2025-07-10 18:45:12.662237,0.0,0,0.0
41,2025-07-10 18:45:23.881235,0.0,0,0.0
42,2025-07-10 18:45:35.055769,0.0,0,0.0
43,2025-07-10 18:45:46.875954,0.0,0,0.0
44,2025-07-10 18:45:58.904631,0.0,0,0.0
45,2025-07-10 18:46:11.528135,0.0,0,0.0
46,2025-07-10 18:46:23.999283,0.0,0,0.0
47,2025-07-10 18:46:35.043360,0.0,0,0.0
48,2025-07-10 18:46:47.184452,0.0,0,0.0
49,2025-07-10 18:46:58.213460,0.0,0,0.0
50,2025-07-10 18:47:09.799739,0.0,0,0.0
51,2025-07-10 18:47:20.561064,0.0,0,0.0
52,2025-07-10 18:47:31.150137,0.0,0,0.0
53,2025-07-10 18:47:41.628665,0.0,0,0.0
54,2025-07-10 18:47:53.415576,0.0,0,0.0
55,2025-07-10 18:48:04.977047,0.0,0,0.0
56,2025-07-10 18:48:14.236356,0.0,0,0.0
57,2025-07-10 18:48:22.704311,0.0,0,0.0
58,2025-07-10 18:48:31.741274,0.0,0,0.0
59,2025-07-10 18:48:40.691689,0.0,0,0.0
60,2025-07-10 18:48:50.503647,0.0,0,1.0
61,2025-07-10 18:48:59.755094,0.0,1,1.0
62,2025-07-10 18:49:11.269325,0.0,1,1.0
63,2025-07-10 18:49:23.279086,0.0,1,1.0
64,2025-07-10 18:49:35.839225,0.0,1,1.0
65,2025-07-10 18:49:47.259027,0.0,1,1.0
66,2025-07-10 18:49:58.515406,0.0,1,1.0
67,2025-07-10 18:50:10.618628,0.0,1,1.0
68,2025-07-10 18:50:22.119537,0.0,1,1.0
69,2025-07-10 18:50:34.557240,0.0,1,1.0
70,2025-07-10 18:50:46.734880,0.0,1,1.0
71,2025-07-10 18:50:57.045299,0.0,1,1.0
72,2025-07-10 18:51:08.598196,0.0,1,1.0
73,2025-07-10 18:51:19.190134,0.0,1,1.0
74,2025-07-10 18:51:31.340483,0.0,1,1.0
75,2025-07-10 18:51:43.089621,0.0,1,1.0
76,2025-07-10 18:51:54.366432,0.0,1,1.0
77,2025-07-10 18:52:06.278264,0.0,1,1.0
78,2025-07-10 18:52:18.078006,0.0,1,0.0
79,2025-07-10 18:52:30.598844,0.0,0,0.0
80,2025-07-10 18:52:43.350076,0.0,0,0.0
81,2025-07-10 18:52:54.964047,0.0,0,0.0
82,2025-07-10 18:53:06.660506,0.0,0,0.0
83,2025-07-10 18:53:18.178212,0.0,0,0.0
84,2025-07-10 18:53:29.776535,0.0,0,0.0
85,2025-07-10 18:53:41.357503,0.0,0,0.0
86,2025-07-10 18:53:53.219306,0.0,0,0.0
87,2025-07-10 18:54:05.251997,0.0,0,0.0
88,2025-07-10 18:54:17.396814,0.0,0,1.0
89,2025-07-10 18:54:29.196128,0.0,1,1.0
90,2025-07-10 18:54:40.684464,0.0,1,1.0
91,2025-07-10 18:54:51.863124,0.0,1,1.0
92,2025-07-10 18:55:03.175614,0.0,1,1.0
93,2025-07-10 18:55:15.276092,0.0,1,1.0
94,2025-07-10 18:55:26.990806,0.0,1,1.0
95,2025-07-10 18:55:39.487992,0.0,1,1.0
96,2025-07-10 18:55:51.614651,0.0,1,1.0
97,2025-07-10 18:56:02.995333,0.0,1,1.0
98,2025-07-10 18:56:14.384775,0.0,1,1.0
99,2025-07-10 18:56:25.521284,0.0,1,1.0
100,2025-07-10 18:56:37.221619,0.0,1,1.0
101,2025-07-10 18:56:49.265382,0.0,1,1.0
102,2025-07-10 18:57:01.980278,0.0,1,1.0
103,2025-07-10 18:57:13.209898,0.0,1,1.0
104,2025-07-10 18:57:25.240064,0.0,1,1.0
105,2025-07-10 18:57:36.345930,0.0,1,1.0
106,2025-07-10 18:57:47.384512,0.0,1,1.0
107,2025-07-10 18:57:58.664357,0.0,1,1.0
108,2025-07-10 18:58:10.902868,0.0,1,1.0
109,2025-07-10 18:58:23.026647,0.0,1,1.0
110,2025-07-10 18:58:34.879384,0.0,1,1.0
111,2025-07-10 18:58:46.492288,0.0,1,1.0
112,2025-07-10 18:58:58.621492,0.0,1,1.0
113,2025-07-10 18:59:10.086408,0.0,1,1.0
114,2025-07-10 18:59:22.594352,0.0,1,1.0
115,2025-07-10 18:59:33.981190,0.0,1,1.0
116,2025-07-10 18:59:46.024461,0.0,1,1.0
117,2025-07-10 18:59:58.804392,0.0,1,1.0
118,2025-07-10 19:00:11.515172,0.0,1,1.0
119,2025-07-10 19:00:24.212353,0.0,1,1.0
120,2025-07-10 19:00:36.696253,0.0,1,0.0
121,2025-07-10 19:00:47.564470,0.0,0,0.0
122,2025-07-10 19:00:59.982303,0.0,0,0.0
123,2025-07-10 19:01:11.256253,0.0,0,0.0
124,2025-07-10 19:01:22.995364,0.0,0,0.0
125,2025-07-10 19:01:34.177264,0.0,0,0.0
126,2025-07-10 19:01:46.370961,0.0,0,0.0
127,2025-07-10 19:01:57.512270,0.0,0,0.0
128,2025-07-10 19:02:08.666030,0.0,0,0.0
129,2025-07-10 19:02:20.524311,0.0,0,0.0
130,2025-07-10 19:02:32.049403,0.0,0,0.0
131,2025-07-10 19:02:42.730306,0.0,0,0.0
132,2025-07-10 19:02:54.727444,0.0,0,0.0
133,2025-07-10 19:03:05.872024,0.0,0,0.0
134,2025-07-10 19:03:17.433179,0.0,0,1.0
135,2025-07-10 19:03:28.939259,0.0,1,1.0
136,2025-07-10 19:03:40.477449,0.0,1,1.0
