iteration,timestamp,P79,T41,T42,P1
0.0,2024-06-13 19:04:39.010845,1.0,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-06-13 19:04:43.146934,1.0,3.3647472858428955,3.2481727600097656,1.0
2.0,2024-06-13 19:04:47.336710,1.0,3.6717066764831543,3.4489753246307373,1.0
3.0,2024-06-13 19:04:51.412849,1.0,3.9730355739593506,3.6522605419158936,1.0
4.0,2024-06-13 19:04:55.516625,1.0,4.269386291503906,3.857387065887451,1.0
5.0,2024-06-13 19:04:59.456298,1.0,4.561195373535156,4.063929080963135,1.0
6.0,2024-06-13 19:05:03.670419,1.0,4.848784446716309,4.271574974060059,1.0
7.0,2024-06-13 19:05:07.734837,1.0,5.1324052810668945,4.480082035064697,1.0
8.0,2024-06-13 19:05:11.770191,1.0,5.412262916564941,4.689254283905029,1.0
9.0,2024-06-13 19:05:15.834476,1.0,5.6885294914245605,4.898929595947266,1.0
10.0,2024-06-13 19:05:22.972201,1.0,6.0,5.108969688415527,1.0
11.0,2024-06-13 19:05:27.033335,1.0,6.0,5.319255352020264,1.0
12.0,2024-06-13 19:05:31.020811,1.0,6.0,5.529681205749512,1.0
13.0,2024-06-13 19:05:35.287970,1.0,6.0,5.743943214416504,1.0
14.0,2024-06-13 19:05:39.736725,1.0,6.0,5.958117485046387,1.0
15.0,2024-06-13 19:05:43.970452,1.0,6.0,6.172133445739746,1.0
16.0,2024-06-13 19:05:48.012921,1.0,6.0,6.385924339294434,1.0
17.0,2024-06-13 19:05:52.180445,1.0,6.0,6.59943151473999,1.0
18.0,2024-06-13 19:05:56.497150,1.0,6.0,6.8125996589660645,1.0
19.0,2024-06-13 19:06:00.781215,1.0,6.0,7.0253777503967285,1.0
20.0,2024-06-13 19:06:05.407428,1.0,6.0,7.237719535827637,1.0
21.0,2024-06-13 19:06:09.724066,1.0,6.0,7.449580669403076,1.0
22.0,2024-06-13 19:06:14.407596,1.0,6.0,7.6609206199646,1.0
23.0,2024-06-13 19:06:18.728037,1.0,6.0,7.871701240539551,1.0
24.0,2024-06-13 19:06:22.841238,1.0,6.0,8.081887245178223,1.0
25.0,2024-06-13 19:06:27.093878,0.0,6.0,8.244264602661133,1.0
26.0,2024-06-13 19:06:31.287860,0.0,6.0,8.407023429870605,1.0
27.0,2024-06-13 19:06:35.556106,0.0,6.0,8.570094108581543,1.0
28.0,2024-06-13 19:06:39.884233,0.0,6.0,8.733410835266113,1.0
29.0,2024-06-13 19:06:48.380961,0.0,6.0,8.95254898071289,1.0
30.0,2024-06-13 19:06:52.240295,0.0,6.0,9.122198104858398,1.0
31.0,2024-06-13 19:06:56.731848,0.0,6.0,9.37789249420166,1.0
32.0,2024-06-13 19:07:00.727960,0.0,6.0,9.631545066833496,1.0
33.0,2024-06-13 19:07:04.720526,0.0,6.0,9.883157730102539,1.0
34.0,2024-06-13 19:07:09.125645,0.0,6.0,10.132736206054688,1.0
35.0,2024-06-13 19:07:13.498459,0.0,6.0,10.380282402038574,1.0
36.0,2024-06-13 19:07:22.157206,0.0,6.0,10.668000221252441,1.0
37.0,2024-06-13 19:07:26.532743,0.0,6.0,10.668000221252441,1.0
38.0,2024-06-13 19:07:31.365301,0.0,6.0,10.668000221252441,1.0
39.0,2024-06-13 19:07:35.472897,0.0,6.0,10.668000221252441,1.0
40.0,2024-06-13 19:07:39.833367,0.0,6.0,10.668000221252441,1.0
41.0,2024-06-13 19:07:44.212888,0.0,10.668000221252441,10.668000221252441,1.0
42.0,2024-06-13 19:07:48.588320,0.0,10.662617683410645,10.659789085388184,0.0
43.0,2024-06-13 19:07:53.109111,0.0,10.655230522155762,10.653583526611328,0.0
44.0,2024-06-13 19:07:57.353538,0.0,10.648369789123535,10.6468505859375,0.0
45.0,2024-06-13 19:08:01.448038,0.0,10.641573905944824,10.640054702758789,0.0
46.0,2024-06-13 19:08:05.537710,0.0,10.634777069091797,10.633257865905762,0.0
47.0,2024-06-13 19:08:09.620930,0.0,10.627981185913086,10.626461029052734,0.0
48.0,2024-06-13 19:08:13.924617,0.0,10.621184349060059,10.619665145874023,0.0
49.0,2024-06-13 19:08:18.280064,0.0,10.609981536865234,10.606207847595215,0.0
50.0,2024-06-13 19:08:22.452591,0.0,10.597907066345215,10.593623161315918,0.0
