iteration,timestamp,P79,T41,T42,P1
0.0,2024-06-13 17:42:00.968625,1.0,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-06-13 17:42:05.352852,1.0,3.3647472858428955,3.2481727600097656,1.0
2.0,2024-06-13 17:42:09.624008,1.0,3.6717066764831543,3.4489753246307373,1.0
3.0,2024-06-13 17:42:14.237438,1.0,3.9730355739593506,3.6522605419158936,1.0
4.0,2024-06-13 17:42:18.680269,1.0,4.269386291503906,3.857387065887451,1.0
5.0,2024-06-13 17:42:22.712567,1.0,4.561195373535156,4.063929080963135,1.0
6.0,2024-06-13 17:42:27.528259,1.0,4.848784446716309,4.271574974060059,1.0
7.0,2024-06-13 17:42:32.161693,1.0,5.1324052810668945,4.480082035064697,1.0
8.0,2024-06-13 17:42:37.922086,1.0,5.412262916564941,4.689254283905029,1.0
9.0,2024-06-13 17:42:43.660339,1.0,5.6885294914245605,4.898929595947266,1.0
10.0,2024-06-13 17:42:49.737849,1.0,5.96135139465332,5.108969688415527,1.0
11.0,2024-06-13 17:42:55.617212,1.0,6.230856418609619,5.319255352020264,1.0
12.0,2024-06-13 17:43:01.651778,1.0,6.497158050537109,5.529681205749512,1.0
13.0,2024-06-13 17:43:07.496144,1.0,6.7622175216674805,5.743943214416504,1.0
14.0,2024-06-13 17:43:13.304521,1.0,7.024285316467285,5.958117485046387,1.0
15.0,2024-06-13 17:43:19.356227,1.0,7.283440113067627,6.172133445739746,1.0
16.0,2024-06-13 17:43:25.447860,1.0,7.539755821228027,6.385924339294434,1.0
17.0,2024-06-13 17:43:31.168283,1.0,7.793298244476318,6.59943151473999,1.0
18.0,2024-06-13 17:43:37.356581,1.0,8.044130325317383,6.8125996589660645,1.0
19.0,2024-06-13 17:43:43.033534,1.0,8.292308807373047,7.0253777503967285,1.0
20.0,2024-06-13 17:43:49.277989,1.0,8.53788948059082,7.237719535827637,1.0
21.0,2024-06-13 17:43:55.092326,1.0,8.78092098236084,7.449580669403076,1.0
22.0,2024-06-13 17:44:01.340329,1.0,9.021451950073242,7.6609206199646,1.0
23.0,2024-06-13 17:44:07.156047,1.0,9.259526252746582,7.871701240539551,1.0
24.0,2024-06-13 17:44:12.972216,1.0,9.495187759399414,8.081887245178223,1.0
25.0,2024-06-13 17:44:18.915478,0.0,9.720988273620605,8.244264602661133,1.0
26.0,2024-06-13 17:44:25.064087,0.0,9.94389533996582,8.407023429870605,1.0
27.0,2024-06-13 17:44:30.952206,0.0,10.163989067077637,8.570094108581543,1.0
28.0,2024-06-13 17:44:36.888193,0.0,10.381343841552734,8.733410835266113,1.0
29.0,2024-06-13 17:44:49.000106,0.0,10.668000221252441,8.95254898071289,1.0
30.0,2024-06-13 17:44:54.779686,0.0,10.668000221252441,9.122198104858398,1.0
31.0,2024-06-13 17:45:00.783260,0.0,10.668000221252441,9.37789249420166,1.0
32.0,2024-06-13 17:45:06.692934,0.0,10.668000221252441,9.631545066833496,1.0
33.0,2024-06-13 17:45:12.345857,0.0,10.668000221252441,9.883157730102539,1.0
34.0,2024-06-13 17:45:18.347911,0.0,10.668000221252441,10.132736206054688,1.0
35.0,2024-06-13 17:45:24.176242,0.0,10.668000221252441,10.380282402038574,1.0
36.0,2024-06-13 17:45:36.225742,0.0,10.668000221252441,10.668000221252441,1.0
37.0,2024-06-13 17:45:42.260235,0.0,10.668000221252441,10.668000221252441,1.0
38.0,2024-06-13 17:45:48.032327,0.0,10.668000221252441,10.668000221252441,1.0
39.0,2024-06-13 17:45:54.108483,0.0,10.668000221252441,10.668000221252441,1.0
40.0,2024-06-13 17:46:00.065064,0.0,10.668000221252441,10.668000221252441,1.0
41.0,2024-06-13 17:46:05.880022,0.0,10.668000221252441,10.668000221252441,1.0
42.0,2024-06-13 17:46:11.551879,0.0,10.668000221252441,10.668000221252441,1.0
43.0,2024-06-13 17:46:17.527209,0.0,10.668000221252441,10.668000221252441,1.0
44.0,2024-06-13 17:46:23.360549,0.0,10.668000221252441,10.668000221252441,1.0
45.0,2024-06-13 17:46:29.264400,0.0,10.668000221252441,10.668000221252441,1.0
46.0,2024-06-13 17:46:35.108671,0.0,10.668000221252441,10.668000221252441,1.0
47.0,2024-06-13 17:46:41.038371,0.0,10.668000221252441,10.668000221252441,1.0
48.0,2024-06-13 17:46:46.804128,0.0,10.668000221252441,10.668000221252441,1.0
49.0,2024-06-13 17:46:52.770474,0.0,10.668000221252441,10.668000221252441,1.0
50.0,2024-06-13 17:46:58.384277,0.0,10.668000221252441,10.668000221252441,1.0
