iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,T41MiM
0,2024-06-13 18:31:22.197993,3.0509999999999993,3.0509999999999993,-15.24,-15.24,-15.24,-15.24,-15.24,1450.0,1.0,1450.0,1.0,0
1,2024-06-13 18:31:24.496251,3.364747310338268,3.2481728419515297,77.71089056501289,78.09886954336274,54.490973682758714,54.34660723729726,54.34743538299764,213.93606607871055,1.0,286.1669393185446,1.0,0
2,2024-06-13 18:31:28.721640,3.671706680238054,3.448975230608928,77.72142576920038,78.10417397424146,54.798965764409395,54.54380094307692,54.66112571087362,212.94852887749113,1.0,284.20557790288825,1.0,0
3,2024-06-13 18:31:33.082253,3.9730355490850666,3.652260528590001,77.73184060322329,78.10954460226385,55.101232666602314,54.74461778998197,54.96803862069711,211.94866761295918,1.0,282.2666260572955,1.0,0
4,2024-06-13 18:31:37.139025,4.269386479439203,3.8573869850878624,77.74215289002028,78.11496355561667,55.39847476176433,54.94791390819682,55.26932702643835,210.93980951868002,1.0,280.3467656472929,1.0,0
5,2024-06-13 18:31:41.430794,4.5611953285259075,4.063929165027548,77.75237425762343,78.1204211601105,55.69114737595791,55.15304874088841,55.56564153782059,209.92375565910302,1.0,278.44383185737166,1.0,0
6,2024-06-13 18:31:45.709887,4.848784209364241,4.271574945075252,77.7625131310376,78.12591115960642,55.97958218154292,55.359597484289786,55.85741698053596,208.90167075295096,1.0,276.55625618642136,1.0,0
7,2024-06-13 18:31:49.904025,5.13240509219375,4.4800819539734755,77.772575984813,78.13142903903221,56.26403671594629,55.56724840701358,56.144974828241295,207.87439538083257,1.0,274.68283325362637,1.0,0
8,2024-06-13 18:31:54.006068,5.412262971912664,4.689254453077714,77.78256799949959,78.13697133657037,56.54471948834151,55.77575940217943,56.42856662086847,206.8425740366984,1.0,272.82259858496917,1.0,0
9,2024-06-13 18:31:58.317590,5.688529467850313,4.898929779961343,77.79249344420339,78.14253528447517,56.82180446771555,55.98493492038162,56.70839704612855,205.80672199767008,1.0,270.9747573918744,1.0,0
10,2024-06-13 18:32:02.933144,5.961351417859189,5.108969791167946,77.80235591676629,78.14811860129554,57.095440130910205,56.194612440779274,56.98463749421723,204.76726400634968,1.0,269.1386398564531,1.0,0
11,2024-06-13 18:32:07.303848,6.2308566214479,5.319255150046815,77.812158503309,78.15371936219881,57.36575545809323,56.404653929537254,57.25743462617835,203.72455841293723,1.0,267.3136714290403,1.0,0
12,2024-06-13 18:32:11.919911,6.497157849317661,5.529681343118187,77.82190388899086,78.15933591324352,57.632864092104725,56.61494013722248,57.5269161013554,202.678913135246,1.0,265.4993522077978,1.0,0
13,2024-06-13 18:32:16.674389,6.762217511367896,5.743943104133954,77.83600952274622,78.17330159571029,57.8982431987281,56.82538963317302,57.79320819931183,200.078892267482,1.0,262.87327631036874,1.0,0
14,2024-06-13 18:32:20.892385,7.024285211263324,5.9581177146258515,77.8457261250264,78.17902702701535,58.16109580013357,57.03965086072938,58.058246009276466,199.01297651967386,1.0,261.0643157563563,1.0,0
15,2024-06-13 18:32:25.528220,7.157910618824492,6.167316763150818,65.41826349966423,77.44585519370999,58.34912315076844,57.25379532210336,58.31958063640694,335.5091392234826,1.0,0.0,0.0,1
16,2024-06-13 18:32:29.725172,7.417350887222258,6.379002864606989,77.86071688702704,78.18969317738039,58.55486836513102,57.46300936530651,58.45392010146118,197.02723657507445,1.0,258.27345364717223,1.0,1
17,2024-06-13 18:32:34.101010,7.673873887099979,6.590540503395689,77.87036530996454,78.19541967875142,58.8121955642517,57.67469456742969,58.713339448380985,195.96112161081317,1.0,256.47718618668375,1.0,1
18,2024-06-13 18:32:38.721240,7.927553804708846,6.801862977728627,77.87996534332065,78.20115703442286,59.06667883479481,57.88623090378631,58.96984225291875,194.89298587831055,1.0,254.68992751769161,1.0,1
19,2024-06-13 18:32:43.281439,8.17845890134943,7.012909387196263,77.889518421361,78.20690442990848,59.31838668764523,58.09755170869916,59.22350264513395,193.8229810122026,1.0,252.91141061989902,1.0,1
20,2024-06-13 18:32:47.904854,8.42665231482883,7.223623841989885,77.89902594424828,78.21266103121336,59.567382459558495,58.30859611323196,59.474388837569336,192.7512622791109,1.0,251.1413748220419,1.0,1
21,2024-06-13 18:32:52.412770,8.672192711940102,7.433954819595378,77.90848919752149,78.21842607293017,59.81372497708095,58.51930825525356,59.72256392534619,191.6779721765351,1.0,249.3795807925806,1.0,1
22,2024-06-13 18:32:56.681396,8.915134827238408,7.64385463418184,77.9179093664829,78.2241988489947,60.0574691035278,58.729636636778345,59.968086537599376,190.6032421539617,1.0,247.62580786126478,1.0,1
23,2024-06-13 18:33:00.928323,9.155529912630666,7.853278994297017,77.9272875481455,78.22997870509366,60.29866619485138,58.93953359386327,60.211011375432605,189.52719402629327,1.0,245.87985179484923,1.0,1
24,2024-06-13 18:33:05.392736,9.393426116083765,8.06218663069336,77.93662476124955,78.23576503236161,60.53736448322766,59.14895485470866,60.45138966085442,188.4499411473018,1.0,244.14152293229012,1.0,1
25,2024-06-13 18:33:09.592819,9.6213935458678,8.223323128404788,77.19461595396926,70.10819654767035,60.76866842580414,59.35760448487827,60.68922059439781,0.0,0.0,382.28288391390527,1.0,1
26,2024-06-13 18:33:13.836611,9.846375850908087,8.384924779749852,77.20725383863919,70.1785748676541,60.99470075689213,59.5187432192582,60.91716886478884,0.0,0.0,379.930061991706,1.0,1
27,2024-06-13 18:33:17.979362,10.068461323485092,8.54691339451157,77.21984106052284,70.2491078160151,61.21782599516716,59.680346735484456,61.142132783029446,0.0,0.0,377.586672068405,1.0,1
28,2024-06-13 18:33:22.452467,10.28773117386263,8.709217632339964,77.23237878388538,70.31976582283822,61.43812613112209,59.842336874132265,61.36420057900624,0.0,0.0,375.2524973902591,1.0,1
29,2024-06-13 18:33:26.595124,10.504260506191356,8.871772046378002,77.24486807508043,70.39052191296479,61.65567692265203,60.00464232165261,61.58345340899916,0.0,0.0,372.92733943195384,1.0,1
30,2024-06-13 18:33:34.784340,10.668000000000001,9.056437905684634,77.8586640918605,70.87757214858055,72.91639397084049,60.29253242926997,72.91639397084047,0.0,0.0,258.65562689813663,1.0,1
31,2024-06-13 18:33:39.136891,10.668000000000001,9.312655998280878,77.8610505511887,70.90232084884549,72.93458246539423,60.352424291809456,72.9345824653942,0.0,0.0,258.2113346791078,1.0,1
32,2024-06-13 18:33:43.128424,10.668000000000001,9.56683063438046,77.87129876431032,71.00822259680086,73.0124274229288,60.60862786446233,73.01242742292878,0.0,0.0,256.3034030018021,1.0,1
33,2024-06-13 18:33:47.251676,10.668000000000001,9.818965359910411,77.88152908360628,71.11333238711279,73.089707202168,60.86278810467526,73.08970720216799,0.0,0.0,254.39880265615486,1.0,1
34,2024-06-13 18:33:51.672325,10.668000000000001,10.069063753654827,77.89174148671931,71.21765154435353,73.16642403269933,61.114908558206764,73.1664240326993,0.0,0.0,252.49753780446616,1.0,1
35,2024-06-13 18:33:55.774907,10.668000000000001,10.317129409630816,77.90193574589559,71.32118127994927,73.24257734143109,61.36499280354505,73.24257734143104,0.0,0.0,250.5996508481472,1.0,1
36,2024-06-13 18:33:59.925964,10.668000000000001,10.563165963577376,77.91211193004136,71.42392299210267,73.31817062783091,61.613044434591615,73.3181706278309,0.0,0.0,248.7051289587769,1.0,1
37,2024-06-13 18:34:08.724823,10.668000000000001,10.668000000000001,79.17982917077484,79.1583351691531,79.16353518869636,79.14988168425313,79.16353518869629,0.0,0.0,12.69150855894384,1.0,1
38,2024-06-13 18:34:13.056831,10.668000000000001,10.668000000000001,79.17982922672692,79.15833523946823,79.16353528627218,79.14988176670134,79.16353528627214,0.0,0.0,12.691498142228296,1.0,1
39,2024-06-13 18:34:17.080829,10.668000000000001,10.668000000000001,79.17982922656641,79.15833523926652,79.16353528599228,79.14988176646483,79.16353528599222,0.0,0.0,12.691498172108245,1.0,1
40,2024-06-13 18:34:21.484556,10.668000000000001,10.668000000000001,79.17982921120141,79.15833521995727,79.16353525919698,79.14988174382366,79.1635352591969,0.0,0.0,12.691501032644657,1.0,1
