iteration,timestamp,P79,T41,T42,P1
0.0,2024-06-13 18:31:24.434057,1.0,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-06-13 18:31:28.620792,1.0,3.3647472858428955,3.2481727600097656,1.0
2.0,2024-06-13 18:31:33.010319,1.0,3.6717066764831543,3.4489753246307373,1.0
3.0,2024-06-13 18:31:37.020881,1.0,3.9730355739593506,3.6522605419158936,1.0
4.0,2024-06-13 18:31:41.345248,1.0,4.269386291503906,3.857387065887451,1.0
5.0,2024-06-13 18:31:45.605500,1.0,4.561195373535156,4.063929080963135,1.0
6.0,2024-06-13 18:31:49.761319,1.0,4.848784446716309,4.271574974060059,1.0
7.0,2024-06-13 18:31:53.901599,1.0,5.1324052810668945,4.480082035064697,1.0
8.0,2024-06-13 18:31:58.144102,1.0,5.412262916564941,4.689254283905029,1.0
9.0,2024-06-13 18:32:02.783982,1.0,5.6885294914245605,4.898929595947266,1.0
10.0,2024-06-13 18:32:07.191360,1.0,5.96135139465332,5.108969688415527,1.0
11.0,2024-06-13 18:32:11.860629,1.0,6.230856418609619,5.319255352020264,1.0
12.0,2024-06-13 18:32:16.553929,1.0,6.497158050537109,5.529681205749512,1.0
13.0,2024-06-13 18:32:20.792031,1.0,6.7622175216674805,5.743943214416504,1.0
14.0,2024-06-13 18:32:25.402673,1.0,3.024285316467285,5.958117485046387,1.0
15.0,2024-06-13 18:32:29.646929,1.0,3.1579108238220215,6.167316913604736,0.0
16.0,2024-06-13 18:32:33.990921,1.0,3.4173507690429688,6.379003047943115,1.0
17.0,2024-06-13 18:32:38.593000,1.0,3.6738739013671875,6.590540409088135,1.0
18.0,2024-06-13 18:32:43.096652,1.0,3.927553653717041,6.801863193511963,1.0
19.0,2024-06-13 18:32:47.827558,1.0,4.178459167480469,7.012909412384033,1.0
20.0,2024-06-13 18:32:52.300518,1.0,4.426651954650879,7.223623752593994,1.0
21.0,2024-06-13 18:32:56.556141,1.0,4.672192573547363,7.43395471572876,1.0
22.0,2024-06-13 18:33:00.807896,1.0,4.915134429931641,7.64385461807251,1.0
23.0,2024-06-13 18:33:05.294073,1.0,5.155529975891113,7.853279113769531,1.0
24.0,2024-06-13 18:33:09.498384,1.0,5.393425941467285,8.062186241149902,1.0
25.0,2024-06-13 18:33:13.748434,0.0,5.621393203735352,8.223322868347168,1.0
26.0,2024-06-13 18:33:17.886508,0.0,5.846375465393066,8.38492488861084,1.0
27.0,2024-06-13 18:33:22.234537,0.0,6.0684614181518555,8.546913146972656,1.0
28.0,2024-06-13 18:33:26.502260,0.0,6.287731170654297,8.70921802520752,1.0
29.0,2024-06-13 18:33:34.716927,0.0,6.668000221252441,8.996542930603027,1.0
30.0,2024-06-13 18:33:39.061429,0.0,6.668000221252441,9.056437492370605,1.0
31.0,2024-06-13 18:33:43.036922,0.0,6.668000221252441,9.31265640258789,1.0
32.0,2024-06-13 18:33:47.187746,0.0,6.668000221252441,9.5668306350708,1.0
33.0,2024-06-13 18:33:51.592251,0.0,6.668000221252441,9.818964958190918,1.0
34.0,2024-06-13 18:33:55.689081,0.0,6.668000221252441,10.069064140319824,1.0
35.0,2024-06-13 18:33:59.773074,0.0,6.668000221252441,10.317129135131836,1.0
36.0,2024-06-13 18:34:08.657309,0.0,6.668000221252441,10.668000221252441,1.0
37.0,2024-06-13 18:34:12.916223,0.0,6.668000221252441,10.668000221252441,1.0
38.0,2024-06-13 18:34:16.984905,0.0,6.668000221252441,10.668000221252441,1.0
39.0,2024-06-13 18:34:21.416130,0.0,6.668000221252441,10.668000221252441,1.0
40.0,2024-06-13 18:34:25.384746,0.0,6.668000221252441,10.668000221252441,1.0
41.0,2024-06-13 18:34:29.455465,0.0,6.668000221252441,10.668000221252441,1.0
42.0,2024-06-13 18:34:33.570654,0.0,6.668000221252441,10.668000221252441,1.0
43.0,2024-06-13 18:34:37.939444,0.0,6.668000221252441,10.668000221252441,1.0
44.0,2024-06-13 18:34:42.088571,0.0,6.668000221252441,10.668000221252441,1.0
45.0,2024-06-13 18:34:46.245730,0.0,6.668000221252441,10.668000221252441,1.0
46.0,2024-06-13 18:34:50.446862,0.0,6.668000221252441,10.668000221252441,1.0
47.0,2024-06-13 18:34:54.505499,0.0,6.668000221252441,10.668000221252441,1.0
48.0,2024-06-13 18:34:58.599877,0.0,6.668000221252441,10.668000221252441,1.0
49.0,2024-06-13 18:35:02.760416,0.0,6.668000221252441,10.668000221252441,1.0
50.0,2024-06-13 18:35:06.972306,0.0,6.668000221252441,10.668000221252441,1.0
