iteration,timestamp,P79,T41,T42,P1
0.0,2024-06-13 18:26:08.513074,1.0,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-06-13 18:26:12.622144,1.0,3.3647472858428955,3.2481727600097656,1.0
2.0,2024-06-13 18:26:17.053735,1.0,3.6717066764831543,3.4489753246307373,1.0
3.0,2024-06-13 18:26:22.053781,1.0,3.9730355739593506,3.6522605419158936,1.0
4.0,2024-06-13 18:26:26.772564,1.0,4.269386291503906,3.857387065887451,1.0
5.0,2024-06-13 18:26:31.451113,1.0,4.561195373535156,4.063929080963135,1.0
6.0,2024-06-13 18:26:36.269189,1.0,4.848784446716309,4.271574974060059,1.0
7.0,2024-06-13 18:26:40.661122,1.0,5.1324052810668945,4.480082035064697,1.0
8.0,2024-06-13 18:26:45.675868,1.0,5.412262916564941,4.689254283905029,1.0
9.0,2024-06-13 18:26:50.615870,1.0,5.6885294914245605,4.898929595947266,1.0
10.0,2024-06-13 18:26:55.228001,1.0,5.96135139465332,5.108969688415527,1.0
11.0,2024-06-13 18:26:59.831542,1.0,6.230856418609619,5.319255352020264,1.0
12.0,2024-06-13 18:27:04.565155,1.0,6.497158050537109,5.529681205749512,1.0
13.0,2024-06-13 18:27:09.204833,1.0,6.7622175216674805,5.743943214416504,1.0
14.0,2024-06-13 18:27:14.128828,1.0,3.024285316467285,5.958117485046387,1.0
15.0,2024-06-13 18:27:18.896291,1.0,3.024285316467285,6.172133445739746,1.0
16.0,2024-06-13 18:27:23.590885,1.0,3.5397558212280273,6.385924339294434,1.0
17.0,2024-06-13 18:27:28.372761,1.0,3.5397558212280273,6.59943151473999,1.0
18.0,2024-06-13 18:27:32.812737,1.0,4.044130325317383,6.8125996589660645,1.0
19.0,2024-06-13 18:27:37.414503,1.0,4.292308807373047,7.0253777503967285,1.0
20.0,2024-06-13 18:27:41.626569,1.0,4.53788948059082,7.237719535827637,1.0
21.0,2024-06-13 18:27:45.934122,1.0,4.78092098236084,7.449580669403076,1.0
22.0,2024-06-13 18:27:50.132693,1.0,5.021451950073242,7.6609206199646,1.0
23.0,2024-06-13 18:27:54.505563,1.0,5.259526252746582,7.871701240539551,1.0
24.0,2024-06-13 18:27:58.948365,1.0,5.495187759399414,8.081887245178223,1.0
25.0,2024-06-13 18:28:03.329849,0.0,5.7209882736206055,8.244264602661133,1.0
26.0,2024-06-13 18:28:07.669927,0.0,5.94389533996582,8.407023429870605,1.0
27.0,2024-06-13 18:28:11.865319,0.0,6.163989067077637,8.570094108581543,1.0
28.0,2024-06-13 18:28:16.122044,0.0,6.381343841552734,8.733410835266113,1.0
29.0,2024-06-13 18:28:24.912773,0.0,6.668000221252441,8.95254898071289,1.0
30.0,2024-06-13 18:28:29.420112,0.0,6.668000221252441,9.122198104858398,1.0
31.0,2024-06-13 18:28:34.028526,0.0,6.668000221252441,9.37789249420166,1.0
32.0,2024-06-13 18:28:38.349720,0.0,6.668000221252441,9.631545066833496,1.0
33.0,2024-06-13 18:28:42.751473,0.0,6.668000221252441,9.883157730102539,1.0
34.0,2024-06-13 18:28:47.186372,0.0,6.668000221252441,10.132736206054688,1.0
35.0,2024-06-13 18:28:51.256508,0.0,6.668000221252441,10.380282402038574,1.0
36.0,2024-06-13 18:28:59.697772,0.0,6.668000221252441,10.668000221252441,1.0
37.0,2024-06-13 18:29:03.852113,0.0,6.668000221252441,10.668000221252441,1.0
38.0,2024-06-13 18:29:08.163990,0.0,6.668000221252441,10.668000221252441,1.0
39.0,2024-06-13 18:29:12.661704,0.0,6.668000221252441,10.668000221252441,1.0
40.0,2024-06-13 18:29:16.996783,0.0,6.668000221252441,10.668000221252441,1.0
41.0,2024-06-13 18:29:20.990616,0.0,6.668000221252441,10.668000221252441,1.0
42.0,2024-06-13 18:29:25.247636,0.0,6.668000221252441,10.668000221252441,1.0
43.0,2024-06-13 18:29:29.532930,0.0,6.668000221252441,10.668000221252441,1.0
44.0,2024-06-13 18:29:34.034443,0.0,6.668000221252441,10.668000221252441,1.0
45.0,2024-06-13 18:29:38.487868,0.0,6.668000221252441,10.668000221252441,1.0
46.0,2024-06-13 18:29:42.696704,0.0,6.668000221252441,10.668000221252441,1.0
47.0,2024-06-13 18:29:46.881445,0.0,6.668000221252441,10.668000221252441,1.0
48.0,2024-06-13 18:29:51.433513,0.0,6.668000221252441,10.668000221252441,1.0
49.0,2024-06-13 18:29:55.426095,0.0,6.668000221252441,10.668000221252441,1.0
50.0,2024-06-13 18:29:59.628290,0.0,6.668000221252441,10.668000221252441,1.0
