iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,T41,T42,P1
0.0,2024-06-16 12:56:14.893788,1.0,1,1,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-06-16 12:56:19.910188,1.0,1,1,3.0510001182556152,3.0510001182556152,1.0
2.0,2024-06-16 12:56:24.982792,1.0,1,1,3.3647472858428955,3.4489753246307373,1.0
3.0,2024-06-16 12:56:30.474968,1.0,1,1,3.6717066764831543,3.6522605419158936,1.0
4.0,2024-06-16 12:56:36.054808,1.0,1,1,3.9730355739593506,3.857387065887451,1.0
5.0,2024-06-16 12:56:46.522955,1.0,1,1,4.561195373535156,4.063929080963135,1.0
6.0,2024-06-16 12:56:51.411512,1.0,1,1,4.848784446716309,4.271574974060059,1.0
7.0,2024-06-16 12:56:56.647910,1.0,1,1,5.1324052810668945,4.480082035064697,1.0
8.0,2024-06-16 12:57:01.978230,1.0,1,1,5.412262916564941,4.689254283905029,1.0
9.0,2024-06-16 12:57:08.000351,1.0,1,1,5.6885294914245605,4.898929595947266,1.0
10.0,2024-06-16 12:57:12.982647,1.0,1,1,5.96135139465332,4.898929595947266,1.0
11.0,2024-06-16 12:57:18.158813,1.0,1,1,5.96135139465332,5.108969688415527,1.0
12.0,2024-06-16 12:57:23.034652,1.0,1,1,6.230856418609619,5.529681205749512,1.0
13.0,2024-06-16 12:57:27.938545,1.0,1,1,6.497158050537109,5.743943214416504,1.0
14.0,2024-06-16 12:57:33.046560,1.0,1,1,6.7622175216674805,5.958117485046387,1.0
15.0,2024-06-16 12:57:37.795252,1.0,1,0,7.283440113067627,6.172133445739746,1.0
16.0,2024-06-16 12:57:42.835736,1.0,1,0,7.415029525756836,6.381161212921143,0.0
17.0,2024-06-16 12:57:47.920227,1.0,1,0,7.547410011291504,6.381161212921143,0.0
18.0,2024-06-16 12:57:52.575125,1.0,1,0,7.547410011291504,6.587806224822998,0.0
19.0,2024-06-16 12:57:57.615448,1.0,1,0,7.814469814300537,6.994028568267822,0.0
20.0,2024-06-16 12:58:02.823147,1.0,1,0,4.561195373535156,6.994028568267822,0.0
21.0,2024-06-16 12:58:07.818673,1.0,1,1,4.848784446716309,7.1936469078063965,0.0
22.0,2024-06-16 12:58:12.850545,1.0,1,1,4.848784446716309,7.390964508056641,1.0
23.0,2024-06-16 12:58:17.375428,1.0,1,1,5.412262916564941,7.791314601898193,1.0
24.0,2024-06-16 12:58:22.446548,1.0,1,1,5.6885294914245605,7.991696834564209,1.0
25.0,2024-06-16 12:58:27.958774,1.0,1,1,5.6885294914245605,7.991696834564209,1.0
26.0,2024-06-16 12:58:33.114906,1.0,0,1,6.230856418609619,8.38889217376709,1.0
27.0,2024-06-16 12:58:37.806812,0.0,0,1,6.230856418609619,8.38889217376709,1.0
28.0,2024-06-16 12:58:42.866685,0.0,0,1,6.497158050537109,8.69640827178955,1.0
29.0,2024-06-16 12:58:47.650348,0.0,0,1,6.7622175216674805,8.851407051086426,1.0
30.0,2024-06-16 12:58:52.327196,0.0,0,0,10.259732246398926,9.00707721710205,1.0
31.0,2024-06-16 12:58:56.796875,0.0,0,0,10.184066772460938,9.00707721710205,0.0
32.0,2024-06-16 12:59:01.706736,0.0,0,0,10.184066772460938,9.062405586242676,0.0
33.0,2024-06-16 12:59:06.761749,0.0,0,0,10.112310409545898,9.161372184753418,0.0
34.0,2024-06-16 12:59:11.214793,0.0,0,0,10.044426918029785,9.205082893371582,0.0
35.0,2024-06-16 12:59:16.108357,0.0,0,0,9.920126914978027,9.24499797821045,0.0
36.0,2024-06-16 12:59:21.062347,0.0,0,0,9.863629341125488,9.281157493591309,0.0
37.0,2024-06-16 12:59:26.146984,0.0,0,0,9.813530921936035,9.281157493591309,0.0
38.0,2024-06-16 12:59:30.623377,0.0,0,0,9.813530921936035,9.31766414642334,0.0
39.0,2024-06-16 12:59:35.386659,0.0,0,0,9.724438667297363,9.379570960998535,0.0
40.0,2024-06-16 12:59:40.227375,0.0,0,0,9.724438667297363,9.379570960998535,0.0
41.0,2024-06-16 12:59:45.547034,0.0,0,0,9.64983081817627,9.426992416381836,0.0
42.0,2024-06-16 12:59:50.511525,0.0,0,0,9.64983081817627,9.445405006408691,0.0
43.0,2024-06-16 12:59:55.566613,0.0,0,0,9.61782455444336,9.460367202758789,0.0
44.0,2024-06-16 13:00:00.455178,0.0,0,0,9.58927059173584,9.471944808959961,0.0
45.0,2024-06-16 13:00:05.427038,0.0,0,0,9.542237281799316,9.48021411895752,0.0
46.0,2024-06-16 13:00:10.240089,0.0,0,0,9.542237281799316,9.48021411895752,0.0
47.0,2024-06-16 13:00:14.991525,0.0,0,0,9.523599624633789,9.487173080444336,0.0
48.0,2024-06-16 13:00:19.487383,0.0,0,0,9.495617866516113,9.486054420471191,0.0
49.0,2024-06-16 13:00:24.433019,0.0,0,0,9.495617866516113,9.486054420471191,0.0
50.0,2024-06-16 13:00:29.055477,0.0,0,0,9.468974113464355,9.46337890625,0.0
