iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,T41,T42,P1
0.0,2024-06-13 19:21:29.112191,1.0,1,1,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-06-13 19:21:33.997532,1.0,1,1,3.3647472858428955,3.0510001182556152,1.0
2.0,2024-06-13 19:21:39.260081,1.0,1,1,3.6717066764831543,3.2481727600097656,1.0
3.0,2024-06-13 19:21:44.184151,1.0,1,1,3.6717066764831543,3.4489753246307373,1.0
4.0,2024-06-13 19:21:48.783969,1.0,1,1,4.269386291503906,3.6522605419158936,1.0
5.0,2024-06-13 19:21:53.959234,1.0,1,1,4.269386291503906,3.857387065887451,1.0
6.0,2024-06-13 19:21:59.153212,1.0,1,1,4.561195373535156,4.271574974060059,1.0
7.0,2024-06-13 19:22:04.289991,1.0,1,1,5.1324052810668945,4.480082035064697,1.0
8.0,2024-06-13 19:22:09.696761,1.0,1,1,5.412262916564941,4.480082035064697,1.0
9.0,2024-06-13 19:22:15.102027,1.0,1,1,5.412262916564941,4.689254283905029,1.0
10.0,2024-06-13 19:22:20.061080,1.0,1,1,6.0,5.108969688415527,1.0
11.0,2024-06-13 19:22:25.628273,1.0,1,1,6.0,5.108969688415527,1.0
12.0,2024-06-13 19:22:30.803617,1.0,1,1,6.0,5.319255352020264,1.0
13.0,2024-06-13 19:22:36.006052,1.0,1,1,6.0,5.529681205749512,1.0
14.0,2024-06-13 19:22:41.659831,1.0,1,1,6.0,5.743943214416504,1.0
15.0,2024-06-13 19:22:46.737091,1.0,1,1,6.0,5.958117485046387,1.0
16.0,2024-06-13 19:22:51.325753,1.0,1,1,6.0,6.385924339294434,1.0
17.0,2024-06-13 19:22:56.317645,1.0,1,1,6.0,6.59943151473999,1.0
18.0,2024-06-13 19:23:01.856064,1.0,1,1,6.0,6.8125996589660645,1.0
19.0,2024-06-13 19:23:06.764641,1.0,1,1,6.0,7.0253777503967285,1.0
20.0,2024-06-13 19:23:11.632934,1.0,1,1,6.0,7.0253777503967285,1.0
21.0,2024-06-13 19:23:16.624774,1.0,1,1,6.0,7.449580669403076,1.0
22.0,2024-06-13 19:23:21.637209,1.0,1,1,6.0,7.6609206199646,1.0
23.0,2024-06-13 19:23:26.732315,1.0,1,1,6.0,7.6609206199646,1.0
24.0,2024-06-13 19:23:31.788970,1.0,0,1,6.0,8.081887245178223,1.0
25.0,2024-06-13 19:23:37.017468,0.0,0,1,6.0,8.244264602661133,1.0
26.0,2024-06-13 19:23:42.439221,0.0,0,1,6.0,8.244264602661133,1.0
27.0,2024-06-13 19:23:47.873690,0.0,0,1,6.0,8.407023429870605,1.0
28.0,2024-06-13 19:23:53.028965,0.0,0,1,6.0,8.570094108581543,1.0
29.0,2024-06-13 19:24:03.432187,0.0,0,1,6.0,8.896913528442383,1.0
30.0,2024-06-13 19:24:08.769291,0.0,0,1,6.0,9.122198104858398,1.0
31.0,2024-06-13 19:24:13.935080,0.0,0,1,6.0,9.122198104858398,1.0
32.0,2024-06-13 19:24:19.529759,0.0,0,1,6.0,9.37789249420166,1.0
33.0,2024-06-13 19:24:24.713335,0.0,0,1,6.0,9.631545066833496,1.0
34.0,2024-06-13 19:24:29.844149,0.0,0,1,6.0,9.883157730102539,1.0
35.0,2024-06-13 19:24:35.125359,0.0,0,1,6.0,10.132736206054688,1.0
36.0,2024-06-13 19:24:45.440772,0.0,0,1,6.0,10.625800132751465,1.0
37.0,2024-06-13 19:24:50.067006,0.0,0,1,6.0,10.668000221252441,1.0
38.0,2024-06-13 19:24:55.467568,0.0,0,1,6.0,10.668000221252441,1.0
39.0,2024-06-13 19:25:00.948921,0.0,0,1,6.0,10.668000221252441,1.0
40.0,2024-06-13 19:25:06.235415,0.0,0,1,6.0,10.668000221252441,1.0
41.0,2024-06-13 19:25:11.420816,0.0,0,1,6.0,10.668000221252441,1.0
42.0,2024-06-13 19:25:16.381462,0.0,0,0,10.668000221252441,10.668000221252441,1.0
43.0,2024-06-13 19:25:22.028466,0.0,0,0,10.662617683410645,10.659789085388184,0.0
44.0,2024-06-13 19:25:27.400425,0.0,0,0,10.662617683410645,10.659789085388184,0.0
45.0,2024-06-13 19:25:32.917510,0.0,0,0,10.648369789123535,10.6468505859375,0.0
46.0,2024-06-13 19:25:37.911099,0.0,0,0,10.641573905944824,10.6468505859375,0.0
47.0,2024-06-13 19:25:43.191968,0.0,0,0,10.641573905944824,10.640054702758789,0.0
48.0,2024-06-13 19:25:48.328434,0.0,0,0,10.634777069091797,10.626461029052734,0.0
49.0,2024-06-13 19:25:53.186824,0.0,0,0,10.616777420043945,10.613004684448242,0.0
50.0,2024-06-13 19:25:58.413267,0.0,0,0,10.604702949523926,10.600419044494629,0.0
