iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,T41MiM
0,2024-12-23 14:10:06.890921,3.0509999999999993,3.0509999999999993,-15.24,-15.24,-15.24,-15.24,-15.24,1450.0,1.0,1450.0,1.0,55.59964498384435,1.0,0
1,2024-12-23 14:10:12.709649,4.683529339475543,3.296214621068624,57.420979495228494,77.10722958162103,57.42097474414724,54.346909371789685,54.37644529449652,398.55179108722695,1.0,1377.714782356713,1.0,1588.9935137937528,1.0,0
2,2024-12-23 14:10:19.699458,6.243758308522937,3.5525889873803247,58.80606763249052,77.15470440943099,58.80606304653569,54.59220212168487,56.00652472271376,389.71330121798445,1.0,1329.4680607992827,1.0,1533.767175691878,1.0,0
3,2024-12-23 14:10:27.019065,7.732634994854147,3.8180088692419933,60.131493093285535,77.2019196715393,60.13148867843104,54.848641979620105,57.56442890624479,380.92313524859196,1.0,1280.0842214110983,1.0,1476.54287064654,1.0,0
4,2024-12-23 14:10:34.073461,7.870114670996353,4.069386795330744,59.059087053070904,77.17391436391038,59.059086446164905,55.11396102385751,59.027946395362186,386.13694305331006,1.0,0.0,0.0,202.97899431398037,1.0,0
5,2024-12-23 14:10:41.362736,8.007920979310832,4.318483738408208,59.196705256223744,77.18371557572925,59.19670465165783,55.36532301096382,59.16542744308212,384.3122305611649,1.0,0.0,0.0,202.19635580701834,1.0,0
6,2024-12-23 14:10:48.284490,8.146037910699425,4.565315782237665,59.33464356151928,77.19351648195311,59.334642959307004,55.61440425001014,59.303235058320695,382.48757496228984,1.0,0.0,0.0,201.40918301137845,1.0,0
7,2024-12-23 14:10:55.233244,8.28444940423298,4.809899088975046,59.47288589865462,77.20331683720683,59.47288529880939,55.86122082285895,59.441353231373775,380.6630219387017,1.0,0.0,0.0,200.61752807862376,1.0,0
8,2024-12-23 14:11:02.562477,8.423139380542738,5.052249899301932,59.61141616152493,77.21311639665366,59.61141556405999,56.105788889762415,59.57976590086492,378.83861707217613,1.0,0.0,0.0,199.82144316031736,1.0,0
9,2024-12-23 14:11:10.155004,8.562091721826997,5.292384532160213,59.750218219032725,77.22291491623092,59.750217623961184,56.34812468949331,59.71845698691324,377.0144058003884,1.0,0.0,0.0,199.02097461340418,1.0,0
10,2024-12-23 14:11:16.846314,8.701290286951707,5.530319384316881,59.889275910083335,77.23271215247499,59.889275317418104,56.58824453907887,59.85741037128828,375.1904334494729,1.0,0.0,0.0,198.21618617868353,1.0,0
11,2024-12-23 14:11:23.808768,8.840718925549004,5.766070930049521,60.02857305827715,77.24250786296518,60.028572468031015,56.82616483336678,59.99660991250695,373.36674515141266,1.0,0.0,0.0,197.40712421310036,1.0,0
12,2024-12-23 14:11:31.067778,8.980361414746236,5.99965572046357,60.16809345287638,77.25230180570256,60.16809286506193,57.06190204470867,60.13603945960359,371.5433859596561,1.0,0.0,0.0,196.59384666283586,1.0,0
13,2024-12-23 14:11:38.070587,9.122847046177275,6.234869278744743,60.30896724329982,77.27095525853693,60.30896665570544,57.29549759988057,60.27569413990425,368.07063289222026,1.0,0.0,0.0,196.52024632080156,1.0,0
14,2024-12-23 14:11:45.389234,9.265510524432425,6.467919079495306,60.45153059599987,77.2809147528791,60.4515300109082,57.530696871489695,60.41818054087758,366.21645260538685,1.0,0.0,0.0,195.68321663086863,1.0,0
15,2024-12-23 14:11:52.600451,9.408335544371912,6.69882180690992,60.59426474132206,77.29087235691617,60.59426415874549,57.76373260699899,60.56084471883157,364.36262424068514,1.0,0.0,0.0,194.8420466862899,1.0,0
16,2024-12-23 14:11:59.798391,9.551305776406602,6.927594222782734,60.737153342769744,77.30082783519572,60.73715276272045,57.994621488671584,60.703670368315954,362.50919163278724,1.0,0.0,0.0,193.99680312517376,1.0,0
17,2024-12-23 14:12:06.834475,9.694404845044915,7.154253165444787,60.88018003204704,77.31078095271614,60.880179454537085,58.22338027636224,60.846641159358384,360.656198532445,1.0,0.0,0.0,193.14752361253795,1.0,0
18,2024-12-23 14:12:13.796714,9.83761635586873,7.378815548640331,61.02332840883513,77.32073147485322,61.02332783387635,58.45002580645483,60.98974071622145,358.80368862015615,1.0,0.0,0.0,192.29428347841804,1.0,0
