iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,T41,T42,P1
0.0,2024-05-21 16:13:40.996021,1.0,1,1,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-05-21 16:13:48.058237,1.0,1,1,3.3647472858428955,3.0510001182556152,1.0
2.0,2024-05-21 16:13:53.575447,1.0,1,1,3.6717066764831543,3.2481727600097656,1.0
3.0,2024-05-21 16:13:59.068131,1.0,1,1,3.9730355739593506,3.6522605419158936,1.0
4.0,2024-05-21 16:14:05.326096,1.0,1,1,4.269386291503906,3.6522605419158936,1.0
5.0,2024-05-21 16:14:11.008166,1.0,1,1,4.561195373535156,3.857387065887451,1.0
6.0,2024-05-21 16:14:16.884471,1.0,1,1,4.848784446716309,4.271574974060059,1.0
7.0,2024-05-21 16:14:24.029179,1.0,1,1,5.1324052810668945,4.480082035064697,1.0
8.0,2024-05-21 16:14:32.207717,1.0,1,1,5.412262916564941,4.689254283905029,1.0
9.0,2024-05-21 16:14:40.275180,1.0,1,1,5.6885294914245605,4.689254283905029,1.0
10.0,2024-05-21 16:14:47.731425,1.0,1,1,5.96135139465332,5.108969688415527,1.0
11.0,2024-05-21 16:14:56.671419,1.0,1,1,6.230856418609619,5.319255352020264,1.0
12.0,2024-05-21 16:15:07.597018,1.0,1,1,6.497158050537109,5.529681205749512,1.0
13.0,2024-05-21 16:15:17.327219,1.0,1,1,6.7622175216674805,5.743943214416504,1.0
14.0,2024-05-21 16:15:27.793810,1.0,1,0,7.024285316467285,5.958117485046387,1.0
15.0,2024-05-21 16:15:38.055956,1.0,1,0,7.1579108238220215,6.167316913604736,0.0
16.0,2024-05-21 16:15:52.835374,1.0,1,0,7.2923126220703125,6.374145030975342,0.0
17.0,2024-05-21 16:16:04.247438,1.0,1,0,7.427472114562988,6.578623294830322,0.0
18.0,2024-05-21 16:16:18.231349,1.0,1,0,7.563370227813721,6.780770778656006,0.0
19.0,2024-05-21 16:16:30.155825,1.0,1,0,7.699987411499023,6.98060941696167,0.0
20.0,2024-05-21 16:16:44.108198,1.0,1,0,7.837303161621094,7.178159713745117,0.0
21.0,2024-05-21 16:16:58.531069,1.0,1,0,7.9752984046936035,7.373443126678467,0.0
22.0,2024-05-21 16:17:14.882298,1.0,1,0,8.113951683044434,7.566482067108154,0.0
23.0,2024-05-21 16:17:32.914241,1.0,1,0,8.253242492675781,7.757297992706299,0.0
24.0,2024-05-21 16:17:46.358575,1.0,1,0,8.393149375915527,7.9459147453308105,0.0
25.0,2024-05-21 16:18:01.678263,1.0,1,0,8.53255558013916,8.130583763122559,0.0
26.0,2024-05-21 16:18:18.635584,1.0,0,0,8.67251968383789,8.313126564025879,0.0
27.0,2024-05-21 16:18:33.742281,0.0,0,0,8.630016326904297,8.33529281616211,0.0
28.0,2024-05-21 16:18:47.949126,0.0,0,0,8.591028213500977,8.353944778442383,0.0
29.0,2024-05-21 16:19:03.632598,0.0,0,0,8.555492401123047,8.369142532348633,0.0
30.0,2024-05-21 16:19:24.716167,0.0,0,0,8.523344039916992,8.38095474243164,0.0
31.0,2024-05-21 16:19:45.787316,0.0,0,0,8.4945068359375,8.38945484161377,0.0
32.0,2024-05-21 16:20:02.903396,0.0,0,0,8.46889877319336,8.394725799560547,0.0
33.0,2024-05-21 16:20:19.223761,0.0,0,0,8.446425437927246,8.396862030029297,0.0
34.0,2024-05-21 16:20:38.311514,0.0,0,0,8.426983833312988,8.395967483520508,0.0
35.0,2024-05-21 16:20:57.864023,0.0,0,0,8.410482406616211,8.392131805419922,0.0
36.0,2024-05-21 16:21:17.228058,0.0,0,0,8.396479606628418,8.385797500610352,0.0
37.0,2024-05-21 16:21:40.027376,0.0,0,0,8.386549949645996,8.382133483886719,0.0
38.0,2024-05-21 16:22:06.167267,0.0,0,0,8.378561019897461,8.376530647277832,0.0
39.0,2024-05-21 16:22:38.079056,0.0,0,0,8.3715181350708,8.369979858398438,0.0
40.0,2024-05-21 16:22:59.247223,0.0,0,0,8.364712715148926,8.36319351196289,0.0
41.0,2024-05-21 16:23:22.047634,0.0,0,0,8.357915878295898,8.356396675109863,0.0
42.0,2024-05-21 16:23:51.295341,0.0,0,0,8.351119041442871,8.349599838256836,0.0
43.0,2024-05-21 16:24:14.865027,0.0,0,0,8.34432315826416,8.342803955078125,0.0
44.0,2024-05-21 16:24:39.875712,0.0,0,0,8.337526321411133,8.336007118225098,0.0
45.0,2024-05-21 16:25:05.777765,0.0,0,0,8.330730438232422,8.329211235046387,0.0
46.0,2024-05-21 16:25:31.679357,0.0,0,0,8.323933601379395,8.32241439819336,0.0
47.0,2024-05-21 16:26:00.467592,0.0,0,0,8.317136764526367,8.315617561340332,0.0
48.0,2024-05-21 16:26:29.884923,0.0,0,0,8.310340881347656,8.308821678161621,0.0
49.0,2024-05-21 16:26:56.896635,0.0,0,0,8.299138069152832,8.295364379882812,0.0
50.0,2024-05-21 16:27:32.886614,0.0,0,0,8.287063598632812,8.282779693603516,0.0
51.0,2024-05-21 16:27:57.007500,0.0,0,0,8.274825096130371,8.270358085632324,0.0
52.0,2024-05-21 16:28:31.323639,0.0,0,0,8.262529373168945,8.257993698120117,0.0
53.0,2024-05-21 16:29:04.402139,0.0,0,0,8.250212669372559,8.245651245117188,0.0
54.0,2024-05-21 16:29:50.582700,0.0,0,0,8.23788833618164,8.233315467834473,0.0
55.0,2024-05-21 16:30:27.704615,0.0,0,0,8.225560188293457,8.22098445892334,0.0
56.0,2024-05-21 16:30:55.619820,0.0,0,0,8.213231086730957,8.208653450012207,0.0
57.0,2024-05-21 16:31:43.468967,0.0,0,0,8.200901985168457,8.19632339477539,0.0
58.0,2024-05-21 16:32:21.155358,0.0,0,0,8.18857192993164,8.183993339538574,0.0
59.0,2024-05-21 16:32:59.168830,0.0,0,0,8.17624282836914,8.171663284301758,0.0
60.0,2024-05-21 16:33:37.183484,0.0,0,0,8.163912773132324,8.159333229064941,0.0
61.0,2024-05-21 16:34:29.377181,0.0,0,0,8.14603328704834,8.138598442077637,0.0
62.0,2024-05-21 16:35:23.919156,0.0,0,0,8.127408981323242,8.118608474731445,0.0
63.0,2024-05-21 16:36:02.100544,0.0,0,0,8.108469009399414,8.098933219909668,0.0
64.0,2024-05-21 16:36:43.839168,0.0,0,0,8.08936882019043,8.079419136047363,0.0
65.0,2024-05-21 16:37:34.743479,0.0,0,0,8.070178985595703,8.0599946975708,0.0
66.0,2024-05-21 16:38:25.485344,0.0,0,0,8.050939559936523,8.040618896484375,0.0
67.0,2024-05-21 16:39:28.291497,0.0,0,0,8.031671524047852,8.021272659301758,0.0
68.0,2024-05-21 16:40:11.807250,0.0,0,0,8.0123872756958,8.00194263458252,0.0
69.0,2024-05-21 16:41:30.329895,0.0,0,0,7.9930925369262695,7.982622146606445,0.0
70.0,2024-05-21 16:42:57.599326,0.0,0,0,7.973793029785156,7.963306903839111,0.0
71.0,2024-05-21 16:43:41.357240,0.0,0,0,7.9544901847839355,7.943995475769043,0.0
72.0,2024-05-21 18:54:19.797357,0.0,0,0,7.935185432434082,7.924685478210449,0.0
73.0,2024-05-21 18:54:59.695819,0.0,0,0,7.915101528167725,7.904185771942139,0.0
