iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,T41,T42,P1
0.0,2024-06-13 17:21:49.071837,1.0,1,1,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-06-13 17:21:53.756159,1.0,1,1,3.3647472858428955,3.0510001182556152,1.0
2.0,2024-06-13 17:21:59.003923,1.0,1,1,3.3647472858428955,3.2481727600097656,1.0
3.0,2024-06-13 17:22:04.108052,1.0,1,1,3.6717066764831543,3.6522605419158936,1.0
4.0,2024-06-13 17:22:09.297058,1.0,1,1,4.269386291503906,3.857387065887451,1.0
5.0,2024-06-13 17:22:14.376241,1.0,1,1,4.561195373535156,4.063929080963135,1.0
6.0,2024-06-13 17:22:19.958105,1.0,1,1,4.848784446716309,4.271574974060059,1.0
7.0,2024-06-13 17:22:26.360311,1.0,1,1,5.1324052810668945,4.480082035064697,1.0
8.0,2024-06-13 17:22:32.388247,1.0,1,1,5.412262916564941,4.689254283905029,1.0
9.0,2024-06-13 17:22:38.369984,1.0,1,1,5.6885294914245605,4.898929595947266,1.0
10.0,2024-06-13 17:22:44.524357,1.0,1,1,5.96135139465332,5.108969688415527,1.0
11.0,2024-06-13 17:22:50.588353,1.0,1,1,6.230856418609619,5.319255352020264,1.0
12.0,2024-06-13 17:22:56.588045,1.0,1,1,6.497158050537109,5.529681205749512,1.0
13.0,2024-06-13 17:23:02.650699,1.0,1,1,6.7622175216674805,5.743943214416504,1.0
14.0,2024-06-13 17:23:08.968203,1.0,1,1,7.024285316467285,5.958117485046387,1.0
15.0,2024-06-13 17:23:14.792015,1.0,1,0,7.283440113067627,6.172133445739746,1.0
16.0,2024-06-13 17:23:20.849863,1.0,1,0,7.539755821228027,6.385924339294434,1.0
17.0,2024-06-13 17:23:26.992209,1.0,1,0,7.793298244476318,6.59943151473999,1.0
18.0,2024-06-13 17:23:32.827089,1.0,1,0,8.044130325317383,6.8125996589660645,1.0
19.0,2024-06-13 17:23:38.928126,1.0,1,0,8.292308807373047,7.0253777503967285,1.0
20.0,2024-06-13 17:23:44.738579,1.0,1,0,8.53788948059082,7.237719535827637,1.0
21.0,2024-06-13 17:23:50.830746,1.0,1,0,8.78092098236084,7.449580669403076,1.0
22.0,2024-06-13 17:23:56.951614,1.0,1,0,9.021451950073242,7.6609206199646,1.0
23.0,2024-06-13 17:24:03.102429,1.0,1,0,9.259526252746582,7.871701240539551,1.0
24.0,2024-06-13 17:24:08.952535,1.0,1,0,9.495187759399414,8.081887245178223,1.0
25.0,2024-06-13 17:24:15.120004,1.0,0,0,9.727603912353516,8.289681434631348,1.0
26.0,2024-06-13 17:24:21.328454,0.0,0,0,9.951061248779297,8.451662063598633,1.0
27.0,2024-06-13 17:24:27.192058,0.0,0,0,10.171669960021973,8.61398696899414,1.0
28.0,2024-06-13 17:24:33.369227,0.0,0,0,10.389508247375488,8.776588439941406,1.0
29.0,2024-06-13 17:24:45.600457,0.0,0,0,10.668000221252441,8.987751960754395,1.0
30.0,2024-06-13 17:24:51.572039,0.0,0,0,10.668000221252441,9.168342590332031,1.0
31.0,2024-06-13 17:24:57.650293,0.0,0,0,10.668000221252441,9.423669815063477,1.0
32.0,2024-06-13 17:25:03.736178,0.0,0,0,10.668000221252441,9.676955223083496,1.0
33.0,2024-06-13 17:25:09.590102,0.0,0,0,10.668000221252441,9.928202629089355,1.0
34.0,2024-06-13 17:25:15.824136,0.0,0,0,10.668000221252441,10.177413940429688,1.0
35.0,2024-06-13 17:25:27.936180,0.0,0,0,10.668000221252441,10.668000221252441,1.0
36.0,2024-06-13 17:25:34.091608,0.0,0,0,10.668000221252441,10.668000221252441,1.0
37.0,2024-06-13 17:25:39.984085,0.0,0,0,10.668000221252441,10.668000221252441,1.0
38.0,2024-06-13 17:25:46.112175,0.0,0,0,10.668000221252441,10.668000221252441,1.0
39.0,2024-06-13 17:25:52.052270,0.0,0,0,10.668000221252441,10.668000221252441,1.0
40.0,2024-06-13 17:25:58.204715,0.0,0,0,10.668000221252441,10.668000221252441,1.0
41.0,2024-06-13 17:26:04.072481,0.0,0,0,10.668000221252441,10.668000221252441,1.0
42.0,2024-06-13 17:26:09.966054,0.0,0,0,10.668000221252441,10.668000221252441,1.0
43.0,2024-06-13 17:26:16.160031,0.0,0,0,10.668000221252441,10.668000221252441,1.0
44.0,2024-06-13 17:26:22.244227,0.0,0,0,10.668000221252441,10.668000221252441,1.0
45.0,2024-06-13 17:26:28.232053,0.0,0,0,10.668000221252441,10.668000221252441,1.0
46.0,2024-06-13 17:26:34.294357,0.0,0,0,10.668000221252441,10.668000221252441,1.0
47.0,2024-06-13 17:26:40.366177,0.0,0,0,10.668000221252441,10.668000221252441,1.0
48.0,2024-06-13 17:26:46.490550,0.0,0,0,10.668000221252441,10.668000221252441,1.0
49.0,2024-06-13 17:26:52.978936,0.0,0,0,10.668000221252441,10.668000221252441,1.0
50.0,2024-06-13 17:26:58.812334,0.0,0,0,10.668000221252441,10.668000221252441,1.0
