iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,T41,T42,P1
0.0,2024-06-13 17:28:43.668107,1.0,1,1,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-06-13 17:28:48.824149,1.0,1,1,3.3647472858428955,3.0510001182556152,1.0
2.0,2024-06-13 17:28:54.192332,1.0,1,1,3.3647472858428955,3.2481727600097656,1.0
3.0,2024-06-13 17:28:59.163954,1.0,1,1,3.6717066764831543,3.6522605419158936,1.0
4.0,2024-06-13 17:29:04.536621,1.0,1,1,3.9730355739593506,3.857387065887451,1.0
5.0,2024-06-13 17:29:09.736400,1.0,1,1,4.561195373535156,4.063929080963135,1.0
6.0,2024-06-13 17:29:14.956113,1.0,1,1,4.561195373535156,4.063929080963135,1.0
7.0,2024-06-13 17:29:19.967994,1.0,1,1,4.848784446716309,4.271574974060059,1.0
8.0,2024-06-13 17:29:25.098159,1.0,1,1,5.412262916564941,4.689254283905029,1.0
9.0,2024-06-13 17:29:30.414878,1.0,1,1,5.412262916564941,4.689254283905029,1.0
10.0,2024-06-13 17:29:35.400253,1.0,1,1,5.96135139465332,5.108969688415527,1.0
11.0,2024-06-13 17:29:40.302006,1.0,1,1,6.230856418609619,5.108969688415527,1.0
12.0,2024-06-13 17:29:45.221005,1.0,1,1,6.497158050537109,5.529681205749512,1.0
13.0,2024-06-13 17:29:50.404780,1.0,1,1,6.7622175216674805,5.529681205749512,1.0
14.0,2024-06-13 17:29:55.441417,1.0,1,1,7.024285316467285,5.743943214416504,1.0
15.0,2024-06-13 17:30:00.816852,1.0,1,0,7.024285316467285,5.958117485046387,1.0
16.0,2024-06-13 17:30:05.872005,1.0,1,0,7.283440113067627,6.381161212921143,0.0
17.0,2024-06-13 17:30:11.093114,1.0,1,0,7.415029525756836,6.587806224822998,0.0
18.0,2024-06-13 17:30:16.175995,1.0,1,0,7.680563449859619,6.792088985443115,0.0
19.0,2024-06-13 17:30:21.172715,1.0,1,0,7.680563449859619,6.792088985443115,0.0
20.0,2024-06-13 17:30:25.969544,1.0,1,0,7.94911003112793,7.1936469078063965,0.0
21.0,2024-06-13 17:30:30.908273,1.0,1,0,7.94911003112793,7.1936469078063965,0.0
22.0,2024-06-13 17:30:35.896711,1.0,1,0,8.084465026855469,7.586002349853516,0.0
23.0,2024-06-13 17:30:41.955379,1.0,1,0,8.3572359085083,7.778782367706299,0.0
24.0,2024-06-13 17:30:47.189105,1.0,1,0,8.3572359085083,7.778782367706299,0.0
25.0,2024-06-13 17:30:52.472717,1.0,0,0,8.631522178649902,8.155888557434082,0.0
26.0,2024-06-13 17:30:57.639746,0.0,0,0,8.631522178649902,8.155888557434082,0.0
27.0,2024-06-13 17:31:02.638082,0.0,0,0,8.58337688446045,8.207903861999512,0.0
28.0,2024-06-13 17:31:07.553128,0.0,0,0,8.538832664489746,8.22856330871582,0.0
29.0,2024-06-13 17:31:12.732000,0.0,0,0,8.460329055786133,8.245733261108398,0.0
30.0,2024-06-13 17:31:17.706180,0.0,0,0,8.426247596740723,8.245733261108398,0.0
31.0,2024-06-13 17:31:23.024843,0.0,0,0,8.426247596740723,8.259477615356445,0.0
32.0,2024-06-13 17:31:28.052595,0.0,0,0,8.395522117614746,8.276978492736816,0.0
33.0,2024-06-13 17:31:33.152863,0.0,0,0,8.343814849853516,8.276978492736816,0.0
34.0,2024-06-13 17:31:38.205211,0.0,0,0,8.343814849853516,8.280900001525879,0.0
35.0,2024-06-13 17:31:43.172044,0.0,0,0,8.304469108581543,8.279572486877441,0.0
36.0,2024-06-13 17:31:48.840688,0.0,0,0,8.304469108581543,8.279572486877441,0.0
37.0,2024-06-13 17:31:55.216173,0.0,0,0,8.278148651123047,8.271963119506836,0.0
38.0,2024-06-13 17:32:01.108761,0.0,0,0,8.278148651123047,8.271963119506836,0.0
39.0,2024-06-13 17:32:06.067883,0.0,0,0,8.26226806640625,8.260658264160156,0.0
40.0,2024-06-13 17:32:11.411816,0.0,0,0,8.255425453186035,8.260658264160156,0.0
41.0,2024-06-13 17:32:17.216313,0.0,0,0,8.255425453186035,8.253907203674316,0.0
42.0,2024-06-13 17:32:22.910209,0.0,0,0,8.241832733154297,8.247110366821289,0.0
43.0,2024-06-13 17:32:28.168834,0.0,0,0,8.235036849975586,8.240313529968262,0.0
44.0,2024-06-13 17:32:33.180869,0.0,0,0,8.235036849975586,8.23351764678955,0.0
45.0,2024-06-13 17:32:38.229036,0.0,0,0,8.221444129943848,8.219923973083496,0.0
46.0,2024-06-13 17:32:43.362258,0.0,0,0,8.21464729309082,8.219923973083496,0.0
47.0,2024-06-13 17:32:48.874045,0.0,0,0,8.207850456237793,8.213128089904785,0.0
48.0,2024-06-13 17:32:53.983979,0.0,0,0,8.201054573059082,8.206331253051758,0.0
49.0,2024-06-13 17:32:59.268302,0.0,0,0,8.189851760864258,8.199535369873047,0.0
50.0,2024-06-13 17:33:04.289090,0.0,0,0,8.177777290344238,8.173493385314941,0.0
