iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,T41,T42,P1
0.0,2024-06-04 16:42:35.369121,1.0,1,1,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-06-04 16:42:45.665554,1.0,1,1,3.3647472858428955,3.2481727600097656,1.0
2.0,2024-06-04 16:42:55.460756,1.0,1,1,3.6717066764831543,3.4489753246307373,1.0
3.0,2024-06-04 16:43:04.929945,1.0,1,1,3.9730355739593506,3.6522605419158936,1.0
4.0,2024-06-04 16:43:13.426674,1.0,1,1,4.269386291503906,3.857387065887451,1.0
5.0,2024-06-04 16:43:22.391560,1.0,1,1,4.561195373535156,4.063929080963135,1.0
6.0,2024-06-04 16:43:35.803517,1.0,1,1,4.848784446716309,4.271574974060059,1.0
7.0,2024-06-04 16:43:43.036228,1.0,1,1,5.1324052810668945,4.480082035064697,1.0
8.0,2024-06-04 16:43:56.247842,1.0,1,1,5.412262916564941,4.689254283905029,1.0
9.0,2024-06-04 16:44:10.210672,1.0,1,1,5.6885294914245605,4.898929595947266,1.0
10.0,2024-06-04 16:44:24.180220,1.0,1,1,5.96135139465332,5.108969688415527,1.0
11.0,2024-06-04 16:44:37.914867,1.0,1,1,6.230856418609619,5.319255352020264,1.0
12.0,2024-06-04 16:44:52.248627,1.0,1,1,6.497158050537109,5.529681205749512,1.0
13.0,2024-06-04 16:45:06.283880,1.0,1,1,6.7622175216674805,5.743943214416504,1.0
14.0,2024-06-04 16:45:14.086289,1.0,1,1,7.024285316467285,5.958117485046387,1.0
15.0,2024-06-04 16:45:27.087525,1.0,1,0,7.283440113067627,6.172133445739746,1.0
16.0,2024-06-04 16:45:40.579373,1.0,1,0,7.539755821228027,6.385924339294434,1.0
17.0,2024-06-04 16:45:54.832994,1.0,1,0,7.793298244476318,6.59943151473999,1.0
18.0,2024-06-04 16:46:09.123224,1.0,1,0,8.044130325317383,6.8125996589660645,1.0
19.0,2024-06-04 16:46:23.531562,1.0,1,0,8.292308807373047,7.0253777503967285,1.0
20.0,2024-06-04 16:46:37.529845,1.0,1,0,8.53788948059082,7.237719535827637,1.0
21.0,2024-06-04 16:46:51.962145,1.0,1,0,8.78092098236084,7.449580669403076,1.0
22.0,2024-06-04 16:47:06.803593,1.0,1,0,9.021451950073242,7.6609206199646,1.0
