iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,T41,T42,P1
0.0,2024-06-04 17:04:47.827737,1.0,1,1,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-06-04 17:04:57.009171,1.0,1,1,3.3647472858428955,3.2481727600097656,1.0
2.0,2024-06-04 17:05:06.255163,1.0,1,1,3.6717066764831543,3.4489753246307373,1.0
3.0,2024-06-04 17:05:15.670844,1.0,1,1,3.9730355739593506,3.6522605419158936,1.0
4.0,2024-06-04 17:05:24.926962,1.0,1,1,4.269386291503906,3.857387065887451,1.0
5.0,2024-06-04 17:05:33.804930,1.0,1,1,4.269386291503906,4.063929080963135,1.0
6.0,2024-06-04 17:05:42.272304,1.0,1,1,4.848784446716309,4.271574974060059,1.0
7.0,2024-06-04 17:05:51.923863,1.0,1,1,5.1324052810668945,4.480082035064697,1.0
8.0,2024-06-04 17:06:01.651805,1.0,1,1,5.412262916564941,4.689254283905029,1.0
9.0,2024-06-04 17:06:10.547289,1.0,1,1,5.6885294914245605,4.898929595947266,1.0
10.0,2024-06-04 17:06:20.911317,1.0,1,1,5.96135139465332,5.108969688415527,1.0
11.0,2024-06-04 17:06:30.697104,1.0,1,1,6.230856418609619,5.319255352020264,1.0
12.0,2024-06-04 17:06:40.500724,1.0,1,1,6.497158050537109,5.529681205749512,1.0
13.0,2024-06-04 17:06:49.331699,1.0,1,1,6.497158050537109,5.529681205749512,1.0
14.0,2024-06-04 17:06:57.060458,1.0,1,1,7.024285316467285,5.958117485046387,1.0
15.0,2024-06-04 17:07:06.680377,1.0,1,0,7.283440113067627,5.958117485046387,1.0
16.0,2024-06-04 17:07:15.227599,1.0,1,0,7.415029525756836,6.172133445739746,0.0
17.0,2024-06-04 17:07:23.987638,1.0,1,0,7.547410011291504,6.381161212921143,0.0
18.0,2024-06-04 17:07:32.351893,1.0,1,0,7.680563449859619,6.792088985443115,0.0
19.0,2024-06-04 17:07:41.934161,1.0,1,0,7.814469814300537,6.994028568267822,0.0
20.0,2024-06-04 17:07:52.362848,1.0,1,0,7.94911003112793,7.1936469078063965,0.0
21.0,2024-06-04 17:08:01.783774,1.0,1,0,8.084465026855469,7.390964508056641,0.0
22.0,2024-06-04 17:08:10.363404,1.0,1,0,8.220513343811035,7.586002349853516,0.0
23.0,2024-06-04 17:08:19.435077,1.0,1,,8.3572359085083,7.778782367706299,0.0
