iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,T41,T42,P1
0.0,2024-06-13 16:47:39.567393,1.0,1,1,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-06-13 16:47:44.356971,1.0,1,1,3.3647472858428955,3.0510001182556152,1.0
2.0,2024-06-13 16:47:48.980078,1.0,1,1,3.3647472858428955,3.2481727600097656,1.0
3.0,2024-06-13 16:47:53.384214,1.0,1,1,3.6717066764831543,3.6522605419158936,1.0
4.0,2024-06-13 16:47:58.337865,1.0,1,1,4.269386291503906,3.857387065887451,1.0
5.0,2024-06-13 16:48:03.375089,1.0,1,1,4.561195373535156,3.857387065887451,1.0
6.0,2024-06-13 16:48:08.401475,1.0,1,1,4.848784446716309,4.063929080963135,1.0
7.0,2024-06-13 16:48:13.367849,1.0,1,1,4.848784446716309,4.271574974060059,1.0
8.0,2024-06-13 16:48:18.276314,1.0,1,1,5.1324052810668945,4.480082035064697,1.0
9.0,2024-06-13 16:48:23.232783,1.0,1,1,5.412262916564941,4.898929595947266,1.0
10.0,2024-06-13 16:48:28.140771,1.0,1,1,5.96135139465332,5.108969688415527,1.0
11.0,2024-06-13 16:48:33.063921,1.0,1,1,5.96135139465332,5.108969688415527,1.0
12.0,2024-06-13 16:48:37.673891,1.0,1,1,6.230856418609619,5.529681205749512,1.0
13.0,2024-06-13 16:48:42.713302,1.0,1,1,6.497158050537109,5.743943214416504,1.0
14.0,2024-06-13 16:48:47.944137,1.0,1,1,6.7622175216674805,5.958117485046387,1.0
15.0,2024-06-13 16:48:52.405978,1.0,1,1,3.024285316467285,6.172133445739746,1.0
16.0,2024-06-13 16:48:57.470128,1.0,1,1,3.283440113067627,6.385924339294434,1.0
17.0,2024-06-13 16:49:02.704958,1.0,1,1,3.7932982444763184,6.385924339294434,1.0
18.0,2024-06-13 16:49:07.712781,1.0,1,1,3.7932982444763184,6.59943151473999,1.0
19.0,2024-06-13 16:49:13.078878,1.0,1,1,4.044130325317383,7.0253777503967285,1.0
20.0,2024-06-13 16:49:17.881098,1.0,1,1,4.292308807373047,7.237719535827637,1.0
21.0,2024-06-13 16:49:22.208522,1.0,1,1,4.53788948059082,7.449580669403076,1.0
22.0,2024-06-13 16:49:26.748298,1.0,1,1,4.78092098236084,7.6609206199646,1.0
23.0,2024-06-13 16:49:31.396216,1.0,1,1,5.021451950073242,7.871701240539551,1.0
24.0,2024-06-13 16:49:36.430534,1.0,0,1,5.259526252746582,8.081887245178223,1.0
25.0,2024-06-13 16:49:41.400770,0.0,0,1,5.495187759399414,8.244264602661133,1.0
26.0,2024-06-13 16:49:45.892285,0.0,0,1,5.7209882736206055,8.407023429870605,1.0
27.0,2024-06-13 16:49:50.534364,0.0,0,1,6.163989067077637,8.570094108581543,1.0
28.0,2024-06-13 16:49:55.660272,0.0,0,1,6.163989067077637,8.570094108581543,1.0
29.0,2024-06-13 16:50:04.893031,0.0,0,1,6.596029281616211,8.95254898071289,1.0
30.0,2024-06-13 16:50:09.614867,0.0,0,1,6.668000221252441,9.122198104858398,1.0
31.0,2024-06-13 16:50:14.325877,0.0,0,1,6.668000221252441,9.122198104858398,1.0
32.0,2024-06-13 16:50:19.240836,0.0,0,1,6.668000221252441,9.631545066833496,1.0
33.0,2024-06-13 16:50:24.084382,0.0,0,1,6.668000221252441,9.883157730102539,1.0
34.0,2024-06-13 16:50:28.676159,0.0,0,1,6.668000221252441,10.132736206054688,1.0
35.0,2024-06-13 16:50:33.624463,0.0,0,1,6.668000221252441,10.132736206054688,1.0
36.0,2024-06-13 16:50:43.452138,0.0,0,1,6.668000221252441,10.668000221252441,1.0
37.0,2024-06-13 16:50:48.626504,0.0,0,1,6.668000221252441,10.668000221252441,1.0
38.0,2024-06-13 16:50:53.156304,0.0,0,1,6.668000221252441,10.668000221252441,1.0
39.0,2024-06-13 16:50:57.737025,0.0,0,1,6.668000221252441,10.668000221252441,1.0
40.0,2024-06-13 16:51:03.148200,0.0,0,1,6.668000221252441,10.668000221252441,1.0
41.0,2024-06-13 16:51:07.997132,0.0,0,1,6.668000221252441,10.668000221252441,1.0
42.0,2024-06-13 16:51:12.842217,0.0,0,1,6.668000221252441,10.668000221252441,1.0
43.0,2024-06-13 16:51:17.952071,0.0,0,1,6.668000221252441,10.668000221252441,1.0
44.0,2024-06-13 16:51:22.541326,0.0,0,1,6.668000221252441,10.668000221252441,1.0
45.0,2024-06-13 16:51:27.508897,0.0,0,1,6.668000221252441,10.668000221252441,1.0
46.0,2024-06-13 16:51:32.495599,0.0,0,1,6.668000221252441,10.668000221252441,1.0
47.0,2024-06-13 16:51:37.506358,0.0,0,1,6.668000221252441,10.668000221252441,1.0
48.0,2024-06-13 16:51:42.184963,0.0,0,1,6.668000221252441,10.668000221252441,1.0
49.0,2024-06-13 16:51:47.284824,0.0,0,1,6.668000221252441,10.668000221252441,1.0
50.0,2024-06-13 16:51:52.185322,0.0,0,1,6.668000221252441,10.668000221252441,1.0
