iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS
0,2024-05-21 15:46:11.394458,3.0509999999999993,3.0509999999999993,-15.24,-15.24,-15.24,-15.24,-15.24,1450.0,1.0,1450.0,1.0
1,2024-05-21 15:46:33.890014,3.364747310338268,3.2481728419515297,77.71089056501289,78.09886954336274,54.490973682758714,54.34660723729726,54.34743538299764,213.93606607871055,1.0,286.1669393185446,1.0
2,2024-05-21 15:46:57.992310,3.671706680238054,3.448975230608928,77.72142576920038,78.10417397424146,54.798965764409395,54.54380094307692,54.66112571087362,212.94852887749113,1.0,284.20557790288825,1.0
3,2024-05-21 15:47:16.815462,3.9730355490850666,3.652260528590001,77.73184060322329,78.10954460226385,55.101232666602314,54.74461778998197,54.96803862069711,211.94866761295918,1.0,282.2666260572955,1.0
4,2024-05-21 15:47:41.852311,4.269386479439203,3.8573869850878624,77.74215289002028,78.11496355561667,55.39847476176433,54.94791390819682,55.26932702643835,210.93980951868002,1.0,280.3467656472929,1.0
5,2024-05-21 15:48:02.983400,4.5611953285259075,4.063929165027548,77.75237425762343,78.1204211601105,55.69114737595791,55.15304874088841,55.56564153782059,209.92375565910302,1.0,278.44383185737166,1.0
6,2024-05-21 15:48:30.803997,4.848784209364241,4.271574945075252,77.7625131310376,78.12591115960642,55.97958218154292,55.359597484289786,55.85741698053596,208.90167075295096,1.0,276.55625618642136,1.0
7,2024-05-21 15:48:59.148245,5.13240509219375,4.4800819539734755,77.772575984813,78.13142903903221,56.26403671594629,55.56724840701358,56.144974828241295,207.87439538083257,1.0,274.68283325362637,1.0
8,2024-05-21 15:49:26.821254,5.412262971912664,4.689254453077714,77.78256799949959,78.13697133657037,56.54471948834151,55.77575940217943,56.42856662086847,206.8425740366984,1.0,272.82259858496917,1.0
9,2024-05-21 15:49:59.779987,5.688529467850313,4.898929779961343,77.79249344420339,78.14253528447517,56.82180446771555,55.98493492038162,56.70839704612855,205.80672199767008,1.0,270.9747573918744,1.0
10,2024-05-21 15:50:27.952213,5.961351417859189,5.108969791167946,77.80235591676629,78.14811860129554,57.095440130910205,56.194612440779274,56.98463749421723,204.76726400634968,1.0,269.1386398564531,1.0
11,2024-05-21 15:51:03.251814,6.2308566214479,5.319255150046815,77.812158503309,78.15371936219881,57.36575545809323,56.404653929537254,57.25743462617835,203.72455841293723,1.0,267.3136714290403,1.0
12,2024-05-21 15:51:46.065884,6.497157849317661,5.529681343118187,77.82190388899086,78.15933591324352,57.632864092104725,56.61494013722248,57.5269161013554,202.678913135246,1.0,265.4993522077978,1.0
13,2024-05-21 15:52:27.742623,6.762217511367896,5.743943104133954,77.83600952274622,78.17330159571029,57.8982431987281,56.82538963317302,57.79320819931183,200.078892267482,1.0,262.87327631036874,1.0
14,2024-05-21 15:53:19.353320,7.024285211263324,5.9581177146258515,77.8457261250264,78.17902702701535,58.16109580013357,57.03965086072938,58.058246009276466,199.01297651967386,1.0,261.0643157563563,1.0
15,2024-05-21 15:53:57.472184,7.283440349705665,6.172133306660575,77.85539318127113,78.18476422686724,58.421035531526215,57.25382449832419,58.32029264017682,197.94486979643185,1.0,259.2645792933544,1.0
16,2024-05-21 15:54:40.301502,7.41502965805982,6.381161243453186,65.58456354579012,77.45692455149943,58.60744174356714,57.46780988804231,58.578727492219166,333.44833329339417,1.0,0.0,0.0
