iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,T41,T42,P1
0.0,2024-05-21 15:46:19.446859,0.0,1,1,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-05-21 15:46:39.104809,1.0,1,1,3.3647472858428955,3.2481727600097656,1.0
2.0,2024-05-21 15:47:04.466934,1.0,1,1,3.6717066764831543,3.2481727600097656,1.0
3.0,2024-05-21 15:47:24.084184,1.0,1,1,3.9730355739593506,3.6522605419158936,1.0
4.0,2024-05-21 15:47:50.975690,1.0,1,1,4.269386291503906,3.6522605419158936,1.0
5.0,2024-05-21 15:48:13.820078,1.0,1,1,4.561195373535156,4.063929080963135,1.0
6.0,2024-05-21 15:48:41.051239,1.0,1,1,4.848784446716309,4.271574974060059,1.0
7.0,2024-05-21 15:49:10.704912,1.0,1,1,5.1324052810668945,4.480082035064697,1.0
8.0,2024-05-21 15:49:40.494062,1.0,1,1,5.412262916564941,4.689254283905029,1.0
9.0,2024-05-21 15:50:13.029401,1.0,1,1,5.6885294914245605,4.898929595947266,1.0
10.0,2024-05-21 15:50:43.329786,1.0,1,1,5.96135139465332,5.108969688415527,1.0
11.0,2024-05-21 15:51:24.065003,1.0,1,1,6.230856418609619,5.319255352020264,1.0
12.0,2024-05-21 15:52:05.155059,1.0,1,1,6.497158050537109,5.529681205749512,1.0
13.0,2024-05-21 15:52:46.843644,1.0,1,1,6.7622175216674805,5.743943214416504,1.0
14.0,2024-05-21 15:53:38.273136,1.0,1,1,7.024285316467285,5.958117485046387,1.0
15.0,2024-05-21 15:54:15.863530,1.0,1,0,7.283440113067627,6.172133445739746,1.0
16.0,2024-05-21 15:55:09.243824,1.0,1,0,7.415029525756836,6.381161212921143,1.0
