iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,T41,T42,P1
0.0,2024-06-16 13:08:07.727075,1.0,1,1,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-06-16 13:08:12.731564,1.0,1,1,3.3647472858428955,3.0510001182556152,1.0
2.0,2024-06-16 13:08:17.366586,1.0,1,1,3.6717066764831543,3.2481727600097656,1.0
3.0,2024-06-16 13:08:22.094834,1.0,1,1,3.6717066764831543,3.4489753246307373,1.0
4.0,2024-06-16 13:08:26.847109,1.0,1,1,3.9730355739593506,3.857387065887451,1.0
5.0,2024-06-16 13:08:31.814617,1.0,1,1,4.561195373535156,4.063929080963135,1.0
6.0,2024-06-16 13:08:37.110681,1.0,1,1,4.848784446716309,4.063929080963135,1.0
7.0,2024-06-16 13:08:41.891196,1.0,1,1,4.848784446716309,4.271574974060059,1.0
8.0,2024-06-16 13:08:46.770783,1.0,1,1,5.412262916564941,4.689254283905029,1.0
9.0,2024-06-16 13:08:51.815529,1.0,1,1,5.412262916564941,4.689254283905029,1.0
10.0,2024-06-16 13:08:56.839367,1.0,1,1,5.96135139465332,5.108969688415527,1.0
11.0,2024-06-16 13:09:01.723222,1.0,1,1,5.96135139465332,5.108969688415527,1.0
12.0,2024-06-16 13:09:06.810430,1.0,1,1,6.497158050537109,5.319255352020264,1.0
13.0,2024-06-16 13:09:11.774016,1.0,1,1,6.7622175216674805,5.529681205749512,1.0
14.0,2024-06-16 13:09:17.105828,1.0,1,1,6.7622175216674805,5.743943214416504,1.0
15.0,2024-06-16 13:09:22.403067,1.0,1,0,7.283440113067627,6.172133445739746,1.0
16.0,2024-06-16 13:09:27.306944,1.0,1,0,7.283440113067627,6.172133445739746,1.0
17.0,2024-06-16 13:09:32.164892,1.0,1,0,7.415029525756836,6.381161212921143,0.0
18.0,2024-06-16 13:09:36.962781,1.0,1,0,7.547410011291504,6.792088985443115,0.0
19.0,2024-06-16 13:09:41.630285,1.0,1,0,7.814469814300537,6.994028568267822,0.0
20.0,2024-06-16 13:09:46.712016,1.0,1,0,4.561195373535156,6.994028568267822,0.0
21.0,2024-06-16 13:09:51.646338,1.0,1,1,4.561195373535156,7.1936469078063965,0.0
22.0,2024-06-16 13:09:56.439146,1.0,1,1,5.1324052810668945,7.591034889221191,1.0
23.0,2024-06-16 13:10:01.309579,1.0,1,1,5.412262916564941,7.791314601898193,1.0
24.0,2024-06-16 13:10:06.694051,1.0,1,1,5.412262916564941,7.991696834564209,1.0
25.0,2024-06-16 13:10:11.674872,1.0,1,1,5.96135139465332,7.991696834564209,1.0
26.0,2024-06-16 13:10:16.759021,1.0,0,1,6.230856418609619,8.190320014953613,1.0
27.0,2024-06-16 13:10:21.966622,0.0,0,1,6.497158050537109,8.38889217376709,1.0
28.0,2024-06-16 13:10:26.805761,0.0,0,1,6.7622175216674805,8.542194366455078,1.0
29.0,2024-06-16 13:10:31.758812,0.0,0,1,6.7622175216674805,8.69640827178955,1.0
30.0,2024-06-16 13:10:36.728404,0.0,0,0,7.024285316467285,8.851407051086426,1.0
31.0,2024-06-16 13:10:41.486851,0.0,0,0,10.259732246398926,9.062405586242676,0.0
32.0,2024-06-16 13:10:46.382629,0.0,0,0,10.184066772460938,9.113824844360352,0.0
33.0,2024-06-16 13:10:51.084427,0.0,0,0,10.112310409545898,9.161372184753418,0.0
34.0,2024-06-16 13:10:56.017562,0.0,0,0,10.044426918029785,9.205082893371582,0.0
35.0,2024-06-16 13:11:01.043629,0.0,0,0,9.980378150939941,9.24499797821045,0.0
36.0,2024-06-16 13:11:05.755096,0.0,0,0,9.920126914978027,9.281157493591309,0.0
37.0,2024-06-16 13:11:10.948877,0.0,0,0,9.813530921936035,9.31766414642334,0.0
38.0,2024-06-16 13:11:16.138792,0.0,0,0,9.767148971557617,9.31766414642334,0.0
39.0,2024-06-16 13:11:21.510951,0.0,0,0,9.724438667297363,9.350452423095703,0.0
40.0,2024-06-16 13:11:26.722790,0.0,0,0,9.724438667297363,9.379570960998535,0.0
41.0,2024-06-16 13:11:31.851935,0.0,0,0,9.685349464416504,9.426992416381836,0.0
42.0,2024-06-16 13:11:36.755353,0.0,0,0,9.61782455444336,9.445405006408691,0.0
43.0,2024-06-16 13:11:42.367057,0.0,0,0,9.58927059173584,9.445405006408691,0.0
44.0,2024-06-16 13:11:47.415344,0.0,0,0,9.58927059173584,9.471944808959961,0.0
45.0,2024-06-16 13:11:52.648062,0.0,0,0,9.542237281799316,9.48021411895752,0.0
46.0,2024-06-16 13:11:57.158851,0.0,0,0,9.542237281799316,9.48021411895752,0.0
47.0,2024-06-16 13:12:01.852148,0.0,0,0,9.508092880249023,9.487173080444336,0.0
48.0,2024-06-16 13:12:07.162624,0.0,0,0,9.495617866516113,9.487173080444336,0.0
49.0,2024-06-16 13:12:12.026723,0.0,0,0,9.481966018676758,9.486054420471191,0.0
50.0,2024-06-16 13:12:16.691353,0.0,0,0,9.468974113464355,9.46337890625,0.0
