iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,T41,T42,P1
0.0,2024-06-17 19:06:06.768475,1.0,1,1,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-06-17 19:06:17.618025,1.0,1,1,3.3647472858428955,3.2481727600097656,1.0
2.0,2024-06-17 19:06:29.322590,1.0,1,1,3.6717066764831543,3.4489753246307373,1.0
3.0,2024-06-17 19:06:39.463379,1.0,1,1,3.9730355739593506,3.6522605419158936,1.0
4.0,2024-06-17 19:06:51.742566,1.0,1,1,4.269386291503906,3.857387065887451,1.0
5.0,2024-06-17 19:07:03.030554,1.0,1,1,4.561195373535156,4.063929080963135,1.0
6.0,2024-06-17 19:07:13.881186,1.0,1,1,4.848784446716309,4.271574974060059,1.0
7.0,2024-06-17 19:07:24.842441,1.0,1,1,5.1324052810668945,4.480082035064697,1.0
8.0,2024-06-17 19:07:35.746769,1.0,1,1,5.412262916564941,4.689254283905029,1.0
9.0,2024-06-17 19:07:45.337467,1.0,1,1,5.6885294914245605,4.898929595947266,1.0
10.0,2024-06-17 19:07:56.361732,1.0,1,1,5.6885294914245605,4.898929595947266,1.0
11.0,2024-06-17 19:08:05.346714,1.0,1,1,6.230856418609619,5.108969688415527,1.0
12.0,2024-06-17 19:08:16.088706,1.0,1,1,6.497158050537109,5.529681205749512,1.0
13.0,2024-06-17 19:08:25.875982,1.0,1,1,6.7622175216674805,5.743943214416504,1.0
14.0,2024-06-17 19:08:36.734494,1.0,1,1,7.024285316467285,5.958117485046387,1.0
15.0,2024-06-17 19:08:47.260964,1.0,1,0,7.024285316467285,6.172133445739746,1.0
16.0,2024-06-17 19:08:57.214499,1.0,1,0,7.415029525756836,6.381161212921143,0.0
17.0,2024-06-17 19:09:07.958738,1.0,1,0,7.547410011291504,6.587806224822998,0.0
18.0,2024-06-17 19:09:17.148260,1.0,1,0,7.680563449859619,6.792088985443115,0.0
19.0,2024-06-17 19:09:29.027052,1.0,1,0,7.814469814300537,6.994028568267822,0.0
20.0,2024-06-17 19:09:39.286677,1.0,1,0,7.94911003112793,7.1936469078063965,0.0
21.0,2024-06-17 19:09:50.103659,1.0,1,0,7.94911003112793,7.390964508056641,0.0
22.0,2024-06-17 19:10:00.977258,1.0,1,0,8.220513343811035,7.390964508056641,0.0
23.0,2024-06-17 19:10:10.381962,1.0,1,0,8.3572359085083,7.586002349853516,0.0
24.0,2024-06-17 19:10:19.086332,1.0,1,0,8.494610786437988,7.969326972961426,0.0
25.0,2024-06-17 19:10:28.592965,1.0,1,0,8.631522178649902,8.155888557434082,0.0
26.0,2024-06-17 19:10:40.066535,1.0,0,0,8.769031524658203,8.340285301208496,0.0
27.0,2024-06-17 19:10:51.085687,0.0,0,0,8.723073959350586,8.365904808044434,0.0
28.0,2024-06-17 19:11:01.922723,0.0,0,0,8.680686950683594,8.387955665588379,0.0
29.0,2024-06-17 19:11:10.707665,0.0,0,0,8.641812324523926,8.406494140625,0.0
30.0,2024-06-17 19:11:20.162478,0.0,0,0,8.606388092041016,8.42158031463623,0.0
31.0,2024-06-17 19:11:31.184089,0.0,0,0,8.574349403381348,8.42158031463623,0.0
32.0,2024-06-17 19:11:41.023480,0.0,0,0,8.545619010925293,8.441676139831543,0.0
33.0,2024-06-17 19:11:53.269290,0.0,0,0,8.520113945007324,8.446844100952148,0.0
34.0,2024-06-17 19:12:02.414683,0.0,0,0,8.49774169921875,8.446844100952148,0.0
35.0,2024-06-17 19:12:11.526695,0.0,0,0,8.478397369384766,8.44788646697998,0.0
36.0,2024-06-17 19:12:22.368176,0.0,0,0,8.461992263793945,8.443955421447754,0.0
37.0,2024-06-17 19:12:34.207394,0.0,0,0,8.450145721435547,8.442208290100098,0.0
38.0,2024-06-17 19:12:43.615712,0.0,0,0,8.441014289855957,8.43774700164795,0.0
39.0,2024-06-17 19:12:53.774241,0.0,0,0,8.441014289855957,8.431716918945312,0.0
40.0,2024-06-17 19:13:02.758562,0.0,0,0,8.42654800415039,8.425026893615723,0.0
41.0,2024-06-17 19:13:13.705173,0.0,0,0,8.419751167297363,8.425026893615723,0.0
42.0,2024-06-17 19:13:22.610285,0.0,0,0,8.412954330444336,8.418231964111328,0.0
43.0,2024-06-17 19:13:32.985679,0.0,0,0,8.406158447265625,8.40463924407959,0.0
44.0,2024-06-17 19:13:41.998095,0.0,0,0,8.399361610412598,8.40463924407959,0.0
45.0,2024-06-17 19:13:51.761559,0.0,0,0,8.392565727233887,8.391045570373535,0.0
46.0,2024-06-17 19:14:01.777587,0.0,0,0,8.38576889038086,8.384249687194824,0.0
47.0,2024-06-17 19:14:12.651461,0.0,0,0,8.378972053527832,8.377452850341797,0.0
48.0,2024-06-17 19:14:23.098939,0.0,0,0,8.372176170349121,8.370656967163086,0.0
49.0,2024-06-17 19:14:33.718734,0.0,0,0,8.360973358154297,8.357199668884277,0.0
50.0,2024-06-17 19:14:46.467088,0.0,0,0,8.348898887634277,8.34461498260498,0.0
