iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,T41,T42,P1
0.0,2024-06-13 19:29:24.592000,1.0,1,1,3.0510001182556152,3.0510001182556152,1.0
1.0,2024-06-13 19:29:29.629814,1.0,1,1,3.0510001182556152,3.0510001182556152,1.0
2.0,2024-06-13 19:29:34.707978,1.0,1,1,3.6717066764831543,3.4489753246307373,1.0
3.0,2024-06-13 19:29:40.151189,1.0,1,1,3.9730355739593506,3.4489753246307373,1.0
4.0,2024-06-13 19:29:45.300054,1.0,1,1,4.269386291503906,3.6522605419158936,1.0
5.0,2024-06-13 19:29:50.295784,1.0,1,1,4.561195373535156,3.857387065887451,1.0
6.0,2024-06-13 19:29:55.718504,1.0,1,1,4.848784446716309,4.063929080963135,1.0
7.0,2024-06-13 19:30:00.928508,1.0,1,1,4.848784446716309,4.271574974060059,1.0
8.0,2024-06-13 19:30:06.048285,1.0,1,1,5.412262916564941,4.480082035064697,1.0
9.0,2024-06-13 19:30:11.434508,1.0,1,1,5.6885294914245605,4.689254283905029,1.0
10.0,2024-06-13 19:30:16.524861,1.0,1,1,5.6885294914245605,4.898929595947266,1.0
11.0,2024-06-13 19:30:22.676529,1.0,1,1,6.0,5.319255352020264,1.0
12.0,2024-06-13 19:30:27.943763,1.0,1,1,6.0,5.319255352020264,1.0
13.0,2024-06-13 19:30:33.480769,1.0,1,1,6.0,5.529681205749512,1.0
14.0,2024-06-13 19:30:39.009754,1.0,1,1,6.0,5.743943214416504,1.0
15.0,2024-06-13 19:30:44.032768,1.0,1,1,6.0,6.172133445739746,1.0
16.0,2024-06-13 19:30:49.005818,1.0,1,1,6.0,6.172133445739746,1.0
17.0,2024-06-13 19:30:54.310695,1.0,1,1,6.0,6.385924339294434,1.0
18.0,2024-06-13 19:30:59.420184,1.0,1,1,6.0,6.59943151473999,1.0
19.0,2024-06-13 19:31:04.624958,1.0,1,1,6.0,7.0253777503967285,1.0
20.0,2024-06-13 19:31:10.108190,1.0,1,1,6.0,7.0253777503967285,1.0
21.0,2024-06-13 19:31:15.312775,1.0,1,1,6.0,7.237719535827637,1.0
22.0,2024-06-13 19:31:20.312513,1.0,1,1,6.0,7.449580669403076,1.0
23.0,2024-06-13 19:31:25.368111,1.0,1,1,6.0,7.6609206199646,1.0
24.0,2024-06-13 19:31:30.433078,1.0,1,1,6.0,7.871701240539551,1.0
25.0,2024-06-13 19:31:35.508037,1.0,0,1,6.0,8.081887245178223,1.0
26.0,2024-06-13 19:31:40.720081,0.0,0,1,6.0,8.289681434631348,1.0
27.0,2024-06-13 19:31:45.771868,0.0,0,1,6.0,8.61398696899414,1.0
28.0,2024-06-13 19:31:50.704864,0.0,0,1,6.0,8.776588439941406,1.0
29.0,2024-06-13 19:32:01.320106,0.0,0,1,6.0,8.939403533935547,1.0
30.0,2024-06-13 19:32:06.439582,0.0,0,1,6.0,9.168342590332031,1.0
31.0,2024-06-13 19:32:11.440266,0.0,0,1,6.0,9.168342590332031,1.0
32.0,2024-06-13 19:32:16.367230,0.0,0,1,6.0,9.423669815063477,1.0
33.0,2024-06-13 19:32:21.784349,0.0,0,1,6.0,9.676955223083496,1.0
34.0,2024-06-13 19:32:27.512880,0.0,0,1,6.0,10.177413940429688,1.0
35.0,2024-06-13 19:32:37.977004,0.0,0,1,6.0,10.42459487915039,1.0
36.0,2024-06-13 19:32:43.791892,0.0,0,1,6.0,10.668000221252441,1.0
37.0,2024-06-13 19:32:49.335852,0.0,0,1,6.0,10.668000221252441,1.0
38.0,2024-06-13 19:32:54.467822,0.0,0,1,6.0,10.668000221252441,1.0
39.0,2024-06-13 19:32:59.128713,0.0,0,1,6.0,10.668000221252441,1.0
40.0,2024-06-13 19:33:04.309222,0.0,0,1,6.0,10.668000221252441,1.0
41.0,2024-06-13 19:33:10.016372,0.0,0,1,10.668000221252441,10.668000221252441,1.0
42.0,2024-06-13 19:33:15.122529,0.0,0,0,10.668000221252441,10.668000221252441,1.0
43.0,2024-06-13 19:33:20.320124,0.0,0,0,10.662617683410645,10.668000221252441,1.0
44.0,2024-06-13 19:33:24.896109,0.0,0,0,10.662617683410645,10.659789085388184,0.0
45.0,2024-06-13 19:33:29.954876,0.0,0,0,10.655230522155762,10.6468505859375,0.0
46.0,2024-06-13 19:33:34.475922,0.0,0,0,10.648369789123535,10.640054702758789,0.0
47.0,2024-06-13 19:33:39.588812,0.0,0,0,10.641573905944824,10.633257865905762,0.0
48.0,2024-06-13 19:33:44.539931,0.0,0,0,10.627981185913086,10.633257865905762,0.0
49.0,2024-06-13 19:33:49.948430,0.0,0,0,10.616777420043945,10.626461029052734,0.0
50.0,2024-06-13 19:33:54.753172,0.0,0,0,10.604702949523926,10.600419044494629,0.0
