iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,CloseP1Start
0,2024-11-12 18:07:57.452374,3.0509999999999993,3.0509999999999993,-15.24,-15.24,-15.24,-15.24,-15.24,1450.0,1.0,1450.0,1.0,55.59964498384435,1.0,0
1,2024-11-12 18:08:14.094759,4.683529339475543,3.296214621068624,57.420979495228494,77.10722958162103,57.42097474414724,54.346909371789685,54.37644529449652,398.55179108722695,1.0,1377.714782356713,1.0,1588.9935137937528,1.0,0
2,2024-11-12 18:08:28.355840,6.243758308522937,3.5525889873803247,58.80606763249052,77.15470440943099,58.80606304653569,54.59220212168487,56.00652472271376,389.71330121798445,1.0,1329.4680607992827,1.0,1533.767175691878,1.0,0
3,2024-11-12 18:08:42.842547,7.732634994854147,3.8180088692419933,60.131493093285535,77.2019196715393,60.13148867843104,54.848641979620105,57.56442890624479,380.92313524859196,1.0,1280.0842214110983,1.0,1476.54287064654,1.0,0
4,2024-11-12 18:08:56.573341,7.870114670996353,4.069386795330744,59.059087053070904,77.17391436391038,59.059086446164905,55.11396102385751,59.027946395362186,386.13694305331006,1.0,0.0,0.0,202.97899431398037,1.0,0
5,2024-11-12 18:09:08.661708,8.007920979310832,4.318483738408208,59.196705256223744,77.18371557572925,59.19670465165783,55.36532301096382,59.16542744308212,384.3122305611649,1.0,0.0,0.0,202.19635580701834,1.0,0
6,2024-11-12 18:09:22.256251,7.870244592798386,4.431448971905695,59.27138596434077,57.71085773402285,59.27138613377316,55.61370018731371,59.302608753117404,0.0,0.0,0.0,0.0,-56.666462953671726,1.0,0
7,2024-11-12 18:09:35.698460,7.737285152615061,4.53969725733845,59.135681272880866,57.67524306768207,59.13568143657601,55.726648980746155,59.16495188828132,0.0,0.0,0.0,0.0,-54.747647596400384,1.0,0
8,2024-11-12 18:09:47.947983,7.609017158376314,4.643254097217023,59.004624625940174,57.64070425673527,59.00462478392883,55.834881509479686,59.03201128757858,0.0,0.0,0.0,0.0,-52.83912058359874,1.0,0
9,2024-11-12 18:10:00.533737,7.485414405820992,4.742145703674793,58.878190897723485,57.60723558328919,58.87819105003721,55.938423272403384,58.903761454333356,0.0,0.0,0.0,0.0,-50.9411455703912,1.0,0
