iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,ScadaCommand_V1,T41,T42,P1,J2,J13,J21,V1F
0.0,2024-11-12 18:08:02.817092,1.0,1,1,0.0,3.0510001182556152,3.0510001182556152,1.0,0.0,0.0,0.0,0.0
1.0,2024-11-12 18:08:15.792410,1.0,1,1,,4.683529376983643,3.2962145805358887,1.0,57.42097854614258,77.10723114013672,54.37644577026367,1588.9935302734375
2.0,2024-11-12 18:08:30.289384,1.0,1,1,,6.243758201599121,3.552588939666748,1.0,58.806068420410156,77.15470123291016,56.00652313232422,1533.7672119140625
3.0,2024-11-12 18:08:44.634724,1.0,1,1,,7.732635021209717,3.8180088996887207,1.0,60.131492614746094,77.20191955566406,57.564430236816406,1476.5428466796875
4.0,2024-11-12 18:08:58.330022,1.0,1,0,,7.870114803314209,4.069386959075928,0.0,59.059085845947266,77.17391204833984,59.02794647216797,202.97898864746094
5.0,2024-11-12 18:09:10.468625,1.0,0,0,,8.00792121887207,4.318483829498291,0.0,59.19670486450195,77.1837158203125,59.165428161621094,202.19635009765625
6.0,2024-11-12 18:09:23.979736,0.0,0,0,,7.87024450302124,4.431448936462402,0.0,59.271385192871094,57.71085739135742,59.302608489990234,-56.66646194458008
7.0,2024-11-12 18:09:37.549495,0.0,0,0,,7.737285137176514,4.539697170257568,0.0,59.13568115234375,57.67524337768555,59.16495132446289,-54.74764633178711
8.0,2024-11-12 18:09:49.640286,0.0,0,0,,7.609017372131348,4.643254280090332,0.0,59.00462341308594,57.64070510864258,59.032012939453125,-52.83911895751953
9.0,2024-11-12 18:10:02.503529,0.0,0,0,,7.485414505004883,4.742145538330078,0.0,58.87818908691406,57.607234954833984,58.90376281738281,-50.94114685058594
10.0,2024-11-12 18:10:15.026435,0.0,0,0,,7.36644983291626,4.836399078369141,0.0,58.75635528564453,57.574832916259766,58.78017807006836,-49.05402755737305
11.0,2024-11-12 18:10:28.151186,0.0,0,0,,7.252096176147461,4.926041603088379,0.0,58.63908767700195,57.54348373413086,58.66122817993164,-47.17805862426758
12.0,2024-11-12 18:10:41.139646,0.0,0,0,,7.142323970794678,5.011102676391602,0.0,58.5263671875,57.51319122314453,58.54689025878906,-45.31357192993164
13.0,2024-11-12 18:10:54.502808,0.0,0,0,,7.040790557861328,5.096116542816162,0.0,58.41938400268555,57.527496337890625,58.4371452331543,-41.742881774902344
14.0,2024-11-12 18:11:07.681477,0.0,0,0,,6.943796634674072,5.176590442657471,0.0,58.319305419921875,57.501548767089844,58.335628509521484,-39.89617156982422
15.0,2024-11-12 18:11:19.080993,0.0,0,0,,6.851312637329102,5.252554416656494,0.0,58.22370529174805,57.47663497924805,58.2386474609375,-38.061866760253906
16.0,2024-11-12 18:11:32.150054,0.0,0,0,,6.763306617736816,5.32404088973999,0.0,58.132545471191406,57.452754974365234,58.146175384521484,-36.24041748046875
17.0,2024-11-12 18:11:45.714357,0.0,0,0,,6.679745197296143,5.391082763671875,0.0,58.045799255371094,57.429893493652344,58.05818176269531,-34.4322509765625
18.0,2024-11-12 18:11:59.656018,0.0,0,0,,6.6005940437316895,5.453713893890381,0.0,57.96343231201172,57.408050537109375,57.974632263183594,-32.63782501220703
19.0,2024-11-12 18:12:12.908217,0.0,0,0,,6.525818347930908,5.511970043182373,0.0,57.88541030883789,57.38721466064453,57.89549255371094,-30.85767364501953
20.0,2024-11-12 18:12:25.431313,0.0,0,0,,6.455380439758301,5.565887928009033,0.0,57.811702728271484,57.36737823486328,57.82072830200195,-29.092355728149414
21.0,2024-11-12 18:12:38.743138,0.0,0,0,,6.389242172241211,5.615506172180176,0.0,57.74226760864258,57.34853744506836,57.750301361083984,-27.34246253967285
22.0,2024-11-12 18:12:52.120699,0.0,0,0,,6.32736349105835,5.660865306854248,0.0,57.67707061767578,57.3306770324707,57.68416976928711,-25.608654022216797
23.0,2024-11-12 18:13:04.456889,0.0,0,0,,6.269701957702637,5.702007293701172,0.0,57.61606979370117,57.31379699707031,57.6223030090332,-23.891653060913086
24.0,2024-11-12 18:13:17.186050,0.0,0,0,,6.216213226318359,5.73897647857666,0.0,57.559226989746094,57.297882080078125,57.56464767456055,-22.192216873168945
25.0,2024-11-12 18:13:29.229382,0.0,0,0,,6.165153980255127,5.769698619842529,0.0,57.50619125366211,57.27260971069336,57.51116180419922,-21.2924861907959
