iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS
0,2025-01-14 15:43:25.442699,3.0509999999999993,3.0509999999999993,-15.24,-15.24,-15.24,-15.24,-15.24,1450.0,1.0,1450.0,1.0,0.12409865580125222,1.0
1,2025-01-14 15:43:28.047192,3.2052396229739215,3.151422705137254,64.21799694069036,64.63633816291392,54.346385863374614,54.34617405740781,54.346385336151926,157.1488032676926,1.0,175.35145495421412,1.0,-176.32900668672846,1.0
2,2025-01-14 15:43:32.266796,3.3511014640359003,3.258205021857468,64.2435088956603,64.65413213873249,54.50058760025333,54.446617726585266,54.50058709641865,156.37456079112772,1.0,174.24139167216023,1.0,-168.5069154291341,1.0
3,2025-01-14 15:43:36.523043,3.4930616709136846,3.366905369086334,64.2681360118699,64.67206931438328,54.646432413405506,54.55340658044234,54.64643192046291,155.59408747588563,1.0,173.16982904674052,1.0,-164.86407080265053,1.0
4,2025-01-14 15:43:41.050968,3.6318925561117656,3.476769097702322,64.29236393429501,64.69002650895439,54.788379247322325,54.66211094079021,54.78837876311576,154.8127431075064,1.0,172.1156359393809,1.0,-161.94231424947247,1.0
5,2025-01-14 15:43:45.331787,3.7680162767852914,3.58738889941649,64.31627497444121,64.70798204964251,54.92719876902673,54.771977297339724,54.927198292377675,154.03147070204918,1.0,171.07523085348032,1.0,-159.41471341534452,1.0
6,2025-01-14 15:43:49.886443,3.9017114746087747,3.698499462454439,64.33991354050347,64.72592403294111,55.063312458054384,54.882598812967004,55.063311988184964,153.25078819886645,1.0,170.04668152211522,1.0,-157.14727355089053,1.0
7,2025-01-14 15:43:54.368606,4.033182237901694,3.809909041840187,64.36330856862392,64.74384458505267,55.196998602333785,54.993710423432745,55.19699813867424,152.4710381986556,1.0,169.02872889050713,1.0,-155.07038680595997,1.0
8,2025-01-14 15:43:58.902222,4.162587119916714,3.9214707306270937,64.38648099460382,64.76173793685547,55.32846107336218,55.10512053656284,55.328460615469886,151.69247172452347,1.0,168.02046201065752,1.0,-153.1415351701071,1.0
9,2025-01-14 15:44:03.227788,4.290054317754273,4.033067425858861,64.40944688852788,64.77959960878732,55.45785827942275,55.216682348274496,55.457857826939836,150.91528368891412,1.0,167.02118164916834,1.0,-151.33237716611347,1.0
10,2025-01-14 15:44:07.855057,4.4156905497769126,4.144603088799076,64.43221908920665,64.79742597991093,55.585318314758844,55.32827882921825,55.58531786738739,150.1396316442209,1.0,166.03032917020911,1.0,-149.62285472336134,1.0
11,2025-01-14 15:44:12.461955,4.5395865977755285,4.255997260985932,64.45480815910702,64.815214038503,55.71094782126638,55.439813995758286,55.71094737875295,149.36564663502207,1.0,165.04744498506207,1.0,-147.99809305714007,1.0
12,2025-01-14 15:44:16.707259,4.661821007105769,4.367181417641731,64.4772229774829,64.83296122253644,55.834837521927355,55.55120743212497,55.83483708405267,148.5934401389451,1.0,164.0721427441193,1.0,-146.44667097513775,1.0
13,2025-01-14 15:44:21.216652,4.801184797750978,4.486824365507117,64.55542355629402,64.92739414030603,55.9571408110625,55.662422157796136,55.95714035740298,144.48452278013164,1.0,160.66951870860845,1.0,-151.72589257986147,1.0
