iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,J2V1_LEVEL,J13V2_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,plc2AttackerUnit
0,2025-01-16 00:51:51.024734,3.0509999999999993,3.0509999999999993,-15.24,-15.24,-15.24,-15.24,-15.24,-15.24,-15.24,1450.0,1.0,1450.0,1.0,55.59964498384435,1.0,55.59964498384435,1.0,0
1,2025-01-16 00:52:00.530861,3.2318900757449573,3.1895463892937506,69.08444892029877,69.64903875072679,54.42117436443497,54.34631589003353,54.346509495079246,69.08444819756612,69.64903831930305,189.69007825910631,1.0,219.44785604563168,1.0,241.7170826470283,1.0,144.28916081101306,1.0,0
2,2025-01-16 00:52:08.752469,3.409016023462798,3.3296952721024,69.10697763589633,69.66480219304583,54.59970103243368,54.48486907865761,54.527380109429984,69.1069769173256,69.66480176349474,188.85923613549818,1.0,218.2604373631883,1.0,240.3251342502699,1.0,143.66285530627465,1.0,0
3,2025-01-16 00:52:16.644009,3.582974120018559,3.4708619032100776,69.12925603119479,69.68061148099167,54.77486501952675,54.62502231534115,54.70448995027049,69.12925531672292,69.68061105334411,188.02597763118,1.0,217.0862122868542,1.0,238.95427246884537,1.0,143.02622379204877,1.0,0
4,2025-01-16 00:52:24.404993,3.7541218955679443,3.6126996758387366,69.15131750493386,69.69644427233234,54.947103215331126,54.76619183195682,54.8784339649915,69.15131679450785,69.69644384661078,187.19148033586228,1.0,215.92342047270935,1.0,237.60114221886397,1.0,142.38207665812297,1.0,0
5,2025-01-16 00:52:33.538895,3.9227096066781577,3.754968717433013,69.17318413448633,69.71228773365061,55.116701185870326,54.90803146489975,55.04956908289566,69.17318342805956,69.71228730987269,186.3564206591396,1.0,214.7708982909527,1.0,236.2635994916218,1.0,141.73202480833424,1.0,0
6,2025-01-16 00:52:41.286668,4.088926018527937,3.897490214229686,69.19487233211196,69.7281336761643,55.283867804304634,55.05030159770629,55.21814521480241,69.19487162964235,69.7281332543443,185.52123020630478,1.0,213.62778070230598,1.0,234.94013189178986,1.0,141.07720398783385,1.0,0
7,2025-01-16 00:52:48.708435,4.252920726896658,4.0401241606016605,69.21639439097966,69.74397578163074,55.44876539603115,55.19282358108522,55.38435090485946,69.21639369242872,69.74397536178044,184.68624199232497,1.0,212.49341977198537,1.0,233.6295341387995,1.0,140.41843703239465,1.0,0
8,2025-01-16 00:52:57.593036,4.414816468488751,4.182757111501497,69.2377604289592,69.7598092685897,55.61152537733271,55.335457523150275,55.54833559678591,69.23775973429119,69.75980885071888,183.8517080331242,1.0,211.3672822184779,1.0,232.33089647760607,1.0,139.75640191233651,1.0,0
9,2025-01-16 00:53:05.355349,4.574716553272957,4.325294796555512,69.25897892960089,69.77563021528486,55.77225730383983,55.478090061809745,55.71022191698067,69.25897823878236,69.77562979940171,183.01783503231292,1.0,210.24892090017346,1.0,231.04344242938168,1.0,139.09163173252637,1.0,0
10,2025-01-16 00:53:12.539435,4.732709659899611,4.467657357470846,69.28005675895842,69.79143538840877,55.93105453690294,55.620626989666505,55.87011309212159,69.2800560719579,69.79143497452014,182.18479340748914,1.0,209.13797392869128,1.0,229.76651720227892,1.0,138.4245610893231,1.0,0
11,2025-01-16 00:53:20.259032,4.888873100939483,4.609776115473383,69.3010001078475,69.80722217274105,56.087998011623725,55.76298849775342,56.028097736003744,69.30099942463511,69.8072217608527,181.35272099880353,1.0,208.03411500534827,1.0,228.49957610219462,1.0,137.75557242752257,1.0,0
12,2025-01-16 00:53:28.344667,5.043275132522937,4.751591285182856,69.321814412713,69.82298828028199,56.24315886003119,55.90510594690219,56.18425310941563,69.32181373326037,69.82298787039868,180.52173839961907,1.0,206.93705759200645,1.0,227.2421265865887,1.0,137.0849902457394,1.0,0
13,2025-01-16 00:53:36.214657,5.219274281836584,4.901839403226356,69.39998343436048,69.91028664624699,56.402524898007066,56.04695835777612,56.338759409119604,69.39998275718881,69.91028623723196,175.9205124555684,1.0,202.81701105448266,1.0,226.4792651112657,1.0,136.7945929587222,1.0,0
14,2025-01-16 00:53:44.955579,5.393004419533479,5.052066788450976,69.42335281193212,69.92747863132458,56.57719527845423,56.19720638201475,56.514747059240314,69.4233521390283,69.92747822443393,175.0143762765646,1.0,201.58528368833657,1.0,225.05188841932977,1.0,136.08409744733763,1.0,0
15,2025-01-16 00:53:53.067807,5.564562953266368,5.202185237659837,69.44656784083566,69.94466212571993,56.74966566653192,56.347433274554234,56.68846631057128,69.4465671721647,69.94466172096293,174.10868761507209,1.0,200.36169156147275,1.0,223.63620526675732,1.0,135.37050181525956,1.0,0
16,2025-01-16 00:54:00.927922,5.734035094093959,5.352118539300336,69.46963484831942,69.9618340432779,56.920024932137345,56.497550887093574,56.860014495096614,69.46963418384816,69.9618336406626,173.20360913274902,1.0,199.14590118426744,1.0,222.23163039711835,1.0,134.6542116857563,1.0,0
17,2025-01-16 00:54:08.597423,5.901496313258583,5.501800045472048,69.49255977392147,69.97899160864887,57.08835145099386,56.647483052298675,57.0294767632761,69.4925591136183,69.97899120818221,172.29928710966166,1.0,197.93759950210443,1.0,220.83761911630972,1.0,133.93559791438747,1.0,0
18,2025-01-16 00:54:17.174725,6.067014138823427,5.65117089691655,69.5153478295827,69.99613264343255,57.25471510762665,56.79716315862655,57.19692853680936,69.51534717341738,69.99613224512059,171.39583636252976,1.0,196.73651180975367,1.0,219.45371364950006,1.0,133.21496182129522,1.0,0
19,2025-01-16 00:54:24.595751,6.230649508608463,5.8001786837561395,69.53800343690963,70.0132550067637,57.41917878599034,56.94653237720329,57.362437302566505,69.53800278485318,70.01325461061164,170.49336972971219,1.0,195.54240505805618,1.0,218.07951416803917,1.0,132.49258734276737,1.0,0
20,2025-01-16 00:54:33.533575,6.39245781714825,5.948776415483704,69.56053073801812,70.03035682716971,57.58179951037918,57.09553832390928,57.526063963646756,69.5605300900426,70.03035643318199,169.59198585072747,1.0,194.35506092894133,1.0,216.71464402174934,1.0,131.76872944200113,1.0,0
21,2025-01-16 00:54:41.033430,6.552489736983376,6.096921712375141,69.58293346456247,70.0474364299316,57.74262933629678,57.24413403033735,57.68786388495525,69.582932820641,70.04743603811198,168.6917729948123,1.0,193.17428273849237,1.0,215.3587729173978,1.0,131.04360831448503,1.0,0
22,2025-01-16 00:54:49.493420,6.7107918734733945,6.244576160234632,69.60521485910033,70.06449231417012,57.90171605648951,57.39227713592257,57.84788771347403,69.6052142192069,70.06449192452179,167.79281026865405,1.0,191.99989958155643,1.0,214.0116053294605,1.0,130.3174267718532,1.0,0
23,2025-01-16 00:54:58.242923,6.867407296772882,6.391704785707969,69.62737784818621,70.08152274853728,58.05910377016109,57.53992924321953,58.00618203231708,69.62737721229557,70.08152236106274,166.8951889262335,1.0,190.8317572085305,1.0,212.672874705504,1.0,129.59039921497606,1.0,0
24,2025-01-16 00:55:06.262515,7.022375983121045,6.5382756322980295,69.64942551956997,70.0985268426825,58.21483335110441,57.68705539366227,58.16278989213996,69.64942488765772,70.09852645738387,165.99895589516473,1.0,189.66969287369963,1.0,211.3423086984767,1.0,128.86267050930655,1.0,0
25,2025-01-16 00:55:13.864573,7.164841648520688,6.680175168753064,69.6447244898183,70.08246519735337,58.366401969304086,57.83360582721646,58.317703383530606,69.64472386258386,70.08246481478876,166.84551537397786,1.0,189.91746956250762,1.0,209.77781975261678,1.0,127.9482797701803,1.0,0
26,2025-01-16 00:55:22.475095,7.202722099114449,6.810509718261441,61.94861095642771,68.53671644768822,58.46889474156269,57.97545726149503,58.459869808493934,61.94861062401805,68.5367160945519,248.3171348175367,1.0,0.0,0.0,111.1740163429431,1.0,118.10602238710999,1.0,0
27,2025-01-16 00:55:30.774105,7.242997968215036,6.9375555391328385,61.97890546058031,68.5525409132361,58.50735518832371,58.10577877010052,58.497753645410825,61.978905128592125,68.55254056217215,247.4830763489171,1.0,0.0,0.0,111.03305646258832,1.0,117.41292231931766,1.0,0
28,2025-01-16 00:55:38.337990,7.285751822151038,7.061231137031717,62.0107483680916,68.56834626179918,58.54824848233526,58.232811522170834,58.538033202916644,62.01074803657101,68.56834591275845,246.6500254772402,1.0,0.0,0.0,110.87666841149257,1.0,116.736261583128,1.0,0
29,2025-01-16 00:55:46.510815,7.331105538489158,7.181415800932148,62.044200493086066,68.58413112469569,58.591669080179976,58.35647389938748,58.58079112735049,62.04420016208119,68.58413077762683,245.81805434146924,1.0,0.0,0.0,110.70419160319034,1.0,116.07677030042396,1.0,0
30,2025-01-16 00:55:55.652360,7.24411168774203,7.170666570996039,58.51996594785758,58.467108879068014,58.62037454970851,58.476413024997164,58.6259742155289,58.51996599686518,58.467108886981784,0.0,0.0,0.0,0.0,-16.390535123491645,1.0,-2.6467497718840605,1.0,0
31,2025-01-16 00:56:02.521527,7.163926818366425,7.153108371244425,58.461204472311216,58.433208980836255,58.534626711230274,58.46565968323179,58.53899876353012,58.461204513697766,58.43320899637105,0.0,0.0,0.0,0.0,-13.841682527413468,1.0,-5.19559367603506,1.0,0
32,2025-01-16 00:56:11.142809,7.091758773375061,7.127533345462996,58.40122376514203,58.38790530494376,58.45572620734208,58.44809454905351,58.45883390830983,58.401223800377686,58.387905326629436,0.0,0.0,0.0,0.0,-11.784523559867921,1.0,-7.252749746271547,1.0,0
33,2025-01-16 00:56:19.562582,7.029789895345776,7.091759147409522,58.34268114012591,58.33692423653942,58.38489817778364,58.4225076111233,58.38668870638543,58.3426811708222,58.33692426276447,0.0,0.0,0.0,0.0,-10.266339407394298,1.0,-8.77093679605423,1.0,0
34,2025-01-16 00:56:27.018872,6.9707248953671,7.0530810695045965,58.28744141171131,58.284696030732,58.32324882771735,58.38672941113357,58.32472578746025,58.28744143979608,58.28469605956858,0.0,0.0,0.0,0.0,-9.392919515676112,1.0,-9.644359585081475,1.0,0
35,2025-01-16 00:56:35.215636,6.91367970346674,7.012383196578706,58.23327551885869,58.23216373450643,58.26438946541859,58.34804839353931,58.265664788293996,58.2332755448917,58.23216376539477,0.0,0.0,0.0,0.0,-8.706706351517823,1.0,-10.330569851930704,1.0,0
36,2025-01-16 00:56:43.380487,6.8581602902184935,6.970159541355164,58.17995355554795,58.17965631642263,58.20749046804571,58.30734821569667,58.20862253985538,58.17995357991958,58.17965634897233,0.0,0.0,0.0,0.0,-8.151063317427543,1.0,-10.886209988711926,1.0,0
37,2025-01-16 00:56:50.518642,6.828098458044818,6.934892568509271,58.14953694225052,58.15448509840174,58.15296993251673,58.26513447867634,58.15314193783357,58.14953695016882,58.154485128528606,0.0,0.0,0.0,0.0,-2.648267961831152,1.0,-10.075893488306065,1.0,0
