iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,J2V1_LEVEL,J13V2_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,plc2AttackerUnit
0,2025-01-16 11:56:25.090800,3.0509999999999993,3.0509999999999993,-15.24,-15.24,-15.24,-15.24,-15.24,-15.24,-15.24,1450.0,1.0,1450.0,1.0,55.59964498384435,1.0,55.59964498384435,1.0,0
1,2025-01-16 11:56:35.817216,3.2318900757449573,3.1895463892937506,69.08444892029877,69.64903875072679,54.42117436443497,54.34631589003353,54.346509495079246,69.08444819756612,69.64903831930305,189.69007825910631,1.0,219.44785604563168,1.0,241.7170826470283,1.0,144.28916081101306,1.0,0
2,2025-01-16 11:56:44.117883,3.409016023462798,3.3296952721024,69.10697763589633,69.66480219304583,54.59970103243368,54.48486907865761,54.527380109429984,69.1069769173256,69.66480176349474,188.85923613549818,1.0,218.2604373631883,1.0,240.3251342502699,1.0,143.66285530627465,1.0,0
3,2025-01-16 11:56:53.054420,3.582974120018559,3.4708619032100776,69.12925603119479,69.68061148099167,54.77486501952675,54.62502231534115,54.70448995027049,69.12925531672292,69.68061105334411,188.02597763118,1.0,217.0862122868542,1.0,238.95427246884537,1.0,143.02622379204877,1.0,0
4,2025-01-16 11:57:02.251930,3.7541218955679443,3.6126996758387366,69.15131750493386,69.69644427233234,54.947103215331126,54.76619183195682,54.8784339649915,69.15131679450785,69.69644384661078,187.19148033586228,1.0,215.92342047270935,1.0,237.60114221886397,1.0,142.38207665812297,1.0,0
5,2025-01-16 11:57:11.285502,3.9227096066781577,3.754968717433013,69.17318413448633,69.71228773365061,55.116701185870326,54.90803146489975,55.04956908289566,69.17318342805956,69.71228730987269,186.3564206591396,1.0,214.7708982909527,1.0,236.2635994916218,1.0,141.73202480833424,1.0,0
6,2025-01-16 11:57:20.209778,4.088926018527937,3.897490214229686,69.19487233211196,69.7281336761643,55.283867804304634,55.05030159770629,55.21814521480241,69.19487162964235,69.7281332543443,185.52123020630478,1.0,213.62778070230598,1.0,234.94013189178986,1.0,141.07720398783385,1.0,0
7,2025-01-16 11:57:29.986165,4.252920726896658,4.0401241606016605,69.21639439097966,69.74397578163074,55.44876539603115,55.19282358108522,55.38435090485946,69.21639369242872,69.74397536178044,184.68624199232497,1.0,212.49341977198537,1.0,233.6295341387995,1.0,140.41843703239465,1.0,0
8,2025-01-16 11:57:37.416497,4.414816468488751,4.182757111501497,69.2377604289592,69.7598092685897,55.61152537733271,55.335457523150275,55.54833559678591,69.23775973429119,69.75980885071888,183.8517080331242,1.0,211.3672822184779,1.0,232.33089647760607,1.0,139.75640191233651,1.0,0
9,2025-01-16 11:57:47.108745,4.574716553272957,4.325294796555512,69.25897892960089,69.77563021528486,55.77225730383983,55.478090061809745,55.71022191698067,69.25897823878236,69.77562979940171,183.01783503231292,1.0,210.24892090017346,1.0,231.04344242938168,1.0,139.09163173252637,1.0,0
10,2025-01-16 11:57:55.690230,4.732709659899611,4.467657357470846,69.28005675895842,69.79143538840877,55.93105453690294,55.620626989666505,55.87011309212159,69.2800560719579,69.79143497452014,182.18479340748914,1.0,209.13797392869128,1.0,229.76651720227892,1.0,138.4245610893231,1.0,0
11,2025-01-16 11:58:04.298438,4.888873100939483,4.609776115473383,69.3010001078475,69.80722217274105,56.087998011623725,55.76298849775342,56.028097736003744,69.30099942463511,69.8072217608527,181.35272099880353,1.0,208.03411500534827,1.0,228.49957610219462,1.0,137.75557242752257,1.0,0
12,2025-01-16 11:58:12.633922,5.043275132522937,4.751591285182856,69.321814412713,69.82298828028199,56.24315886003119,55.90510594690219,56.18425310941563,69.32181373326037,69.82298787039868,180.52173839961907,1.0,206.93705759200645,1.0,227.2421265865887,1.0,137.0849902457394,1.0,0
13,2025-01-16 11:58:21.194994,5.219274281836584,4.901839403226356,69.39998343436048,69.91028664624699,56.402524898007066,56.04695835777612,56.338759409119604,69.39998275718881,69.91028623723196,175.9205124555684,1.0,202.81701105448266,1.0,226.4792651112657,1.0,136.7945929587222,1.0,0
14,2025-01-16 11:58:29.572205,5.393004419533479,5.052066788450976,69.42335281193212,69.92747863132458,56.57719527845423,56.19720638201475,56.514747059240314,69.4233521390283,69.92747822443393,175.0143762765646,1.0,201.58528368833657,1.0,225.05188841932977,1.0,136.08409744733763,1.0,0
