iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,J41_LEVEL,J2U_LEVEL,J42_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V41_FLOW,V41_STATUS,V_U_FLOW,V_U_STATUS,V42_FLOW,V42_STATUS,plc4AttackerUnit
0,2025-01-23 01:22:27.274836,3.0509999999999993,3.0509999999999993,-15.24,-15.24,-15.24,-15.24,-15.24,-66.535,-15.24,-15.24,1450.0,1.0,1450.0,1.0,80.06348877673588,1.0,55.59964498384435,1.0,80.06348877673588,1.0,0
1,2025-01-23 01:22:30.618353,3.1915778357466604,3.218631195574406,69.19931724726231,69.68925761839424,55.46338458656715,54.34645004776586,55.41070385227387,4.115703459826862,69.1993165495802,54.34644957979479,187.5702665615313,1.0,213.39350301929534,1.0,-131.25343723118021,1.0,233.33895721862064,1.0,156.51237173017307,1.0,0
2,2025-01-23 01:22:35.311380,3.331654673948265,3.3848068019055524,69.2178528705034,69.70538166302251,55.59667843738115,54.51407403614057,55.54426505888859,4.249264667840206,69.2178521759747,54.51407357223303,186.72041820931327,1.0,212.41654784260479,1.0,-130.78566958085958,1.0,232.28430774793196,1.0,155.15332807240156,1.0,0
3,2025-01-23 01:22:40.203574,3.4712241505644514,3.549538026136886,69.23635593956352,69.72145253090623,55.729401158960066,54.68024254370332,55.677257895145885,4.382257505513892,69.2363552481856,54.68024208382801,185.87337263826961,1.0,211.4413084957633,1.0,-130.31195954965824,1.0,231.2305332645792,1.0,153.80475239226143,1.0,0
4,2025-01-23 01:22:45.054919,3.61027995462266,3.71283608305259,69.2548255611276,69.73747008939755,55.861548010600195,54.84496677647414,55.809677570292564,4.514677182094581,69.25482487289764,54.84496632059977,185.02913683985625,1.0,210.46783206263623,1.0,-129.83235639183022,1.0,230.17769750936168,1.0,152.46664468975268,1.0,0
5,2025-01-23 01:22:49.572112,3.748815816802138,3.874712146677504,69.27326128254445,69.75343435893345,55.993114154433954,55.008257947886655,55.941519190483056,4.646518803736571,69.27326059745958,55.00825749598202,184.18770973690442,1.0,209.4961424010621,1.0,-129.34690646432045,1.0,229.12582366075185,1.0,151.1389701971666,1.0,0
6,2025-01-23 01:22:54.475288,3.886825539767537,4.035177387722097,69.29166240695028,69.76934527354763,56.124095210002245,55.17012723080739,56.07277832603484,4.777777940757167,69.29166172500744,55.1701267828413,183.34909480629142,1.0,208.52627624056905,1.0,-128.85566481600108,1.0,228.07497545954902,1.0,149.82172891450318,1.0,0
7,2025-01-23 01:22:59.211944,4.024302965206054,4.194242961884444,69.31002847999169,69.78520285782665,56.25448642221278,55.33058579474035,56.20345016357084,4.908449779779163,69.31002780118769,55.33058535068169,182.51329075213638,1.0,207.55825752871442,1.0,-128.35867490650799,1.0,227.02519346808003,1.0,148.5148947659809,1.0,0
8,2025-01-23 01:23:04.040833,4.161242002637036,4.351919995782797,69.32835869891174,69.8010070135977,56.38428346719153,55.48964479412009,56.33353032756631,5.038529945277629,69.32835802324325,55.48964435393776,181.68030274882398,1.0,206.59212857632426,1.0,-127.85599757933142,1.0,225.97652404328983,1.0,147.21845905967257,1.0,0
9,2025-01-23 01:23:08.602017,4.297636612856938,4.50821959686962,69.34665246181441,69.81675771674246,56.513481866021074,55.647315354358796,56.463014282148364,5.1680139013795445,69.34665178927801,55.647314918021806,180.8501320675565,1.0,205.6279211074711,1.0,-127.34768208872538,1.0,224.92900195288712,1.0,145.93238992517854,1.0,0
10,2025-01-23 01:23:13.285133,4.433480825495509,4.663152853391835,69.36490922568035,69.83245496686577,56.642077428817146,55.80360858171245,56.59189778279628,5.296897403563995,69.36490855627241,55.80360814918985,180.02277872916127,1.0,204.66566374301968,1.0,-126.83378927818012,1.0,223.88269673228933,1.0,144.65667287595352,1.0,0
11,2025-01-23 01:23:18.139645,4.568768720883665,4.816730818880822,69.3831282462825,69.84809869320932,56.77006578947096,55.95853556316967,56.72017640499621,5.425176027316985,69.38312757999927,55.95853513443058,179.19824646308786,1.0,203.7053957088688,1.0,-126.31437129925871,1.0,222.83763735458706,1.0,143.3912789389069,1.0,0
12,2025-01-23 01:23:22.881821,4.7034944466447675,4.968964531878651,69.40130918949151,69.86368897501004,56.89744285714355,56.11210735110561,56.84784599985568,5.552845623745829,69.40130852632915,56.11210692611923,178.37653109300572,1.0,202.7471346159386,1.0,-125.78949479006951,1.0,221.79387017672525,1.0,142.13619073018435,1.0,0
13,2025-01-23 01:23:27.490140,4.854797804866606,5.133510090103113,69.50458947027145,69.96060083697097,57.26949187646075,56.26439936498822,57.21851255214889,5.92351212975976,69.50458881484433,56.26439890563124,173.26860760999529,1.0,197.30355154103748,1.0,-141.26754560379595,1.0,219.20682814993597,1.0,153.63140059662328,1.0,0
14,2025-01-23 01:23:32.128542,5.005339624913014,5.29672721643611,69.52463498630128,69.97757783502279,57.409047441396595,56.42893844718667,57.35846815746638,6.063467737203221,69.52463433433888,56.428937991538234,172.37380272991925,1.0,196.24701460132664,1.0,-140.55651698754446,1.0,218.0480551862729,1.0,152.39107997217616,1.0,0
15,2025-01-23 01:23:36.883339,5.155116449069413,5.458624442654214,69.54463764773627,69.99450749487335,57.54783850962394,56.592149183366786,57.497659625797944,6.202659207670387,69.5446369992332,56.592148731403064,171.48149289952013,1.0,195.19273639431398,1.0,-139.84226656361898,1.0,216.89108434884474,1.0,151.15873274226033,1.0,0
16,2025-01-23 01:23:41.717799,5.304124886968129,5.6192102698084145,69.56459739682192,70.01139004608423,57.68586358683429,56.75404010437026,57.63608540862885,6.3410849926463975,69.5645967517728,56.75403965606753,170.5916660193188,1.0,194.14071996405866,1.0,-139.12484068896447,1.0,215.7359156376515,1.0,149.93431834454896,1.0,0
17,2025-01-23 01:23:46.535405,5.452361599465813,5.7784931525029135,69.58451358898681,70.02822536036217,57.823120784750145,56.914619710230454,57.77374356361916,6.478743149791104,69.58451294738612,56.91461926556513,169.70432885125507,1.0,193.09099928391856,1.0,-138.4043060016893,1.0,214.5825954096381,1.0,148.71779331940616,1.0,0
18,2025-01-23 01:23:51.137257,5.599823307528405,5.936481522857795,69.60438585405167,70.0450134084817,57.959608386625106,57.07389645465725,57.91063232020344,6.615631908538931,69.6043852158938,57.07389601360579,168.81948293571511,1.0,192.04359386489728,1.0,-137.6807088587384,1.0,213.43114684327702,1.0,147.50914028297757,1.0,0
19,2025-01-23 01:23:55.768369,5.746506807391002,6.093183759844172,69.62421359899339,70.06175407957542,58.09532494031329,57.23187876873941,58.04675017667219,6.751749767180192,69.62421296427266,57.231878331278395,167.93713411617153,1.0,190.99853496340032,1.0,-136.95411589822015,1.0,212.28159891165888,1.0,146.30832157024543,1.0,0
20,2025-01-23 01:24:00.388103,5.892408953529309,6.24860822109398,69.64399651640514,70.07844736600487,58.23026881179326,57.38857503057573,58.18209544412965,6.887095036818924,69.6439958851157,57.38857459668183,167.05728279522643,1.0,189.95583878188768,1.0,-136.22459086093386,1.0,211.13400376634672,1.0,145.115302413501,1.0,0
21,2025-01-23 01:24:04.891357,6.037526658485786,6.402763237717795,69.66373394288854,70.09509312923174,58.36443840976381,57.54399359690847,58.316666477802926,7.021666072682095,69.66373331502453,57.54399316655846,166.1799362748026,1.0,188.91554028602883,1.0,-135.49218300113353,1.0,209.98837879119492,1.0,143.93005383965374,1.0,0
22,2025-01-23 01:24:09.625241,6.181856915272533,6.555657083867133,69.68342569746277,70.11169140846553,58.49783250852629,57.698142797826,58.45046200062567,7.155461597703151,69.68342507301819,57.69814237099676,165.30509248829088,1.0,187.87764901476407,1.0,-134.75696185423658,1.0,208.84475295929406,1.0,142.75253528637677,1.0,0
23,2025-01-23 01:24:14.563972,6.325396775391188,6.707298007564843,69.70307116332941,70.12824208012691,58.63044963358675,57.85103090660941,58.58348048428159,7.288480083565596,69.70307054229815,57.85103048327791,164.43275794917227,1.0,186.8421974776199,1.0,-134.01899116104232,1.0,207.70317262758908,1.0,141.58272067788857,1.0,0
24,2025-01-23 01:24:19.163435,6.468143358671254,6.857694218537156,69.72266995966265,70.14474510762547,58.762288496010505,58.00266617036308,58.71572058655628,7.420720188054844,69.7226693420385,58.0026657505064,163.56293458601664,1.0,185.80920574674633,1.0,-133.27833466235006,1.0,206.5636667691706,1.0,140.42056945186232,1.0,0
25,2025-01-23 01:24:23.815454,6.602252990635793,7.000323400732964,69.70276828342459,70.12347175945224,58.78439410880852,58.15302796292023,58.73890262246392,7.443902248074008,69.70276766707971,58.15302756474652,164.68418674749054,1.0,186.85816133743114,1.0,-125.21426304942906,1.0,206.13581534576042,1.0,133.16872366601729,1.0,0
26,2025-01-23 01:24:28.639226,6.720989349438412,7.0894483580332945,67.79835918924451,63.61405236594611,58.71414844495919,58.295463190075715,58.676034982086634,7.381034650613842,67.79835863116378,58.29546294126819,0.0,0.0,287.23365445654366,1.0,-110.86068395741222,1.0,186.6494417515696,1.0,83.21338170844683,1.0,0
