iteration,timestamp,P79,T41,V41F,J21,V41,T42,V42F,J19,V42,J2,P1F,V_UF,P1
0.0,2025-01-23 01:22:30.361814,1.0,3.0510001182556152,0.0,0.0,1.0,3.0510001182556152,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,2025-01-23 01:22:35.133252,1.0,3.191577911376953,-131.25343322753906,55.41070556640625,1.0,3.2186312675476074,156.5123748779297,54.34645080566406,1.0,69.1993179321289,213.3935089111328,233.33895874023438,1.0
2.0,2025-01-23 01:22:40.042586,1.0,3.3316547870635986,-130.78567504882812,55.54426574707031,1.0,3.3848068714141846,155.15333557128906,54.51407241821289,1.0,69.21784973144531,212.4165496826172,232.2843017578125,1.0
3.0,2025-01-23 01:22:44.879355,1.0,3.471224069595337,-130.3119659423828,55.6772575378418,1.0,3.5495381355285645,153.80474853515625,54.68024444580078,1.0,69.23635864257812,211.44131469726562,231.23052978515625,1.0
4.0,2025-01-23 01:22:49.372350,1.0,3.6102800369262695,-129.8323516845703,55.80967712402344,1.0,3.7128360271453857,152.46664428710938,54.844966888427734,1.0,69.25482177734375,210.46783447265625,230.17770385742188,1.0
5.0,2025-01-23 01:22:54.252564,1.0,3.7488157749176025,-129.34690856933594,55.94152069091797,1.0,3.8747122287750244,151.13897705078125,55.00825881958008,1.0,69.27326202392578,209.4961395263672,229.12582397460938,1.0
6.0,2025-01-23 01:22:58.983575,1.0,3.8868255615234375,-128.8556671142578,56.072776794433594,1.0,4.035177230834961,149.8217315673828,55.170127868652344,1.0,69.29166412353516,208.52627563476562,228.07498168945312,1.0
7.0,2025-01-23 01:23:03.862781,1.0,4.024302959442139,-128.35867309570312,56.20344924926758,1.0,4.19424295425415,148.514892578125,55.33058547973633,1.0,69.31002807617188,207.55825805664062,227.0251922607422,1.0
8.0,2025-01-23 01:23:08.447522,1.0,4.1612420082092285,-127.85599517822266,56.33353042602539,1.0,4.351920127868652,147.2184600830078,55.48964309692383,1.0,69.32836151123047,206.59213256835938,225.9765167236328,1.0
9.0,2025-01-23 01:23:13.137862,1.0,4.29763650894165,-127.3476791381836,56.4630126953125,1.0,4.5082197189331055,145.93238830566406,55.647315979003906,1.0,69.34664916992188,205.62791442871094,224.9290008544922,1.0
10.0,2025-01-23 01:23:17.928115,1.0,4.433480739593506,-126.83378601074219,56.591896057128906,1.0,4.663152694702148,144.65667724609375,55.80360794067383,1.0,69.36490631103516,204.66566467285156,223.8826904296875,1.0
11.0,2025-01-23 01:23:22.640620,1.0,4.568768501281738,-126.31436920166016,56.720176696777344,1.0,4.816730976104736,143.3912811279297,55.958534240722656,1.0,69.38312530517578,203.7053985595703,222.83763122558594,1.0
12.0,2025-01-23 01:23:27.229116,1.0,4.703494548797607,-125.78949737548828,56.84784698486328,1.0,4.968964576721191,142.1361846923828,56.11210632324219,1.0,69.40130615234375,202.74713134765625,221.7938690185547,1.0
13.0,2025-01-23 01:23:31.954319,1.0,4.854797840118408,-141.26754760742188,57.21851348876953,1.0,5.133510112762451,153.6313934326172,56.264400482177734,1.0,69.50459289550781,197.30355834960938,219.2068328857422,1.0
14.0,2025-01-23 01:23:36.676538,1.0,5.005339622497559,-140.5565185546875,57.35846710205078,1.0,5.296727180480957,152.39108276367188,56.42893981933594,1.0,69.5246353149414,196.24700927734375,218.0480499267578,1.0
15.0,2025-01-23 01:23:41.558550,1.0,5.155116558074951,-139.84226989746094,57.497657775878906,1.0,5.458624362945557,151.1587371826172,56.59214782714844,1.0,69.54463958740234,195.19273376464844,216.89108276367188,1.0
16.0,2025-01-23 01:23:46.374493,1.0,5.30412483215332,-139.12484741210938,57.636085510253906,1.0,5.619210243225098,149.93431091308594,56.7540397644043,1.0,69.5645980834961,194.14071655273438,215.7359161376953,1.0
17.0,2025-01-23 01:23:50.977505,1.0,5.452361583709717,-138.40431213378906,57.77374267578125,1.0,5.7784929275512695,148.71778869628906,56.91461944580078,1.0,69.58451080322266,193.09100341796875,214.5825958251953,1.0
18.0,2025-01-23 01:23:55.574510,1.0,5.599823474884033,-137.6807098388672,57.9106330871582,1.0,5.936481475830078,147.50914001464844,57.07389831542969,1.0,69.60438537597656,192.04359436035156,213.43115234375,1.0
19.0,2025-01-23 01:24:00.168282,1.0,5.746506690979004,-136.95411682128906,58.046749114990234,1.0,6.093183994293213,146.30831909179688,57.23188018798828,1.0,69.62421417236328,190.99853515625,212.28160095214844,1.0
