iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,plc2AttackerUnit
0,2025-01-14 16:13:50.473691,3.0509999999999993,3.0509999999999993,-15.24,-15.24,-15.24,-15.24,-15.24,1450.0,1.0,1450.0,1.0,55.59964498384435,1.0,55.59964498384435,1.0,0
1,2025-01-14 16:14:03.535817,3.596793602860381,3.7009960901885415,54.79847837466952,54.351532988782665,54.79847669905815,54.35153110859042,54.35000200963377,616.062834348267,1.0,595.1405949631722,1.0,560.4062449515368,1.0,-628.8280758440123,1.0,0
2,2025-01-14 16:14:13.546524,4.121871774826855,4.31326065424733,55.31480262689127,55.000949093870666,55.31480100911053,55.00094731631486,54.895518860221365,585.6626117702299,1.0,570.9706181686284,1.0,541.0648584972932,1.0,-594.5014418739447,1.0,0
3,2025-01-14 16:14:25.091284,4.627288578456603,4.889549655857438,55.8127575239764,55.61268829007106,55.81275596108372,55.61268661238618,55.42034282270027,557.0261064872549,1.0,547.6605407211955,1.0,522.7076126004704,1.0,-561.099727464125,1.0,0
4,2025-01-14 16:14:35.004737,5.114263717506582,5.431308391172639,56.29348694113916,56.18849862412072,56.29348542972951,56.18849704274016,55.92552871780753,530.0714895926345,1.0,525.1568159643575,1.0,505.48917141327365,1.0,-528.890858372506,1.0,0
5,2025-01-14 16:14:44.652051,5.58471188477514,5.939116622165918,56.758961201966,56.7298114050899,56.7589597366942,56.72980991848304,56.41230315645961,504.7317591842399,1.0,503.3672098510844,1.0,490.0584220672499,1.0,-497.1939061266539,1.0,0
6,2025-01-14 16:14:56.036929,6.044761676868804,6.408962810523099,57.216184264380104,57.23715024201481,57.216182828137136,57.2371488613827,56.88262807641134,480.98240427270724,1.0,481.96385573605704,1.0,480.3497625022146,1.0,-461.7507796240261,1.0,0
7,2025-01-14 16:15:06.050664,6.486586355986579,6.851561383292912,57.653621922598646,57.70667875451424,57.653620537234175,57.706677449946454,57.34246753212247,459.00301205424137,1.0,461.4866885243554,1.0,463.3335100277236,1.0,-436.31115734285686,1.0,0
8,2025-01-14 16:15:17.519578,6.910257212516917,7.271221483004142,58.0736442817758,58.14902247095943,58.07364294709082,58.149021230426534,57.78408991922906,439.42160271474745,1.0,442.70142036020303,1.0,446.38381453694365,1.0,-414.8947615999532,1.0,0
9,2025-01-14 16:15:28.334797,7.316390945996824,7.670077068612196,58.47694110849132,58.568461449693814,58.4769398227642,58.56846026723863,58.20757224295711,421.17118600211506,1.0,425.15337280236866,1.0,430.0099157620707,1.0,-395.47074099402835,1.0,0
10,2025-01-14 16:15:37.884933,7.705353094424094,8.049497851967594,58.863784101724896,58.967119154116844,58.86378286393517,58.967118025915646,58.613527972969294,403.82499358724874,1.0,408.3212561255214,1.0,413.9773113024603,1.0,-377.3255578391854,1.0,0
11,2025-01-14 16:15:49.091584,7.669405565014743,8.398830677330926,59.000321451473326,59.34625027825042,59.000321399891426,59.3462492340424,59.00032712912678,387.3284318584252,1.0,0.0,0.0,17.251505278181867,1.0,-349.23413867375075,1.0,0
12,2025-01-14 16:15:59.092426,7.646300909735763,8.320475655214645,58.96470934419818,59.693720598652774,58.96470925676321,59.69372074804686,58.964394113232586,0.0,0.0,0.0,0.0,29.24252295201768,1.0,49.96467419005057,1.0,0
13,2025-01-14 16:16:10.567575,7.642075536533159,8.25687471787038,58.94209112783988,59.615400824682496,58.942091038066366,59.61540095601266,58.941300417260784,0.0,0.0,0.0,0.0,30.02464573796715,1.0,43.92321692876067,1.0,0
14,2025-01-14 16:16:19.491634,7.636048955883246,8.195074995036533,58.93773154437248,59.55180376294304,58.93773145962735,59.5518038892896,58.937074585972425,0.0,0.0,0.0,0.0,28.342908489094043,1.0,42.256458767724325,1.0,0
15,2025-01-14 16:16:29.989430,7.628255895500347,8.135041749374441,58.93158436282515,59.49000774879729,58.931584283011446,59.490007870215855,58.931047425723236,0.0,0.0,0.0,0.0,26.69359792321302,1.0,40.6082955362308,1.0,0
16,2025-01-14 16:16:39.216588,7.618732994293639,8.076738345204364,58.923683958463876,59.4299780460393,58.92368388347933,59.42997816262914,58.923253677422316,0.0,0.0,0.0,0.0,25.07849298808651,1.0,38.993332569248196,1.0,0
17,2025-01-14 16:16:49.089470,7.607518952459676,8.020126083594883,58.914066592438424,59.37167802013451,58.91406652217497,59.37167813200362,58.91372999197261,0.0,0.0,0.0,0.0,23.49952908616615,1.0,37.41449325161739,1.0,0
18,2025-01-14 16:16:59.924530,7.5946547153328146,7.965164012991856,58.902770561732275,59.315068973257524,58.90277049607564,59.315069080520225,58.902515080973124,0.0,0.0,0.0,0.0,21.95878358804748,1.0,35.87388392702451,1.0,0
19,2025-01-14 16:17:09.978290,7.58018363519221,7.911808791390955,58.88983638348589,59.26010995501699,58.889836322315034,59.260110057794286,58.889649900852966,0.0,0.0,0.0,0.0,20.458519292105848,1.0,34.373744215372426,1.0,0
20,2025-01-14 16:17:19.587058,7.564151763010559,7.860014354187853,58.87530695031166,59.206757624370525,58.875306893498006,59.20675772279101,58.875177815065605,0.0,0.0,0.0,0.0,19.00125975453193,1.0,32.91661505670618,1.0,0
21,2025-01-14 16:17:29.678651,7.546607999645452,7.809731811894717,58.85922783438138,59.15496591779758,58.85922778178844,59.15496601199774,58.859144885726394,0.0,0.0,0.0,0.0,17.58964732118784,1.0,31.50513300226976,1.0,0
22,2025-01-14 16:17:40.836401,7.527604314460741,7.760909189739144,58.841647437098054,59.104685946818066,58.84164738858071,59.10468603694299,58.841600025038765,0.0,0.0,0.0,0.0,16.226567711896678,1.0,30.142175079959088,1.0,0
23,2025-01-14 16:17:52.874361,7.507196014056634,7.713491186725755,58.822617229045555,59.05586573761812,58.82261718444945,59.05586582382219,58.82259521398951,0.0,0.0,0.0,0.0,14.915115252733813,1.0,28.830847205085774,1.0,0
24,2025-01-14 16:18:03.412361,7.485441898103746,7.667418993596641,58.802192067907825,59.008449990211965,58.80219202706879,59.00845007265931,58.80218577102859,0.0,0.0,0.0,0.0,13.658566800245353,1.0,27.574417542268748,1.0,0
25,2025-01-14 16:18:15.400053,7.452850734775713,7.616511085333362,58.7803736391656,58.96236944676327,58.78037360510995,58.96236953204456,58.78042024290566,0.0,0.0,0.0,0.0,11.38987240096867,1.0,28.52222874139443,1.0,0
26,2025-01-14 16:18:26.293190,7.419241187956058,7.56662155615272,58.74775752115035,58.91146335815536,58.74775748993768,58.91146344059395,58.747827809726246,0.0,0.0,0.0,0.0,10.439039308494102,1.0,27.57148836280976,1.0,0
27,2025-01-14 16:18:36.907241,7.384681913129736,7.517681763071341,58.71412071474885,58.86157549775827,58.71412068618752,58.86157557754576,58.71421704874044,0.0,0.0,0.0,0.0,9.552303384339211,1.0,26.68483066599947,1.0,0
