iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,ScadaCommand_V1,ScadaCommand_V2,T41,T42,P1,J2,J13,V1F,V2F
0.0,2025-01-02 13:26:30.830176,1.0,1,1,0.0,0.0,3.0510001182556152,3.0510001182556152,1.0,0.0,0.0,0.0,0.0
1.0,2025-01-02 13:26:41.573255,1.0,1,1,,,3.577101469039917,3.722076892852783,1.0,54.770442962646484,54.351871490478516,562.1585693359375,-628.4616088867188
2.0,2025-01-02 13:26:51.814257,1.0,1,1,,,4.089666366577148,4.3476457595825195,1.0,55.27775192260742,55.02223205566406,545.1497802734375,-591.2780151367188
3.0,2025-01-02 13:27:02.114290,1.0,1,1,,,4.589731216430664,4.3476457595825195,1.0,55.773311614990234,55.647151947021484,528.4844970703125,-555.54541015625
4.0,2025-01-02 13:27:12.099884,1.0,1,1,,,5.079511642456055,4.929535865783691,1.0,56.259639739990234,56.22844314575195,513.1539306640625,-520.9006958007812
5.0,2025-01-02 13:27:25.448159,1.0,1,1,,,5.079511642456055,5.468183517456055,1.0,56.746639251708984,56.766456604003906,502.1240234375,-483.94952392578125
6.0,2025-01-02 13:27:36.317402,1.0,1,1,,,6.036944389343262,6.417026519775391,1.0,57.21099853515625,57.255455017089844,483.2127685546875,-458.2340393066406
7.0,2025-01-02 13:27:47.196006,1.0,1,1,,,6.036944389343262,6.851006031036377,1.0,57.65578079223633,57.71464538574219,463.7013854980469,-435.430419921875
8.0,2025-01-02 13:27:58.175297,1.0,1,1,,,6.91754674911499,7.263298988342285,1.0,58.082252502441406,58.14838790893555,445.2461242675781,-415.6473388671875
9.0,2025-01-02 13:28:08.657113,1.0,1,0,,,7.329652786254883,7.655894756317139,1.0,58.491092681884766,58.56047439575195,427.7174987792969,-397.4576110839844
10.0,2025-01-02 13:28:18.551012,1.0,1,0,,,7.329652786254883,7.655894756317139,0.0,58.62531661987305,58.95264434814453,16.533235549926758,-367.0718078613281
11.0,2025-01-02 13:28:28.534025,1.0,0,0,,,7.312326431274414,8.315622329711914,0.0,58.610408782958984,59.301361083984375,28.20132827758789,-340.229248046875
12.0,2025-01-02 13:28:39.080746,0.0,0,0,,,7.317131042480469,8.194948196411133,0.0,58.61762237548828,59.61037826538086,35.79880142211914,56.605098724365234
13.0,2025-01-02 13:28:48.799135,0.0,0,0,,,7.336345195770264,8.093805313110352,0.0,58.637359619140625,59.48977279663086,34.72372817993164,48.64729309082031
14.0,2025-01-02 13:28:59.006514,0.0,0,0,,,7.369662284851074,7.999208450317383,0.0,58.6694450378418,59.388648986816406,31.272117614746094,45.1955451965332
15.0,2025-01-02 13:29:09.049909,0.0,0,0,,,7.396432399749756,7.911021709442139,0.0,58.69513702392578,59.294071197509766,27.892732620239258,41.81587219238281
16.0,2025-01-02 13:29:18.936486,0.0,0,0,,,7.4308953285217285,7.8290934562683105,0.0,58.714569091796875,59.205902099609375,24.59295654296875,38.51580810546875
17.0,2025-01-02 13:29:29.249191,0.0,0,0,,,7.438906669616699,7.753255844116211,0.0,58.72789001464844,59.12398910522461,21.381872177124023,35.304412841796875
18.0,2025-01-02 13:29:40.080152,0.0,0,0,,,7.441017150878906,7.683318614959717,0.0,58.73525619506836,59.04816818237305,18.270845413208008,32.19305419921875
19.0,2025-01-02 13:29:50.519323,0.0,0,0,,,7.441017150878906,7.619065284729004,0.0,58.73685836791992,58.978240966796875,15.274375915527344,29.19624137878418
20.0,2025-01-02 13:30:01.121264,0.0,0,0,,,7.43744421005249,7.560242176055908,0.0,58.73290252685547,58.91400146484375,12.411561965942383,26.333045959472656
21.0,2025-01-02 13:30:11.702383,0.0,0,0,,,7.428441047668457,7.506547927856445,0.0,58.723636627197266,58.855186462402344,9.707854270935059,23.628925323486328
22.0,2025-01-02 13:30:23.135140,0.0,0,0,,,7.395416736602783,7.457613945007324,0.0,58.7093505859375,58.8015022277832,7.198202133178711,21.11882209777832
23.0,2025-01-02 13:30:34.081296,0.0,0,0,,,7.395416736602783,7.412980556488037,0.0,58.690406799316406,58.7525749206543,4.931199550628662,18.851314544677734
24.0,2025-01-02 13:30:44.503738,0.0,0,0,,,7.372223854064941,7.372045993804932,0.0,58.66716766357422,58.70794677734375,2.9814932346343994,16.901046752929688
25.0,2025-01-02 13:30:55.283075,0.0,0,0,,,7.345332145690918,7.327884674072266,0.0,58.640018463134766,58.66700744628906,0.38661691546440125,17.520992279052734
26.0,2025-01-02 13:31:05.822199,0.0,0,0,,,7.305994510650635,7.28487491607666,0.0,58.60062026977539,58.62284851074219,-0.2192857265472412,16.91362762451172
27.0,2025-01-02 13:31:16.450294,0.0,0,0,,,7.224369525909424,7.24251127243042,0.0,58.560096740722656,58.57984161376953,-0.5595283508300781,16.573068618774414
28.0,2025-01-02 13:31:26.550171,0.0,0,0,,,7.224369525909424,7.200475692749023,0.0,58.518943786621094,58.5374755859375,-0.7323238253593445,16.40013313293457
29.0,2025-01-02 13:31:37.266242,0.0,0,0,,,7.182906150817871,7.158596038818359,0.0,58.47747039794922,58.49544143676758,-0.814555287361145,16.317838668823242
30.0,2025-01-02 13:31:47.898897,0.0,0,0,,,7.141286849975586,7.116788387298584,0.0,58.435848236083984,58.45355987548828,-0.8523101210594177,16.280059814453125
31.0,2025-01-02 13:31:58.098166,0.0,0,0,,,7.099595546722412,7.075012683868408,0.0,58.3941535949707,58.4117546081543,-0.869314432144165,16.263038635253906
32.0,2025-01-02 13:32:08.232074,0.0,0,0,,,7.057872295379639,7.0332512855529785,0.0,58.3524284362793,58.36997985839844,-0.8769720196723938,16.25537872314453
33.0,2025-01-02 13:32:19.127072,0.0,0,0,,,7.016134262084961,6.991496562957764,0.0,58.310691833496094,58.328216552734375,-0.8803618550300598,16.25197982788086
34.0,2025-01-02 13:32:30.046982,0.0,0,0,,,6.974390029907227,6.949744701385498,0.0,58.26894760131836,58.286460876464844,-0.8818684220314026,16.250473022460938
35.0,2025-01-02 13:32:40.801093,0.0,0,0,,,6.932642459869385,6.907994270324707,0.0,58.22719955444336,58.24470901489258,-0.8825406432151794,16.24980354309082
36.0,2025-01-02 13:32:51.126201,0.0,0,0,,,6.890893936157227,6.866244316101074,0.0,58.18545150756836,58.20296096801758,-0.882841944694519,16.2495059967041
37.0,2025-01-02 13:33:01.623195,0.0,0,0,,,6.84914493560791,6.835392951965332,0.0,58.144039154052734,58.161224365234375,0.9602985978126526,12.413888931274414
38.0,2025-01-02 13:33:12.144231,0.0,0,0,,,6.824187755584717,6.806360721588135,0.0,58.119022369384766,58.130374908447266,0.0033463919535279274,11.454858779907227
39.0,2025-01-02 13:33:22.430147,0.0,0,0,,,6.769829750061035,6.778133869171143,0.0,58.09221267700195,58.10134506225586,-0.4201677739620209,11.030258178710938
40.0,2025-01-02 13:33:33.199171,0.0,0,0,,,6.769829750061035,6.750153064727783,0.0,58.06462097167969,58.073116302490234,-0.5498252511024475,10.900487899780273
41.0,2025-01-02 13:33:44.189973,0.0,0,0,,,6.742002010345459,6.722231864929199,0.0,58.03679275512695,58.045135498046875,-0.5812118053436279,10.869071960449219
42.0,2025-01-02 13:33:55.309186,0.0,0,0,,,6.714114665985107,6.694324016571045,0.0,58.00890350341797,58.017215728759766,-0.5881971716880798,10.862081527709961
43.0,2025-01-02 13:34:06.070825,0.0,0,0,,,6.686214447021484,6.66641902923584,0.0,57.98100280761719,57.98930740356445,-0.5897327661514282,10.86054515838623
44.0,2025-01-02 13:34:16.523539,0.0,0,0,,,6.630406856536865,6.638514518737793,0.0,57.953102111816406,57.961402893066406,-0.5900572538375854,10.860215187072754
45.0,2025-01-02 13:34:27.290297,0.0,0,0,,,6.630406856536865,6.610610008239746,0.0,57.92519760131836,57.93349838256836,-0.5901297330856323,10.860145568847656
46.0,2025-01-02 13:34:37.942117,0.0,0,0,,,6.602502346038818,6.582705974578857,0.0,57.89729309082031,57.90559387207031,-0.5901412963867188,10.86013412475586
47.0,2025-01-02 13:34:48.662401,0.0,0,0,,,6.546693801879883,6.5548014640808105,0.0,57.869388580322266,57.877689361572266,-0.590149998664856,10.860128402709961
