iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,T41MiM
0,2024-12-25 12:48:55.154411,3.0509999999999993,3.0509999999999993,-15.24,-15.24,-15.24,-15.24,-15.24,1450.0,1.0,1450.0,1.0,55.59964498384435,1.0,55.59964498384435,1.0,0
1,2024-12-25 12:49:03.397800,3.5771014500496494,3.722076944586456,54.770443426692694,54.35186979593611,54.770441745841815,54.35186791683951,54.34973871472325,616.0470678584154,1.0,596.452956408757,1.0,562.1585896221859,1.0,-628.4616386807329,1.0,0
2,2024-12-25 12:49:11.812121,4.089666188606313,4.347645526163159,55.27775243813821,55.02223103198164,55.27775080814356,55.02222926406388,54.87566396140085,584.6663696838444,1.0,572.7049976763536,1.0,545.1497861292864,1.0,-591.2780059122724,1.0,0
3,2024-12-25 12:49:20.111115,4.589731200719463,4.929536001791106,55.773312607380916,55.64715315010471,55.77331102721543,55.64715148902723,55.388069476092205,555.412750415647,1.0,549.5070213284362,1.0,528.4844818038437,1.0,-555.5454005695992,1.0,0
4,2024-12-25 12:49:28.030469,5.07951175965798,5.468183688390539,56.25963824885481,56.22844307206932,56.25963671452765,56.22844151457936,55.88800599807331,528.2016251114793,1.0,526.7413282229194,1.0,513.1539069185465,1.0,-520.9006768325253,1.0,0
5,2024-12-25 12:49:36.249662,5.56718998154883,5.957542509941746,56.74663825691835,56.7664547125886,56.7466367555705,56.76645326558236,56.37776057178118,503.01642644883583,1.0,503.9440669221219,1.0,502.124016476273,1.0,-483.9495270402949,1.0,0
6,2024-12-25 12:49:44.445738,6.0369444366389065,6.417026406390039,57.21099786851596,57.25545343258926,57.210996423712636,57.255452062472195,56.86522112532481,480.12560219620804,1.0,482.20663934954047,1.0,483.2127645249784,1.0,-458.234034579732,1.0,0
7,2024-12-25 12:49:52.644988,6.486880575781464,6.851005932103957,57.65577927034714,57.71464525587027,57.6557778838827,57.71464395393584,57.33474301175993,458.6300871875894,1.0,461.3856995725588,1.0,463.70139294822366,1.0,-435.4304333350001,1.0,0
8,2024-12-25 12:49:59.389421,6.917546944316597,7.2632988433542955,58.082254395182886,58.14838764582466,58.082253063899635,58.148386403041606,57.784461235073664,439.4492249049508,1.0,442.3267814601741,1.0,445.24611080476006,1.0,-415.6473260388793,1.0,0
9,2024-12-25 12:50:07.412982,7.329652928116969,7.655894883736301,58.49109304860429,58.56047418145842,58.49109176973153,58.56047299306254,58.21492541678587,421.5187239780355,1.0,424.5376007414762,1.0,427.7174837096709,1.0,-397.4575967572491,1.0,0
10,2024-12-25 12:50:15.627171,7.312326308785295,8.004949835473997,58.62531563278483,58.95264478448264,58.625315583350556,58.95264368694012,58.62464620764725,404.45479503840176,1.0,0.0,0.0,16.53323628659109,1.0,-367.07179854772676,1.0,0
