iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,plc2_Scada_replay
0,2025-01-13 13:00:49.373986,3.0509999999999993,3.0509999999999993,-15.24,-15.24,-15.24,-15.24,-15.24,1450.0,1.0,1450.0,1.0,55.59964498384435,1.0,55.59964498384435,1.0,0
1,2025-01-13 13:01:10.251882,3.577101451035275,3.7220769451143063,54.77044342805053,54.351869795944374,54.77044174719965,54.35186791684779,54.34973871473598,616.0470678580286,1.0,596.4529563451944,1.0,562.158592519495,1.0,-628.4616357834238,1.0,0
2,2025-01-13 13:01:24.663954,4.089666185981919,4.347645525049122,55.2777524341666,55.02223103248445,55.277750804171944,55.02222926456668,54.875663962340006,584.6663696603067,1.0,572.7049978622717,1.0,545.1497861292864,1.0,-591.2780088095815,1.0,0
3,2025-01-13 13:01:38.941108,4.589731195361878,4.929536001372425,55.77331260107741,55.64715314900064,55.773311020911926,55.64715148792316,55.38806947343336,555.4127504673299,1.0,549.5070216235137,1.0,528.4844789065346,1.0,-555.5454005695992,1.0,0
4,2025-01-13 13:01:52.882233,5.079511753590025,5.46818368631049,56.25963824255428,56.22844307162831,56.25963670822712,56.22844151413835,55.888005992706915,528.2016251321234,1.0,526.7413285178578,1.0,513.1539069185465,1.0,-520.9006768325253,1.0,0
5,2025-01-13 13:02:08.961894,5.5671899753691925,5.957542517424583,56.746638250702034,56.76645471062688,56.74663674935418,56.76645326362063,56.377760565711846,503.0164265406671,1.0,503.94406721311714,1.0,502.124016476273,1.0,-483.949529937604,1.0,0
6,2025-01-13 13:02:23.753581,6.036944426287745,6.417026409965571,57.210997856987426,57.25545344002627,57.210996412184116,57.25545206990922,56.86522111909532,480.12560184806915,1.0,482.20663988920955,1.0,483.21276162766935,1.0,-458.23403168242294,1.0,1
7,2025-01-13 13:02:38.500971,6.486880568369827,6.851005938169313,57.655779263636965,57.71464525947362,57.65577787717253,57.714643957539174,57.33474300144264,458.6300870189117,1.0,461.38569988667274,1.0,463.70139294822366,1.0,-435.43043623230915,1.0,1
8,2025-01-13 13:02:53.303601,6.9175469396160185,7.2632988456686505,58.08225439101606,58.14838765184991,58.0822530597328,58.14838640906685,57.78446122769212,439.44922464278307,1.0,442.326781641479,1.0,445.2461137020691,1.0,-415.6473260388793,1.0,1
9,2025-01-13 13:03:07.648586,7.329652921146137,7.655894887794948,58.49109304128049,58.56047418379066,58.491091762407734,58.5604729953948,58.214925412061014,421.5187238765565,1.0,424.53760106014545,1.0,427.7174837096709,1.0,-397.45759385994006,1.0,1
10,2025-01-13 13:03:23.176331,7.72364346447251,8.030072475271439,58.88262730640004,58.9528850563497,58.882626078256465,58.952883919211345,58.626841394719804,404.44434045043903,1.0,407.5013601335927,1.0,410.7511692541266,1.0,-380.314578319485,1.0,1
11,2025-01-13 13:03:38.297526,7.7048371786870975,8.363176218537951,59.019202855278024,59.32667721077689,59.019202808176225,59.326676159561295,59.018635642598305,388.18008527131076,1.0,0.0,0.0,15.753141616983157,1.0,-351.57781543148303,1.0,1
12,2025-01-13 13:03:54.067758,7.7077635776478735,8.258790152233434,59.002651462279125,59.657989081042565,59.00265138091818,59.65798922457506,58.99983742811861,0.0,0.0,0.0,0.0,27.211071807755616,1.0,48.00427375585059,1.0,1
