iteration,timestamp,T1,PU1F,PU2F,J280,J269,PU1,PU2,ScadaCommand_PU1,T1S,ScadaCommand_PU2
0,2025-02-20 22:02:30.128004,3.0,0.0,0.0,0.0,0.0,0,1,1.0,3.0,1.0
1,2025-02-20 22:03:23.641791,3.0319082736968994,90.6913592701852,90.708647656574,2.97794059526657,37.935620892361,1,1,1.0,3.0,1.0
2,2025-02-20 22:04:16.348463,3.026608943939209,96.124506279897,96.143365891218,2.97543070109329,35.0541535176825,1,1,1.0,3.026608943939209,1.0
3,2025-02-20 22:05:05.007552,3.0213685035705566,96.1269822082158,96.145842545806,2.97542952606938,35.0528268358188,1,1,1.0,3.026608943939209,1.0
4,2025-02-20 22:05:54.232463,3.016186475753784,96.1294274953153,96.1482885501999,2.97542837347213,35.0515165625884,1,1,1.0,3.0213685035705566,1.0
5,2025-02-20 22:06:44.350840,3.0110628604888916,96.1318264380637,96.1506881966572,2.97542723785569,35.050231105841,1,1,1.0,3.016186475753784,1.0
6,2025-02-20 22:07:33.145868,3.0059971809387207,96.1341822855864,96.1530447352556,2.97542611750561,35.0489687251129,1,1,1.0,3.0110628604888916,1.0
7,2025-02-20 22:08:22.749437,3.0009894371032715,96.1364952064525,96.1553583346133,2.97542502578065,35.047729344105,1,1,1.0,3.0059971809387207,1.0
8,2025-02-20 22:09:11.657936,2.9960391521453857,96.1387723037378,96.1576360998892,2.97542394816316,35.0465091460377,1,1,1.0,3.0009894371032715,1.0
9,2025-02-20 22:09:58.955835,2.9911463260650635,96.1409983728484,96.1598628220288,2.975422895978,35.0453162830127,1,1,1.0,2.9960391521453857,1.0
10,2025-02-20 22:10:49.324398,2.976238965988159,96.5758871826452,96.5948793521755,2.975216593809,34.8120869112017,1,1,1.0,2.9911463260650635,1.0
11,2025-02-20 22:11:39.851462,2.961408853530884,96.5854198075844,96.604414779831,2.97521206712669,34.8069704782384,1,1,1.0,2.976238965988159,1.0
12,2025-02-20 22:12:29.246762,2.9466564655303955,96.5948742001522,96.6138719523178,2.97520756635278,34.8018957552904,1,1,1.0,2.961408853530884,1.0
13,2025-02-20 22:13:17.164630,2.9354751110076904,96.0369079088544,96.0557418305739,2.97547214906335,35.1010837677544,1,1,1.0,2.9466564655303955,1.0
