iteration,timestamp,T5,T7,PU8F,PU10F,PU11F,J302,J306,J307,J317,PU8,PU10,PU11,ScadaCommand_PU8,T5S,ScadaCommand_PU10,T7S,ScadaCommand_PU11
0,2025-02-20 22:02:32.410117,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.0,2.5,0.0
1,2025-02-20 22:03:26.301700,1.0542067289352417,2.3851161003112793,38.1695207664858,0.0,0.0,29.2594356592844,85.4205892582137,29.2594356592868,57.5879337925315,1,0,0,1.0,1.0542067289352417,0.0,2.3851161003112793,0.0
2,2025-02-20 22:04:18.793765,1.1065096855163574,2.270519495010376,37.4649097256832,0.0,0.0,27.1038331635542,84.59273788985,27.1038331635568,57.4918935899874,1,0,0,1.0,1.1065096855163574,0.0,2.270519495010376,0.0
3,2025-02-20 22:05:07.263350,1.1587661504745483,2.153568983078003,37.4476827704141,0.0,0.0,27.1026596524973,84.6236794575016,27.1026596524998,57.3701167655841,1,0,0,1.0,1.1587661504745483,0.0,2.153568983078003,0.0
4,2025-02-20 22:05:56.277769,1.210976004600525,2.036879539489746,37.4304679724832,0.0,0.0,27.101517790602,84.6546045804626,27.1015177906047,57.2715770674398,1,0,0,1.0,1.210976004600525,0.0,2.036879539489746,0.0
5,2025-02-20 22:06:46.722929,1.2631394863128662,1.9204483032226562,37.4132711152744,0.0,0.0,27.1004119758098,84.6855154166665,27.1004119758124,57.1732655447079,1,0,0,1.0,1.2631394863128662,0.0,1.9204483032226562,0.0
6,2025-02-20 22:07:35.524494,1.3152564764022827,1.8042733669281006,37.3960922632447,0.0,0.0,27.0993423628442,84.7164120606091,27.0993423628467,57.0749782826241,1,0,0,1.0,1.3152564764022827,0.0,1.8042733669281006,0.0
7,2025-02-20 22:08:24.940640,1.367327094078064,1.6883525848388672,37.3789313988921,0.0,0.0,27.0983088614159,84.7472945088012,27.0983088614184,56.9767156458562,1,0,0,1.0,1.367327094078064,0.0,1.6883525848388672,0.0
8,2025-02-20 22:09:13.975779,1.4193514585494995,1.5726838111877441,37.3617884765341,0.0,0.0,27.0973112941898,84.778162722893,27.0973112941924,56.8784815963173,1,0,0,1.0,1.4193514585494995,0.0,1.5726838111877441,0.0
9,2025-02-20 22:10:01.733969,1.4713295698165894,1.45726478099823,37.3446635576332,0.0,0.0,27.096349815757,84.8090167970795,27.0963498157596,56.7802765088494,1,0,0,1.0,1.4713295698165894,1.0,1.45726478099823,0.0
10,2025-02-20 22:10:51.828739,1.5177273750305176,1.5043299198150635,35.2793493695856,30.8322113143771,0.0,20.890314605845,82.3808234344394,20.7782735758709,68.0525535638465,1,1,0,1.0,1.5177273750305176,1.0,1.5043299198150635,0.0
11,2025-02-20 22:11:42.295294,1.5640782117843628,1.548603892326355,35.2619204665011,30.8240549513808,0.0,20.8861021221768,82.4069038294098,20.7741156520494,68.0753573008372,1,1,0,1.0,1.5640782117843628,1.0,1.548603892326355,0.0
12,2025-02-20 22:12:31.828524,1.610382318496704,1.5927653312683105,35.2446594758105,30.8140511167802,0.0,20.8823781894756,82.433148129652,20.7704590262676,68.1050846967779,1,1,0,1.0,1.610382318496704,1.0,1.5927653312683105,0.0
13,2025-02-20 22:13:19.761390,1.6646676063537598,1.6558098793029785,35.0034324801876,30.6652947726428,0.0,21.2735694174294,83.2413494281853,21.1626488167707,68.99184622226,1,1,0,1.0,1.6646676063537598,1.0,1.6558098793029785,0.0
14,2025-02-20 22:14:09.934023,1.7189017534255981,1.7165299654006958,34.9845548246426,30.6552737882564,0.0,21.2728126726201,83.2731045792586,21.161959200915,69.0243603804444,1,1,0,1.0,1.7189017534255981,1.0,1.7165299654006958,0.0
15,2025-02-20 22:14:59.095158,1.7730854749679565,1.777100682258606,34.9658609981151,30.6431249443415,0.0,21.272597392082,83.3050461441281,21.1618252714286,69.0644545712401,1,1,0,1.0,1.7730854749679565,1.0,1.777100682258606,0.0
16,2025-02-20 22:15:45.220928,1.8272186517715454,1.8375234603881836,34.9471824338288,30.6310261227138,0.0,21.2724071957445,83.3369671426755,21.1617160611217,69.1043818422799,1,1,0,1.0,1.8272186517715454,1.0,1.8375234603881836,0.0
17,2025-02-20 22:16:34.265437,1.8813014030456543,1.897798776626587,34.9285217030937,30.6189455337437,0.0,21.2722499472575,83.3688707596244,21.1616396535023,69.1442594086956,1,1,0,1.0,1.8813014030456543,1.0,1.897798776626587,0.0
18,2025-02-20 22:17:23.655770,1.9353338479995728,1.9579269886016846,34.9098786402263,30.6068827506162,0.0,21.2721251144658,83.4007568114704,21.1615955112591,69.1840881898175,1,1,0,1.0,1.9353338479995728,1.0,1.9579269886016846,0.0
19,2025-02-20 22:18:15.614625,1.9893159866333008,2.017909049987793,34.8912534447735,30.5948381452651,0.0,21.272033236688,83.4326255511225,21.1615841749023,69.2238675979358,1,1,0,1.0,1.9893159866333008,1.0,2.017909049987793,0.0
20,2025-02-20 22:19:07.980908,2.043247699737549,2.077744960784912,34.8726460077592,30.5828115358172,0.0,21.2719739560139,83.4644768643733,21.1616052896015,69.2635979830767,1,1,0,1.0,2.043247699737549,1.0,2.077744960784912,0.0
21,2025-02-20 22:20:00.015059,2.0971293449401855,2.1374359130859375,34.8540562694198,30.570802956779,0.0,21.2719470536705,83.4963106956328,21.1616586311384,69.3032791091081,1,1,0,1.0,2.0971293449401855,1.0,2.1374359130859375,0.0
22,2025-02-20 22:20:49.151107,2.150960683822632,2.19698166847229,34.8354844412324,30.5588127093451,0.0,21.2719531066837,83.5281273117144,21.1617447847892,69.3429106700455,1,1,0,1.0,2.150960683822632,1.0,2.19698166847229,0.0
23,2025-02-20 22:21:37.234679,2.204741954803467,2.2563834190368652,34.8169302080504,30.5468404277453,0.0,21.2719911524841,83.5599263537774,21.161862778892,69.3824930046008,1,1,0,1.0,2.204741954803467,1.0,2.2563834190368652,0.0
24,2025-02-20 22:22:28.827020,2.2584731578826904,2.315641403198242,34.7983937225459,30.5348862114723,0.0,21.2720615989091,83.591708018665,21.1620130318037,69.4220263042126,1,1,0,1.0,2.2584731578826904,1.0,2.315641403198242,0.0
25,2025-02-20 22:23:17.142071,2.3149971961975098,2.378997325897217,34.6782504292348,30.5062586434426,0.0,21.3695979329534,83.8944830077427,21.259740353399,69.6139682035591,1,1,0,1.0,2.3149971961975098,1.0,2.378997325897217,0.0
26,2025-02-20 22:24:03.696726,2.371469020843506,2.4406440258026123,34.6589800749147,30.4956250640237,0.0,21.3702479418182,83.9279655138383,21.2604612839904,69.6496650331379,1,1,0,1.0,2.371469020843506,1.0,2.4406440258026123,0.0
27,2025-02-20 22:24:51.212943,2.427889108657837,2.502143144607544,34.6398453467404,30.483440180733,0.0,21.3712952660057,83.9615769008219,21.2615898359743,69.6908442253343,1,1,0,1.0,2.427889108657837,1.0,2.502143144607544,0.0
28,2025-02-20 22:25:39.342210,2.484257698059082,2.563494920730591,34.6207268551846,30.4712909021278,0.0,21.3723706637996,83.9951683102236,21.262746201078,69.7319089965988,1,1,0,1.0,2.484257698059082,1.0,2.563494920730591,0.0
29,2025-02-20 22:26:28.285770,2.540574550628662,2.6247003078460693,34.6016258497604,30.4591599694875,0.0,21.3734779790581,84.0287413249569,21.2639343261956,69.7729229266086,1,1,0,1.0,2.540574550628662,1.0,2.6247003078460693,0.0
