iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J1S_LEVEL,J2S_LEVEL,P2_FLOW,P2_STATUS,P1_FLOW,P1_STATUS,V13_FLOW,V13_STATUS,V24_FLOW,V24_STATUS
0,2025-07-10 18:37:13.783730,3.0509999999999993,3.0509999999999993,73.03060823140058,73.02651683262431,54.14618120101543,54.34596896749173,54.14668632587885,54.14618120102486,54.34596896751681,,11.673690390818047,1.0,,11.458045458765454,1.0
1,2025-07-10 18:37:24.487780,2.9941153809638483,3.01142048427162,69.19306336117064,69.68478596241185,55.41491189559778,54.30687020936323,55.36192270397077,69.19306266233149,69.68478552984472,187.80595367081,1.0,213.72312594657515,1.0,233.7259334058217,1.0,144.6715650445185,1.0
2,2025-07-10 18:37:35.995979,3.135269958096452,3.179080930193504,69.2116278701766,69.7009116487677,55.54864528566073,54.474523480474126,55.49592827744355,69.21162717449762,69.7009112185073,186.956018788226,1.0,212.74464829086403,1.0,232.6690124448305,1.0,143.9000811774349,1.0
3,2025-07-10 18:37:47.417420,3.2759158546606404,3.345291749247383,69.23015947604611,69.71698415086802,55.68180148764272,54.6407272323328,55.62935936430327,69.23015878352466,69.71698372290352,186.10888708269815,1.0,211.76790485736254,1.0,231.6129838550296,1.0,143.1322189466755,1.0
4,2025-07-10 18:38:00.455470,3.416046794155074,3.510064075780017,69.2486573601292,69.73300363273202,55.81437581955497,54.80549259806994,55.76221123117008,69.24865667076234,69.73300320705265,185.26454990927917,1.0,210.79293879456893,1.0,230.55793455569074,1.0,142.367966763004,1.0
5,2025-07-10 18:38:12.269312,3.555656550711236,3.6734090301967544,69.26712100421756,69.74897008055204,55.9463637021635,54.96883069687431,55.89447924552223,69.26712031800228,69.74896965714701,184.42300799573104,1.0,209.81977741563657,1.0,229.5038877252864,1.0,141.6073130371842,1.0
6,2025-07-10 18:38:24.117639,3.6947389525958148,3.835337716928522,69.28554986285323,69.76488334623888,56.07776062673699,55.13075263195825,56.02615884475393,69.28554917978643,69.7648829250975,183.58426914737473,1.0,208.84844946995992,1.0,228.45088392614343,1.0,140.85024038536176,1.0
7,2025-07-10 18:38:36.226386,3.833287883274763,3.9958612220810763,69.30394320378927,69.78074352806885,56.20856213984557,55.2912694882159,56.157245521568896,69.30394252386765,69.78074310918039,182.74832818437133,1.0,207.87899355200338,1.0,227.39898689906113,1.0,140.09674880753664,1.0
8,2025-07-10 18:38:47.469105,3.9712972813793477,4.154990612888643,69.32230028962616,69.7965503930666,56.33876386221078,55.45039233166283,56.28773484213236,69.32229961284622,69.79654997642044,181.91519738612806,1.0,206.91144852780764,1.0,226.34824879560256,1.0,139.3468151252364,1.0
9,2025-07-10 18:38:58.368507,4.108761142012452,4.312736934187152,69.34062069009565,69.81230402021188,56.46836152084875,55.608132205929856,56.417622477072236,69.34062001645393,69.81230360579738,181.0848725898658,1.0,205.94583707547562,1.0,225.29867541038584,1.0,138.600439338461,1.0
