iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J1S_LEVEL,J2S_LEVEL,P2_FLOW,P2_STATUS,P1_FLOW,P1_STATUS,V13_FLOW,V13_STATUS,V24_FLOW,V24_STATUS,plc3AttackerUnit,plc2AttackerUnit
0,2025-08-02 13:19:42.356646,3.0509999999999993,3.0509999999999993,73.03060823140058,73.02651683262431,54.14618120101543,54.34596896749173,54.14668632587885,54.14618120102486,54.34596896751681,,11.673690390818047,1.0,,11.458045458765454,1.0,0,0
1,2025-08-02 13:19:55.574993,2.9941153809638483,3.01142048427162,69.19306336117064,69.68478596241185,55.41491189559778,54.30687020936323,55.36192270397077,69.19306266233149,69.68478552984472,187.80595367081,1.0,213.72312594657515,1.0,233.7259334058217,1.0,144.6715650445185,1.0,0,0
2,2025-08-02 13:20:08.007734,3.135269958096452,3.179080930193504,69.2116278701766,69.7009116487677,55.54864528566073,54.474523480474126,55.49592827744355,69.21162717449762,69.7009112185073,186.956018788226,1.0,212.74464829086403,1.0,232.6690124448305,1.0,143.9000811774349,1.0,0,0
3,2025-08-02 13:20:21.163068,3.2759158546606404,3.345291749247383,69.23015947604611,69.71698415086802,55.68180148764272,54.6407272323328,55.62935936430327,69.23015878352466,69.71698372290352,186.10888708269815,1.0,211.76790485736254,1.0,231.6129838550296,1.0,143.1322189466755,1.0,0,0
4,2025-08-02 13:20:33.625666,3.416046794155074,3.510064075780017,69.2486573601292,69.73300363273202,55.81437581955497,54.80549259806994,55.76221123117008,69.24865667076234,69.73300320705265,185.26454990927917,1.0,210.79293879456893,1.0,230.55793455569074,1.0,142.367966763004,1.0,0,0
5,2025-08-02 13:20:47.098380,3.555656550711236,3.6734090301967544,69.26712100421756,69.74897008055204,55.9463637021635,54.96883069687431,55.89447924552223,69.26712031800228,69.74896965714701,184.42300799573104,1.0,209.81977741563657,1.0,229.5038877252864,1.0,141.6073130371842,1.0,0,0
6,2025-08-02 13:21:00.581872,3.6947389525958148,3.835337716928522,69.28554986285323,69.76488334623888,56.07776062673699,55.13075263195825,56.02615884475393,69.28554917978643,69.7648829250975,183.58426914737473,1.0,208.84844946995992,1.0,228.45088392614343,1.0,140.85024038536176,1.0,0,0
7,2025-08-02 13:21:14.053736,3.833287883274763,3.9958612220810763,69.30394320378927,69.78074352806885,56.20856213984557,55.2912694882159,56.157245521568896,69.30394252386765,69.78074310918039,182.74832818437133,1.0,207.87899355200338,1.0,227.39898689906113,1.0,140.09674880753664,1.0,0,0
8,2025-08-02 13:21:26.634010,3.9712972813793477,4.154990612888643,69.32230028962616,69.7965503930666,56.33876386221078,55.45039233166283,56.28773484213236,69.32229961284622,69.79654997642044,181.91519738612806,1.0,206.91144852780764,1.0,226.34824879560256,1.0,139.3468151252364,1.0,0,0
9,2025-08-02 13:21:39.728444,4.108761142012452,4.312736934187152,69.34062069009565,69.81230402021188,56.46836152084875,55.608132205929856,56.417622477072236,69.34062001645393,69.81230360579738,181.0848725898658,1.0,205.94583707547562,1.0,225.29867541038584,1.0,138.600439338461,1.0,0,0
10,2025-08-02 13:21:52.199035,4.245673520261724,4.469111209146497,69.35890384135074,69.82800450386618,56.59735090779533,55.76450013298295,56.5469041618479,69.35890317084352,69.82800409167277,180.257348822087,1.0,204.98218891363413,1.0,224.25034786806464,1.0,137.857598268738,1.0,0,0
11,2025-08-02 13:22:04.861376,4.382028531636652,4.624124437391202,69.37714893547195,69.84365165142928,56.72572786966482,55.91950711123505,56.675575686707504,69.37714826809538,69.8436512414464,179.43263623414921,1.0,204.0205466252108,1.0,223.20330673096578,1.0,137.1182919160674,1.0,0,0
12,2025-08-02 13:22:16.502193,4.517820351764768,4.777787591124595,69.48060516033985,69.94068059467558,57.10050682107539,56.07322883852995,57.04895939339095,69.48060450072992,69.94068018559489,174.31854175994394,1.0,198.56769008346683,1.0,220.60575906152735,1.0,136.81655456139197,1.0,0,0
13,2025-08-02 13:22:28.098700,4.670200001097113,4.943734018072115,69.50070736214245,69.95770601388165,57.24106372794502,56.23916871833166,57.189918525546524,69.50070670600574,69.95770560717881,173.42118475110047,1.0,197.50816541259488,1.0,219.44414673498613,1.0,136.02128378693124,1.0,0,0
14,2025-08-02 13:22:40.360933,4.821817853859303,5.108346345722986,69.52076687912708,69.97468427047455,57.38085546935331,56.40377458521216,57.33011286648451,69.52076622645825,69.97468386614078,172.52631353722913,1.0,196.45089052600892,1.0,218.28431915082547,1.0,135.2289566784748,1.0,0,0
15,2025-08-02 13:22:52.314919,4.9726704488629565,5.271633084718664,69.54078392176676,69.9916156331028,57.5198803987334,56.567054948826765,57.469540712954284,69.54078327256046,69.99161523112929,171.63391395870173,1.0,195.3958543303283,1.0,217.12628210366347,1.0,134.4395674414045,1.0,0,0
16,2025-08-02 13:23:04.551179,5.122754380806144,5.433602705130694,69.56075778737699,70.00849988581506,57.65813673464503,56.72901827829372,57.60820023208084,69.56075714162782,70.00849948619303,170.74399739764473,1.0,194.34309386187138,1.0,215.97004718273638,1.0,133.6531160757204,1.0,0,0
17,2025-08-02 13:23:16.074082,5.272066303574879,5.594263644190669,69.58068803097704,70.0253372149733,57.79562278438061,56.88967300990866,57.74608967865875,69.58068738867941,70.02533681769403,169.85655403149232,1.0,193.29263257419274,1.0,214.81568392346162,1.0,132.86958519756809,1.0,0,0
18,2025-08-02 13:23:27.667467,5.4206029329502785,5.753624308195757,69.60057409882914,70.04212723803809,57.93233690590738,57.04902754901953,57.8832073584804,69.6005734599774,70.04212684309284,168.971604022716,1.0,192.24449965309185,1.0,213.66320970969355,1.0,132.0889748069476,1.0,0,0
19,2025-08-02 13:23:40.181185,5.568361046697315,5.911693068020015,69.6204156848753,70.05887014313384,58.0682775459678,57.207090265573456,58.0195516651366,69.62041504946374,70.05886975051388,168.08913745585934,1.0,191.19871122993516,1.0,212.51264192528652,1.0,131.3112849038589,1.0,0,0
20,2025-08-02 13:23:50.994086,5.715337487187784,6.068478262054162,69.64021221967712,70.07556565278301,58.20344318649076,57.36386949702257,58.155121028343906,69.64021158769991,70.07556526247961,167.2091689559018,1.0,190.15529731805154,1.0,211.3640327218036,1.0,130.5365096936839,1.0,0,0
21,2025-08-02 13:24:03.453417,5.861529160351423,6.223988191963419,69.65996339324106,70.09221391208905,58.33783240005621,57.519373544112014,58.28991396747668,69.65996276469222,70.09221352409357,166.33169087489196,1.0,189.11427425624322,1.0,210.21741107233538,1.0,129.76463179256825,1.0,0,0
22,2025-08-02 13:24:15.358336,6.006933038396377,6.378231124843119,69.67966865429403,70.10881477074653,58.47144379745862,57.67361067301031,58.42392904101299,69.6796680291676,70.10881438505027,165.45671113496226,1.0,188.07567110039787,1.0,209.07280015535434,1.0,128.99565699513005,1.0,0,0
23,2025-08-02 13:24:26.823312,6.151546158897571,6.531215289956266,69.69932751067773,70.12536819467708,58.60427605910827,57.82658911206202,58.557164876829475,69.6993268889675,70.12536781127142,164.5842315322785,1.0,187.0395137906581,1.0,207.93025212242355,1.0,128.22956791751494,1.0,0,0
24,2025-08-02 13:24:38.496302,6.295365626058365,6.682948878680529,69.67943046570848,70.10411461011718,58.626570254244314,57.9782880616253,58.5805446064905,69.67942984527592,70.10411422963227,165.70444201503096,1.0,188.0882252815372,1.0,207.50293959849841,1.0,127.25272857892378,1.0,0,0
25,2025-08-02 13:24:49.928990,6.430541795634046,6.82692114705454,69.69805939432787,70.1198354133691,58.75169718753211,58.122255012621025,58.70603035450827,69.6980587771304,70.11983503506235,164.87584726432118,1.0,187.10635226792482,1.0,206.4209685033802,1.0,126.52424657289885,1.0,0,0
26,2025-08-02 13:25:02.828539,6.5650020367863515,6.969670267697099,69.71664090451145,70.13550520466325,58.87610170259697,58.26499889426199,58.83079423835833,69.71664029054294,70.13550482852533,164.04994119559404,1.0,186.12697853290388,1.0,205.3410429084579,1.0,125.79888207142176,1.0,0,0
27,2025-08-02 13:25:14.692463,6.6987426458036925,7.1112054792516375,69.73517482206971,70.15112443568789,58.99978223759684,58.406528944099584,58.95483462510742,69.7351742113239,70.15112406170954,163.22670000176026,1.0,185.15011325746295,1.0,204.26321496529454,1.0,125.07661769063816,1.0,0,0
28,2025-08-02 13:25:26.160096,6.831760019501033,7.2515359507456765,67.85154112434317,63.74811733678282,58.93144678513793,58.54666965928677,58.893779358539575,67.8515405717293,63.74811709587202,0.0,0.0,284.4305997048782,1.0,184.8210543073492,1.0,80.57233384079154,1.0,0,0
29,2025-08-02 13:25:38.699227,6.94952466669788,7.338629876984783,67.87424077880617,63.797132797554674,59.03241380557212,58.63376377530148,58.99536133492265,67.87424022881574,63.79713255759778,0.0,0.0,283.234171365337,1.0,183.94365061567441,1.0,80.25329955103189,1.0,0,0
30,2025-08-02 13:25:50.464102,7.065941151521896,7.42579052789902,67.89688845692307,63.846151565944744,59.1326240974646,58.720924525311034,59.09616620693859,67.89688790954301,63.846151326946575,0.0,0.0,282.04048253769275,1.0,183.07061606606112,1.0,79.93265435743524,1.0,0,0
31,2025-08-02 13:26:01.943126,7.181044320681986,7.512986003202364,58.388807978044255,58.43369364162421,58.3886961179166,58.8079118612159,58.38870669301532,58.388807976797665,58.433693699792464,0.0,0.0,0.0,0.0,0.4169198763293025,1.0,-19.454303280213026,1.0,0,0
32,2025-08-02 13:26:13.676713,7.1446101375086295,7.449641684698676,58.34711494307259,58.38718471436467,58.347118057183486,58.74456999504335,58.34714387351915,58.34711494325376,58.387184771105176,0.0,0.0,0.0,0.0,-0.060591424357880896,1.0,-18.9767948768349,1.0,0,0
33,2025-08-02 13:26:24.663268,7.107035896212806,7.387437423920164,58.30448192244662,58.34030327594262,58.30464103098465,58.682367977710335,58.30468635539266,58.304481923954405,58.3403033313565,0.0,0.0,0.0,0.0,-0.5042766417773237,1.0,-18.53310965941546,1.0,0,0
34,2025-08-02 13:26:37.582916,7.0684028846257885,7.326291933080031,58.2608919383332,58.2929953331084,58.261369502386096,58.62122453122287,58.26143723381747,58.260891941062695,58.292995387300586,0.0,0.0,0.0,0.0,-0.912875446488215,1.0,-18.124510854704567,1.0,0,0
35,2025-08-02 13:26:49.636203,7.0287912752099375,7.266125039972208,58.21648108410589,58.245329443513114,58.2173856831218,58.56105950013648,58.21747770753876,58.2164810879596,58.24532949658106,0.0,0.0,0.0,0.0,-1.2888708323544051,1.0,-17.74850967422026,1.0,0,0
36,2025-08-02 13:27:02.609223,6.988276401055493,7.206861417587207,58.25365775308458,58.28659919452529,58.25213628420514,58.501820740131556,58.25212109931596,58.253657747981805,58.286599237673954,0.0,0.0,0.0,0.0,1.7066193390746776,1.0,-14.43101836855476,1.0,0,0
37,2025-08-02 13:27:14.472115,6.967393689511075,7.1610540542184475,58.22804658081707,58.25610710534654,58.227322673500936,58.456015616223574,58.22732009780722,58.22804657740007,58.2561071468094,0.0,0.0,0.0,0.0,1.1428116880551897,1.0,-13.867204922917153,1.0,0,0
38,2025-08-02 13:27:26.293273,6.94513155011616,7.116626117214899,58.20151145794621,58.2253800535791,58.20127730025121,58.41158968147265,58.20127794205815,58.20151145608842,58.22538009348278,0.0,0.0,0.0,0.0,0.6213366197016512,1.0,-13.345735649181734,1.0,0,0
39,2025-08-02 13:27:38.959544,6.921604442968594,7.073463152372189,58.174155289192804,58.194440291943245,58.174140316910794,58.36842850000841,58.17414809442729,58.17415528877122,58.19444033041072,0.0,0.0,0.0,0.0,0.14100044268161582,1.0,-12.865402369470758,1.0,0,0
40,2025-08-02 13:27:51.752241,6.8969234332144875,7.031454085545398,58.1459980347867,58.163248968329434,58.146057789382134,58.326421012699385,58.14607789530621,58.14599803567539,58.163249005486634,0.0,0.0,0.0,0.0,-0.2972204498519204,1.0,-12.427181476937221,1.0,0,0
41,2025-08-02 13:28:04.137930,6.8711973994952364,6.9904900440760604,67.92618902992378,63.873164706715805,59.07720895049944,58.28568687898548,59.0408228495233,67.92618847969311,63.87316445631001,0.0,0.0,280.49614026763817,1.0,184.02399299588978,1.0,83.74792364065797,1.0,0,0
42,2025-08-02 13:28:16.779446,6.997613096200652,7.097807364625102,67.95202442036761,63.9315400160741,59.18877504290993,58.39300306423004,59.15289373811995,67.9520238730218,63.93153976685497,0.0,0.0,279.1344370161412,1.0,183.0591601060405,1.0,83.3510444510921,1.0,0,0
43,2025-08-02 13:28:30.070760,7.122905013295736,7.204790015397957,67.97778752083,63.98974514196321,59.29952365538197,58.49998454639995,59.26413729955495,67.97778697635678,63.989744893931594,0.0,0.0,277.7765439452184,1.0,182.09842980581925,1.0,82.9538813252384,1.0,0,0
44,2025-08-02 13:28:43.819748,7.247087988669523,7.311427246350255,58.4780755181322,58.485114006493475,58.4803820998146,58.60640050805579,58.480509125241475,58.47807552452043,58.48511403815112,0.0,0.0,0.0,0.0,-2.1365365438441586,1.0,-10.587862485635924,1.0,0,0
45,2025-08-02 13:28:56.721349,7.216919055953457,7.2749061064173235,58.44593194304295,58.45222813314642,58.44859529815915,58.56987993704282,58.4487367561565,58.44593194994703,58.452228164288194,0.0,0.0,0.0,0.0,-2.3090626064004027,1.0,-10.415330628461561,1.0,0,0
46,2025-08-02 13:29:08.554471,7.186328463175431,7.238806627559595,58.41357990831198,58.41925950178345,58.41657380253152,58.53378095106938,58.41672846472267,58.413579915666254,58.419259532475046,0.0,0.0,0.0,0.0,-2.4596270662868847,1.0,-10.264769065884138,1.0,0,0
47,2025-08-02 13:29:20.080053,7.155369137116861,7.203075876952856,58.38105748448945,58.386223961228886,58.38435369615745,58.498050627003316,58.38452032094736,58.381057492235826,58.3862239915284,0.0,0.0,0.0,0.0,-2.590765068930523,1.0,-10.133636857858619,1.0,0,0
48,2025-08-02 13:29:31.910828,7.12408807509581,7.167666859488207,58.174318750054,58.18086543944625,58.191884597036335,58.46259969936351,58.192681082560924,58.17431876917279,58.180865489348164,0.0,0.0,0.0,0.0,-6.394256790827058,1.0,-16.689635926923074,1.0,0,0
49,2025-08-02 13:29:43.065418,7.063150814113231,7.107616577028286,58.113724577053475,58.12033662368918,58.1312124822889,58.402549338017145,58.13200600829218,58.11372459612646,58.120336673636864,0.0,0.0,0.0,0.0,-6.378938717830351,1.0,-16.704945307992602,1.0,0,0
