iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,J41_LEVEL,J2U_LEVEL,J42_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V41_FLOW,V41_STATUS,V_U_FLOW,V_U_STATUS,V42_FLOW,V42_STATUS,plc4AttackerUnit
0,48:33.8,3.051,3.051,-15.24,-15.24,-15.24,-15.24,-15.24,-66.535,-15.24,-15.24,1450,1,1450,1,80.06348878,1,55.59964498,1,80.06348878,1,0
1,48:37.6,3.191577836,3.218631196,69.19931725,69.68925762,55.46338459,54.34645005,55.41070385,4.11570346,69.19931655,54.34644958,187.5702666,1,213.393503,1,131.2534372,1,233.3389572,1,156.5123717,1,0
2,48:42.4,3.331654674,3.384806802,69.21785287,69.70538166,55.59667844,54.51407404,55.54426506,4.249264668,69.21785218,54.51407357,186.7204182,1,212.4165478,1,130.7856696,1,232.2843077,1,155.1533281,1,0
3,48:47.8,3.471224151,3.549538026,69.23635594,69.72145253,55.72940116,54.68024254,55.6772579,4.382257506,69.23635525,54.68024208,185.8733726,1,211.4413085,1,130.3119595,1,231.2305333,1,153.8047524,1,0
4,48:52.6,3.610279955,3.712836083,69.25482556,69.73747009,55.86154801,54.84496678,55.80967757,4.514677182,69.25482487,54.84496632,185.0291368,1,210.4678321,1,129.8323564,1,230.1776975,1,152.4666447,1,0
5,48:57.2,3.748815817,3.874712147,69.27326128,69.75343436,55.99311415,55.00825795,55.94151919,4.646518804,69.2732606,55.0082575,184.1877097,1,209.4961424,1,129.3469065,1,229.1258237,1,151.1389702,1,0
6,49:02.2,3.88682554,4.035177388,69.29166241,69.76934527,56.12409521,55.17012723,56.07277833,4.777777941,69.29166173,55.17012678,183.3490948,1,208.5262762,1,128.8556648,1,228.0749755,1,149.8217289,1,0
7,49:07.3,4.024302965,4.194242962,69.31002848,69.78520286,56.25448642,55.33058579,56.20345016,4.90844978,69.3100278,55.33058535,182.5132908,1,207.5582575,1,128.3586749,1,227.0251935,1,148.5148948,1,0
8,49:12.5,4.161242003,4.351919996,69.3283587,69.80100701,56.38428347,55.48964479,56.33353033,5.038529945,69.32835802,55.48964435,181.6803027,1,206.5921286,1,127.8559976,1,225.976524,1,147.2184591,1,0
9,49:17.8,4.297636613,4.508219597,69.34665246,69.81675772,56.51348187,55.64731535,56.46301428,5.168013901,69.34665179,55.64731492,180.8501321,1,205.6279211,1,127.3476821,1,224.929002,1,145.9323899,1,0
