iteration,timestamp,T1,PU1F,PU2F,J280,J269,PU1,PU2
0,2025-02-20 01:19:11.394259,3.0,0.0,0.0,0.0,0.0,0,1
1,2025-02-20 01:20:37.442898,3.0319082736968994,90.6913592701852,90.708647656574,2.97794059526657,37.935620892361,1,1
2,2025-02-20 01:22:06.505705,3.026608943939209,96.124506279897,96.143365891218,2.97543070109329,35.0541535176825,1,1
3,2025-02-20 01:23:36.316665,3.0213685035705566,96.1269822082158,96.145842545806,2.97542952606938,35.0528268358188,1,1
4,2025-02-20 01:25:03.460549,3.016186475753784,96.1294274953153,96.1482885501999,2.97542837347213,35.0515165625884,1,1
5,2025-02-20 01:26:33.066817,3.0110628604888916,96.1318264380637,96.1506881966572,2.97542723785569,35.050231105841,1,1
6,2025-02-20 01:27:58.445260,3.0009894371032715,96.1341822855864,96.1530447352556,2.97542611750561,35.0489687251129,1,1
7,2025-02-20 01:29:27.270670,2.9960391521453857,96.1364952064525,96.1553583346133,2.97542502578065,35.047729344105,1,1
8,2025-02-20 01:30:50.587492,2.9960391521453857,96.1387723037378,96.1576360998892,2.97542394816316,35.0465091460377,1,1
9,2025-02-20 01:32:19.053477,2.9911463260650635,96.1409983728484,96.1598628220288,2.975422895978,35.0453162830127,1,1
10,2025-02-20 01:33:40.661643,2.976238965988159,96.5758871826452,96.5948793521755,2.975216593809,34.8120869112017,1,1
11,2025-02-20 01:35:07.131352,2.961408853530884,96.5854198075844,96.604414779831,2.97521206712669,34.8069704782384,1,1
12,2025-02-20 01:36:35.482635,2.9466564655303955,96.5948742001522,96.6138719523178,2.97520756635278,34.8018957552904,1,1
13,2025-02-20 01:38:00.499451,2.924368143081665,96.0369079088544,96.0557418305739,2.97547214906335,35.1010837677544,1,1
14,2025-02-20 01:39:26.306782,2.924368143081665,96.0431870250091,96.0620227877627,2.97546918152143,35.0977203232694,1,1
15,2025-02-20 01:40:48.663713,2.9133362770080566,96.049382261204,96.0682198404866,2.97546625064057,35.0944016899578,1,1
16,2025-02-20 01:42:17.817594,2.902379035949707,96.055531893525,96.074371276022,2.97546334085799,35.09110740997,1,1
17,2025-02-20 01:43:40.359817,2.891496181488037,96.0616341961238,96.0804753680137,2.97546045217271,35.087838408214,1,1
18,2025-02-20 01:45:03.359941,2.880687713623047,96.0676958932807,96.0865388427121,2.97545758623189,35.0845910890334,1,1
19,2025-02-20 01:46:30.603478,2.869952917098999,96.0737015612873,96.0925462718852,2.97545474731712,35.0813737135526,1,1
20,2025-02-20 01:47:58.311895,2.8592917919158936,96.0796650359465,96.0985114953914,2.97545192231378,35.0781788651549,1,1
21,2025-02-20 01:49:23.785568,2.8487040996551514,96.0855818557777,96.1044300504407,2.97544912411981,35.0750089461647,1,1
22,2025-02-20 01:50:49.994256,2.8381893634796143,96.0914442990956,96.1102942130822,2.97544634964487,35.0718680884586,1,1
23,2025-02-20 01:52:18.586795,2.817377805709839,96.0972663884362,96.1161180099626,2.97544359420183,35.0687487832003,1,1
24,2025-02-20 01:53:44.381421,2.817377805709839,96.1030479275094,96.1219012447334,2.97544085975901,35.0656511386727,1,1
25,2025-02-20 01:55:11.182499,2.8079872131347656,95.9722092483795,95.9910242036436,2.97550274752728,35.1357358317258,1,1
26,2025-02-20 01:56:39.324820,2.789418935775757,95.977114615194,95.99593100823,2.97550043366898,35.1331088795326,1,1
27,2025-02-20 01:58:10.653478,2.789418935775757,95.9819515790559,96.0007693898686,2.9754981438213,35.1305184800089,1,1
28,2025-02-20 01:59:35.502178,2.7802412509918213,95.986748787237,96.0055680042081,2.97549587746149,35.1279493302818,1,1
29,2025-02-20 02:01:00.154620,2.7711341381073,95.9915004655972,96.0103210754155,2.97549362808978,35.1254045143587,1,1
30,2025-02-20 02:02:23.545707,2.7620973587036133,95.996209531666,96.0150315218742,2.97549139931988,35.1228824760537,1,1
31,2025-02-20 02:03:48.663244,2.7531306743621826,96.0008665774593,96.0196899328416,2.9754891979806,35.1203882575996,1,1
32,2025-02-20 02:06:32.973755,2.740673542022705,96.0100495416089,96.0288755889963,2.97548485405759,35.1154699203274,1,1
33,2025-02-20 02:08:00.528993,2.735650062561035,95.9970788460584,96.0159010911122,2.97549098976996,35.1224168729856,1,1
34,2025-02-20 02:09:26.460903,2.7272720336914062,95.999595500301,96.0184184830862,2.97548979964034,35.1210690102255,1,1
35,2025-02-20 02:10:54.571471,2.7107274532318115,96.0037002001029,96.0225243861575,2.97548785856625,35.1188706016461,1,1
36,2025-02-20 02:12:18.179382,2.7055861949920654,96.0077653904712,96.0265907682465,2.97548593604066,35.1166933097849,1,1
37,2025-02-20 02:13:43.891401,2.7005133628845215,95.6159735042598,95.6346841421969,2.97567089177437,35.3263830317104,1,1
38,2025-02-20 02:15:04.270223,2.7005133628845215,95.6173415012862,95.6360525394481,2.97567024981613,35.325651408362,1,1
39,2025-02-20 02:16:32.374308,2.695510149002075,95.6186423347375,95.6373537534788,2.975669635957,35.3249556961702,1,1
40,2025-02-20 02:17:57.039754,2.6905760765075684,95.6198977787536,95.6386095647972,2.97566904723172,35.3242842597411,1,1
