iteration,timestamp,T3,T2,T4,V2F,J300,J256,J289,J415,J14,J422,PU4F,PU5F,PU6F,PU7F,V2,PU4,PU5,PU6,PU7
0,2025-02-20 01:19:22.953996,3.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,2025-02-20 01:20:48.860406,2.974067449569702,0.457247770407408,2.519460916519165,0.0,23.6336732573104,72.2754936997427,23.5956261309489,84.1087246521853,41.476266604968,24.9975874598627,0.0,0.0,0.0,48.3306496010354,0,0,0,0,1
2,2025-02-20 01:22:19.505650,3.0169243812561035,0.478502148584515,2.5623056888580322,107.004626275739,25.3474095787215,89.2158434237574,25.4088312091633,84.6187764612602,28.4457043028914,27.5457031511094,33.9499967943179,0.0,0.0,49.0271586152767,1,1,0,0,1
3,2025-02-20 01:23:47.574013,3.0597620010375977,0.499652667445341,2.5623056888580322,106.875981824743,25.3646389554403,89.2487212464663,25.4260109437272,84.6390359814364,28.4617958810072,27.5617947306099,33.9403918246179,0.0,0.0,49.0255310452592,1,1,0,0,1
4,2025-02-20 01:25:14.285049,3.1025803089141846,0.52069965868737,2.5837209224700928,106.747825897997,25.3818004343074,89.2815515045745,25.4431229584075,84.659276647085,28.4778254832858,27.577824334268,33.9309200540522,0.0,0.0,49.0238775769434,1,1,0,0,1
5,2025-02-20 01:26:43.881399,3.1453795433044434,0.54164365702398,2.6051316261291504,106.620222880906,25.3988976509437,89.3143452021391,25.4601706434402,84.6794895882802,28.4937955503912,27.5937944027469,33.9214285368627,0.0,0.0,49.022204672334,1,1,0,0,1
6,2025-02-20 01:28:10.717112,3.23091983795166,0.562485192167357,2.626537322998047,106.493175992739,25.4159308070378,89.3471023914431,25.4771542229146,84.699703235228,28.5097059600602,27.6097048137834,33.9119172950433,0.0,0.0,49.0204974206648,1,1,0,0,1
7,2025-02-20 01:29:37.422263,3.23091983795166,0.583224787459561,2.6479382514953613,106.366682819043,25.4328997156575,89.3798229783337,25.4940734797786,84.719879176692,28.525556822068,27.6255556771527,33.9023862535092,0.0,0.0,49.0187760035378,1,1,0,0,1
8,2025-02-20 01:31:02.367965,3.2736611366271973,0.603862966496277,2.6693344116210938,106.240741750184,25.4498047785937,89.4125071012895,25.5109288331201,84.7400389205977,28.5413483301,27.6413471865404,33.8928355525084,0.0,0.0,49.017029272235,1,1,0,0,1
9,2025-02-20 01:32:30.800148,3.316382884979248,0.624400256845225,2.690725326538086,106.11535359098,25.4666463291271,89.4451548524915,25.5277206033521,84.7601652950922,28.5570810087449,27.6570798665349,33.8832653190553,0.0,0.0,49.0152664686755,1,1,0,0,1
10,2025-02-20 01:33:52.251403,3.359035015106201,0.64303621121905,2.712038516998291,103.903920203209,25.4163542285125,89.4516314406365,25.4772810685051,84.7619357962575,28.489578189153,27.5895770707466,33.8488661443397,0.0,0.0,48.9876529402521,1,1,0,0,1
11,2025-02-20 01:35:18.361280,3.401665687561035,0.66154783870425,2.733344078063965,103.750184760401,25.4306937188129,89.4832507017589,25.4915672654783,84.7813365359578,28.5025936694466,27.602592552695,33.8383897633558,0.0,0.0,48.9849466845073,1,1,0,0,1
12,2025-02-20 01:36:46.744305,3.444275379180908,0.679935740473501,2.7546417713165283,103.597102024622,25.4449692168984,89.5148324352438,25.5057893914454,84.8006945267201,28.5155516063821,27.6155504912782,33.8278917351159,0.0,0.0,48.9822287885095,1,1,0,0,1
13,2025-02-20 01:38:12.341192,3.4889702796936035,0.700753000554352,2.8044397830963135,104.981229654584,25.57174944202,90.3850522560467,25.6314275260319,86.6161857982589,28.6357851936961,27.7357840636937,33.3733249371495,0.0,0.0,48.0745767896894,1,1,0,0,1
14,2025-02-20 01:39:38.260036,3.533643960952759,0.721458096787526,2.8542020320892334,104.831449890014,25.5884074162877,90.418513838149,25.6480478800469,86.6559591559048,28.651039959675,27.7510388312848,33.3629700821712,0.0,0.0,48.061953228156,1,1,0,0,1
15,2025-02-20 01:41:00.691037,3.5782968997955322,0.742051613337028,2.903928756713867,104.682280177144,25.6050074016135,90.4519397835849,25.6646101857687,86.6956965678453,28.6662429438133,27.7662418170287,33.3525959027456,0.0,0.0,48.0493096913746,1,1,0,0,1
16,2025-02-20 01:42:28.966324,3.6229286193847656,0.762534079616399,2.9536197185516357,104.533690737725,25.6215370320821,90.4853250540399,25.6811020226444,86.7353464137621,28.6813809562282,27.781379831043,33.3421997019325,0.0,0.0,48.0366701776543,1,1,0,0,1
17,2025-02-20 01:43:51.094044,3.667539119720459,0.782906049075648,3.003274917602539,104.385696863289,25.6379980115658,90.518670318661,25.6975251683503,86.7749993882097,28.6964550387542,27.796453915162,33.3317820935592,0.0,0.0,48.023986162434,1,1,0,0,1
18,2025-02-20 01:45:14.994654,3.7121286392211914,0.803168094023898,3.0528945922851562,104.238296944203,25.6543908949685,90.5519757640916,25.7138801171599,86.8145778524072,28.7114666503668,27.8114655283612,33.3213432821897,0.0,0.0,48.011300241537,1,1,0,0,1
19,2025-02-20 01:46:42.958415,3.756696939468384,0.823320762491315,3.10247802734375,104.091499028641,25.6707151422598,90.585241151891,25.7301663450798,86.8541028496668,28.7264148188562,27.8264136984307,33.31088305897,0.0,0.0,47.9986006475997,1,1,0,0,1
20,2025-02-20 01:48:08.672222,3.801244020462036,0.84336463221972,3.1520259380340576,103.945286215435,25.6869723274025,90.6184670930282,25.7463854517353,86.8936043449706,28.7413010884609,27.8412999696092,33.3004019955039,0.0,0.0,47.9858718547655,1,1,0,0,1
21,2025-02-20 01:49:34.405529,3.8457696437835693,0.863300245102161,3.201537609100342,103.799667357578,25.7031611392248,90.6516530277997,25.7625360927029,86.933042191992,28.7561241992417,27.8561230819574,33.2898996052985,0.0,0.0,47.9731350383577,1,1,0,0,1
22,2025-02-20 01:51:03.063249,3.8902740478515625,0.883128164110282,3.2510135173797607,103.654641650252,25.719282785164,90.684799427486,25.778619496253,86.9724408501642,28.7708853036158,27.8708841878926,33.2793763200882,0.0,0.0,47.9603774891313,1,1,0,0,1
23,2025-02-20 01:52:28.147309,3.9347572326660156,0.902848933632541,3.3004534244537354,103.510201850099,25.7353368044727,90.7179060703435,25.7946351963422,87.0117941898322,28.7855838224496,27.8855827082811,33.2688319696509,0.0,0.0,47.9476022758688,1,1,0,0,1
24,2025-02-20 01:53:55.877946,3.9792187213897705,0.922463123062453,3.3498570919036865,103.366346347485,25.7513244161987,90.7509734276926,25.8105844147355,87.0511037395727,28.800221174048,27.9002200614279,33.2582669935034,0.0,0.0,47.9348092102515,1,1,0,0,1
