iteration,timestamp,T7,T5,PU8F,PU10F,PU11F,J302,J306,J307,J317,PU8,PU10,PU11
0,2025-02-20 01:19:15.295088,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,2025-02-20 01:20:41.235622,2.3851161003112793,1.0542067289352417,38.1695207664858,0.0,0.0,29.2594356592844,85.4205892582137,29.2594356592868,57.5879337925315,1,0,0
2,2025-02-20 01:22:10.228637,2.270519495010376,1.1065096855163574,37.4649097256832,0.0,0.0,27.1038331635542,84.59273788985,27.1038331635568,57.4918935899874,1,0,0
3,2025-02-20 01:23:39.093585,2.153568983078003,1.1587661504745483,37.4476827704141,0.0,0.0,27.1026596524973,84.6236794575016,27.1026596524998,57.3701167655841,1,0,0
4,2025-02-20 01:25:09.062291,2.036879539489746,1.2631394863128662,37.4304679724832,0.0,0.0,27.101517790602,84.6546045804626,27.1015177906047,57.2715770674398,1,0,0
5,2025-02-20 01:26:35.766470,1.9204483032226562,1.2631394863128662,37.4132711152744,0.0,0.0,27.1004119758098,84.6855154166665,27.1004119758124,57.1732655447079,1,0,0
6,2025-02-20 01:28:02.988519,1.6883525848388672,1.3152564764022827,37.3960922632447,0.0,0.0,27.0993423628442,84.7164120606091,27.0993423628467,57.0749782826241,1,0,0
7,2025-02-20 01:29:31.111905,1.6883525848388672,1.367327094078064,37.3789313988921,0.0,0.0,27.0983088614159,84.7472945088012,27.0983088614184,56.9767156458562,1,0,0
8,2025-02-20 01:30:55.865575,1.5726838111877441,1.4713295698165894,37.3617884765341,0.0,0.0,27.0973112941898,84.778162722893,27.0973112941924,56.8784815963173,1,0,0
9,2025-02-20 01:32:22.778685,1.45726478099823,1.4713295698165894,37.3446635576332,0.0,0.0,27.096349815757,84.8090167970795,27.0963498157596,56.7802765088494,1,0,0
10,2025-02-20 01:33:45.468494,1.5043299198150635,1.5177273750305176,35.2793493695856,30.8322113143771,0.0,20.890314605845,82.3808234344394,20.7782735758709,68.0525535638465,1,1,0
11,2025-02-20 01:35:11.214469,1.548603892326355,1.5640782117843628,35.2619204665011,30.8240549513808,0.0,20.8861021221768,82.4069038294098,20.7741156520494,68.0753573008372,1,1,0
