iteration,timestamp,T3,T2,T4,V2F,J300,J256,J289,J415,J14,J422,PU4F,PU5F,PU6F,PU7F,V2,PU4,PU5,PU6,PU7
0,2025-02-15 21:53:04.153697,3.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,2025-02-15 21:54:25.648461,2.974067449569702,0.457247770407408,2.519460916519165,0.0,23.6336732573104,72.2754936997427,23.5956261309489,84.1087246521853,41.476266604968,24.9975874598627,0.0,0.0,0.0,48.3306496010354,0,0,0,0,1
2,2025-02-15 21:55:57.531043,3.0169243812561035,0.478502148584515,2.5408856868743896,107.004626275739,25.3474095787215,89.2158434237574,25.4088312091633,84.6187764612602,28.4457043028914,27.5457031511094,33.9499967943179,0.0,0.0,49.0271586152767,1,1,0,0,1
3,2025-02-15 21:57:27.527395,3.0597620010375977,0.499652667445341,2.5623056888580322,106.875981824743,25.3646389554403,89.2487212464663,25.4260109437272,84.6390359814364,28.4617958810072,27.5617947306099,33.9403918246179,0.0,0.0,49.0255310452592,1,1,0,0,1
4,2025-02-15 21:58:54.762770,3.1025803089141846,0.52069965868737,2.5837209224700928,106.747825897997,25.3818004343074,89.2815515045745,25.4431229584075,84.659276647085,28.4778254832858,27.577824334268,33.9309200540522,0.0,0.0,49.0238775769434,1,1,0,0,1
5,2025-02-15 22:00:25.246457,3.1453795433044434,0.54164365702398,2.6051316261291504,106.620222880906,25.3988976509437,89.3143452021391,25.4601706434402,84.6794895882802,28.4937955503912,27.5937944027469,33.9214285368627,0.0,0.0,49.022204672334,1,1,0,0,1
6,2025-02-15 22:01:53.957385,3.188159227371216,0.562485192167357,2.626537322998047,106.493175992739,25.4159308070378,89.3471023914431,25.4771542229146,84.699703235228,28.5097059600602,27.6097048137834,33.9119172950433,0.0,0.0,49.0204974206648,1,1,0,0,1
7,2025-02-15 22:03:21.081727,3.23091983795166,0.583224787459561,2.6479382514953613,106.366682819043,25.4328997156575,89.3798229783337,25.4940734797786,84.719879176692,28.525556822068,27.6255556771527,33.9023862535092,0.0,0.0,49.0187760035378,1,1,0,0,1
8,2025-02-15 22:04:52.016480,3.2736611366271973,0.603862966496277,2.6693344116210938,106.240741750184,25.4498047785937,89.4125071012895,25.5109288331201,84.7400389205977,28.5413483301,27.6413471865404,33.8928355525084,0.0,0.0,49.017029272235,1,1,0,0,1
9,2025-02-15 22:06:23.963299,3.316382884979248,0.624400256845225,2.690725326538086,106.11535359098,25.4666463291271,89.4451548524915,25.5277206033521,84.7601652950922,28.5570810087449,27.6570798665349,33.8832653190553,0.0,0.0,49.0152664686755,1,1,0,0,1
