iteration,timestamp,T2,T3,T4,V2F,J300,J256,J289,J415,J14,J422,PU4F,PU5F,PU6F,PU7F,V2,PU4,PU5,PU6,PU7,ScadaCommand_V2,T2S,ScadaCommand_PU4,T3S,ScadaCommand_PU5,ScadaCommand_PU6,T4S,ScadaCommand_PU7
0,2025-02-20 22:02:37.242721,0.5,3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.5,0.0,3.0,0.0,0.0,2.5,1.0
1,2025-02-20 22:03:30.307830,0.457247770407408,2.974067449569702,2.519460916519165,0.0,23.6336732573104,72.2754936997427,23.5956261309489,84.1087246521853,41.476266604968,24.9975874598627,0.0,0.0,0.0,48.3306496010354,0,0,0,0,1,0.0,0.5,0.0,2.974067449569702,0.0,0.0,2.519460916519165,1.0
2,2025-02-20 22:04:21.798300,0.478502148584515,3.0169243812561035,2.5408856868743896,107.004626275739,25.3474095787215,89.2158434237574,25.4088312091633,84.6187764612602,28.4457043028914,27.5457031511094,33.9499967943179,0.0,0.0,49.0271586152767,1,1,0,0,1,1.0,0.47850215435028076,1.0,3.0169243812561035,0.0,0.0,2.5408856868743896,1.0
3,2025-02-20 22:05:10.763555,0.499652667445341,3.0597620010375977,2.5623056888580322,106.875981824743,25.3646389554403,89.2487212464663,25.4260109437272,84.6390359814364,28.4617958810072,27.5617947306099,33.9403918246179,0.0,0.0,49.0255310452592,1,1,0,0,1,1.0,0.47850215435028076,1.0,3.0597620010375977,0.0,0.0,2.5623056888580322,1.0
4,2025-02-20 22:06:00.751049,0.52069965868737,3.1025803089141846,2.5837209224700928,106.747825897997,25.3818004343074,89.2815515045745,25.4431229584075,84.659276647085,28.4778254832858,27.577824334268,33.9309200540522,0.0,0.0,49.0238775769434,1,1,0,0,1,1.0,0.4996526539325714,1.0,3.1025803089141846,0.0,0.0,2.5837209224700928,1.0
5,2025-02-20 22:06:49.752375,0.54164365702398,3.1453795433044434,2.6051316261291504,106.620222880906,25.3988976509437,89.3143452021391,25.4601706434402,84.6794895882802,28.4937955503912,27.5937944027469,33.9214285368627,0.0,0.0,49.022204672334,1,1,0,0,1,1.0,0.520699679851532,1.0,3.1453795433044434,0.0,0.0,2.6051316261291504,1.0
6,2025-02-20 22:07:39.249157,0.562485192167357,3.188159227371216,2.626537322998047,106.493175992739,25.4159308070378,89.3471023914431,25.4771542229146,84.699703235228,28.5097059600602,27.6097048137834,33.9119172950433,0.0,0.0,49.0204974206648,1,1,0,0,1,1.0,0.5416436791419983,1.0,3.188159227371216,0.0,0.0,2.626537322998047,1.0
7,2025-02-20 22:08:28.123233,0.583224787459561,3.23091983795166,2.6479382514953613,106.366682819043,25.4328997156575,89.3798229783337,25.4940734797786,84.719879176692,28.525556822068,27.6255556771527,33.9023862535092,0.0,0.0,49.0187760035378,1,1,0,0,1,1.0,0.5624852180480957,1.0,3.23091983795166,0.0,0.0,2.6479382514953613,1.0
8,2025-02-20 22:09:17.066025,0.603862966496277,3.2736611366271973,2.6693344116210938,106.240741750184,25.4498047785937,89.4125071012895,25.5109288331201,84.7400389205977,28.5413483301,27.6413471865404,33.8928355525084,0.0,0.0,49.017029272235,1,1,0,0,1,1.0,0.5832247734069824,1.0,3.2736611366271973,0.0,0.0,2.6693344116210938,1.0
9,2025-02-20 22:10:05.226725,0.624400256845225,3.316382884979248,2.690725326538086,106.11535359098,25.4666463291271,89.4451548524915,25.5277206033521,84.7601652950922,28.5570810087449,27.6570798665349,33.8832653190553,0.0,0.0,49.0152664686755,1,1,0,0,1,1.0,0.6038629412651062,1.0,3.316382884979248,0.0,0.0,2.690725326538086,1.0
10,2025-02-20 22:10:56.739785,0.64303621121905,3.359035015106201,2.712038516998291,103.903920203209,25.4163542285125,89.4516314406365,25.4772810685051,84.7619357962575,28.489578189153,27.5895770707466,33.8488661443397,0.0,0.0,48.9876529402521,1,1,0,0,1,1.0,0.62440025806427,1.0,3.359035015106201,0.0,0.0,2.712038516998291,1.0
11,2025-02-20 22:11:45.176215,0.66154783870425,3.401665687561035,2.733344078063965,103.750184760401,25.4306937188129,89.4832507017589,25.4915672654783,84.7813365359578,28.5025936694466,27.602592552695,33.8383897633558,0.0,0.0,48.9849466845073,1,1,0,0,1,1.0,0.6430361866950989,1.0,3.401665687561035,0.0,0.0,2.733344078063965,1.0
12,2025-02-20 22:12:35.054869,0.679935740473501,3.444275379180908,2.7546417713165283,103.597102024622,25.4449692168984,89.5148324352438,25.5057893914454,84.8006945267201,28.5155516063821,27.6155504912782,33.8278917351159,0.0,0.0,48.9822287885095,1,1,0,0,1,1.0,0.661547839641571,1.0,3.444275379180908,0.0,0.0,2.7546417713165283,1.0
13,2025-02-20 22:13:23.125642,0.700753000554352,3.4889702796936035,2.8044397830963135,104.981229654584,25.57174944202,90.3850522560467,25.6314275260319,86.6161857982589,28.6357851936961,27.7357840636937,33.3733249371495,0.0,0.0,48.0745767896894,1,1,0,0,1,1.0,0.6799357533454895,1.0,3.4889702796936035,0.0,0.0,2.8044397830963135,1.0
14,2025-02-20 22:14:13.500517,0.721458096787526,3.533643960952759,2.8542020320892334,104.831449890014,25.5884074162877,90.418513838149,25.6480478800469,86.6559591559048,28.651039959675,27.7510388312848,33.3629700821712,0.0,0.0,48.061953228156,1,1,0,0,1,1.0,0.7007529735565186,1.0,3.533643960952759,0.0,0.0,2.8542020320892334,1.0
15,2025-02-20 22:15:02.112610,0.742051613337028,3.5782968997955322,2.903928756713867,104.682280177144,25.6050074016135,90.4519397835849,25.6646101857687,86.6956965678453,28.6662429438133,27.7662418170287,33.3525959027456,0.0,0.0,48.0493096913746,1,1,0,0,1,1.0,0.7420516014099121,1.0,3.5782968997955322,0.0,0.0,2.903928756713867,1.0
16,2025-02-20 22:15:48.404568,0.762534079616399,3.6229286193847656,2.9536197185516357,104.533690737725,25.6215370320821,90.4853250540399,25.6811020226444,86.7353464137621,28.6813809562282,27.781379831043,33.3421997019325,0.0,0.0,48.0366701776543,1,1,0,0,1,1.0,0.7420516014099121,1.0,3.6229286193847656,0.0,0.0,2.9536197185516357,1.0
17,2025-02-20 22:16:37.832874,0.782906049075648,3.667539119720459,3.003274917602539,104.385696863289,25.6379980115658,90.518670318661,25.6975251683503,86.7749993882097,28.6964550387542,27.796453915162,33.3317820935592,0.0,0.0,48.023986162434,1,1,0,0,1,1.0,0.7829060554504395,1.0,3.667539119720459,0.0,0.0,3.003274917602539,1.0
18,2025-02-20 22:17:27.247408,0.803168094023898,3.7121286392211914,3.0528945922851562,104.238296944203,25.6543908949685,90.5519757640916,25.7138801171599,86.8145778524072,28.7114666503668,27.8114655283612,33.3213432821897,0.0,0.0,48.011300241537,1,1,0,0,1,1.0,0.8031681180000305,1.0,3.7121286392211914,0.0,0.0,3.0528945922851562,1.0
19,2025-02-20 22:18:19.767246,0.823320762491315,3.756696939468384,3.10247802734375,104.091499028641,25.6707151422598,90.585241151891,25.7301663450798,86.8541028496668,28.7264148188562,27.8264136984307,33.31088305897,0.0,0.0,47.9986006475997,1,1,0,0,1,1.0,0.8031681180000305,1.0,3.756696939468384,0.0,0.0,3.10247802734375,1.0
20,2025-02-20 22:19:11.460373,0.84336463221972,3.801244020462036,3.1520259380340576,103.945286215435,25.6869723274025,90.6184670930282,25.7463854517353,86.8936043449706,28.7413010884609,27.8412999696092,33.3004019955039,0.0,0.0,47.9858718547655,1,1,0,0,1,1.0,0.8433646559715271,1.0,3.801244020462036,0.0,0.0,3.1520259380340576,1.0
21,2025-02-20 22:20:03.498546,0.863300245102161,3.8457696437835693,3.201537609100342,103.799667357578,25.7031611392248,90.6516530277997,25.7625360927029,86.933042191992,28.7561241992417,27.8561230819574,33.2898996052985,0.0,0.0,47.9731350383577,1,1,0,0,1,1.0,0.8633002638816833,1.0,3.8457696437835693,0.0,0.0,3.201537609100342,1.0
22,2025-02-20 22:20:51.651075,0.883128164110282,3.8902740478515625,3.2510135173797607,103.654641650252,25.719282785164,90.684799427486,25.778619496253,86.9724408501642,28.7708853036158,27.8708841878926,33.2793763200882,0.0,0.0,47.9603774891313,1,1,0,0,1,1.0,0.8633002638816833,1.0,3.8902740478515625,0.0,0.0,3.2510135173797607,1.0
23,2025-02-20 22:21:40.402349,0.902848933632541,3.9347572326660156,3.3004534244537354,103.510201850099,25.7353368044727,90.7179060703435,25.7946351963422,87.0117941898322,28.7855838224496,27.8855827082811,33.2688319696509,0.0,0.0,47.9476022758688,1,1,0,0,1,1.0,0.8831281661987305,1.0,3.9347572326660156,0.0,0.0,3.3004534244537354,1.0
24,2025-02-20 22:22:31.560112,0.922463123062453,3.9792187213897705,3.3498570919036865,103.366346347485,25.7513244161987,90.7509734276926,25.8105844147355,87.0511037395727,28.800221174048,27.9002200614279,33.2582669935034,0.0,0.0,47.9348092102515,1,1,0,0,1,1.0,0.9028489589691162,1.0,3.9792187213897705,0.0,0.0,3.3498570919036865,1.0
25,2025-02-20 22:23:19.426117,0.942716129522293,4.025552272796631,3.400827169418335,103.559947622614,25.8033619994088,91.5520908605089,25.860209149912,87.2126067708563,28.845707735348,27.945706620644,32.7910521529004,0.0,0.0,47.8734618428455,1,1,0,0,1,1.0,0.9224631190299988,1.0,4.025552272796631,0.0,0.0,3.400827169418335,1.0
26,2025-02-20 22:24:07.391888,0.962864879971896,4.071863174438477,3.4517600536346436,103.417861108966,25.8198793049772,91.586173912201,25.8766867274453,87.2530959855386,28.8608771483164,27.9608760351418,32.7800053832133,0.0,0.0,47.8602824416972,1,1,0,0,1,1.0,0.942716121673584,1.0,4.071863174438477,0.0,0.0,3.4517600536346436,1.0
27,2025-02-20 22:24:55.332028,0.98290989445838,4.118151664733887,3.5026559829711914,103.276340382052,25.8363392377759,91.6202202256714,25.893106851008,87.2935147696437,28.875994965376,27.9759938537247,32.7689400796056,0.0,0.0,47.8471014979337,1,1,0,0,1,1.0,0.9829099178314209,1.0,4.118151664733887,0.0,0.0,3.5026559829711914,1.0
28,2025-02-20 22:25:42.828036,1.00285171145314,4.164417743682861,3.553514242172241,103.135382222604,25.8527341137348,91.6542266043127,25.9094618570198,87.3339004626223,28.8910525772377,27.9910514671037,32.7578546609498,0.0,0.0,47.8338971770975,1,1,0,0,1,1.0,0.9829099178314209,1.0,4.164417743682861,0.0,0.0,3.553514242172241,1.0
29,2025-02-20 22:26:31.530112,1.0226908574101,4.2106614112854,3.6043355464935303,102.994995483613,25.8690637088214,91.6881929410665,25.9257515152362,87.3742455128171,28.9060497150794,28.0060486064565,32.7467490297182,0.0,0.0,47.8206734635679,1,1,0,0,1,1.0,1.0028517246246338,1.0,4.2106614112854,0.0,0.0,3.6043355464935303,1.0
30,2025-02-20 22:27:20.994595,1.04242787516871,4.256882190704346,3.6551194190979004,102.855173726539,25.885328915263,91.7221195707681,25.9419767192607,87.4145502179795,28.9209874054798,28.0209862983619,32.7356235134897,0.0,0.0,47.8074306620516,1,1,0,0,1,1.0,1.042427897453308,1.0,4.256882190704346,0.0,0.0,3.6551194190979004,1.0
31,2025-02-20 22:28:09.827328,1.06206328952199,4.303081035614014,3.7058660984039307,102.715922585105,25.9015291775359,91.7560062518387,25.9581368907955,87.4547866791509,28.9358651890876,28.0358640834686,32.7244778914887,0.0,0.0,47.7941837770177,1,1,0,0,1,1.0,1.0620633363723755,1.0,4.303081035614014,0.0,0.0,3.7058660984039307,1.0
32,2025-02-20 22:29:47.592766,1.08943594616548,4.3678717613220215,3.777012586593628,102.439117662442,25.9337370405926,91.823660547965,25.9902643725219,87.5351333036951,28.9654425689774,28.0654414663378,32.7021271135807,0.0,0.0,47.7676357960982,1,1,0,0,1,1.0,1.0894359350204468,1.0,4.3678717613220215,0.0,0.0,3.777012586593628,1.0
33,2025-02-20 22:30:37.420860,1.10104505950377,4.395405292510986,3.807239294052124,102.456782602758,25.9425414013362,91.8382447582759,25.999055822395,87.5520361500019,28.9742727258824,28.0742716230527,32.698478754851,0.0,0.0,47.7631646610033,1,1,0,0,1,1.0,1.0894359350204468,1.0,4.395405292510986,0.0,0.0,3.807239294052124,1.0
34,2025-02-20 22:31:26.383783,1.12044280968547,4.441537857055664,3.8578760623931885,102.375640897776,25.9521293201653,91.8584052235297,26.0086197587743,87.5759752807545,28.9830870427958,28.0830859408395,32.6918087455837,0.0,0.0,47.755245433337,1,1,0,0,1,1.0,1.10104501247406,1.0,4.441537857055664,0.0,0.0,3.8578760623931885,1.0
35,2025-02-20 22:32:14.986066,1.13974250498684,4.48764705657959,3.908475399017334,102.240314851514,25.9681745050845,91.8921759234853,26.0246247293908,87.6160753059432,28.9978412597331,28.0978401592335,32.6806226635863,0.0,0.0,47.7419670288019,1,1,0,0,1,1.0,1.1204428672790527,1.0,4.48764705657959,0.0,0.0,3.908475399017334,1.0
36,2025-02-20 22:33:04.157576,1.1589445848266,4.533734321594238,3.9590370655059814,102.105477329502,25.9841591711414,91.9259084194953,26.040569109961,87.6561227490787,29.0125394503538,28.1125383513056,32.6694166711136,0.0,0.0,47.7286764331649,1,1,0,0,1,1.0,1.1589446067810059,1.0,4.533734321594238,0.0,0.0,3.9590370655059814,1.0
37,2025-02-20 22:33:56.934020,1.17998905575383,4.58194637298584,4.0276031494140625,102.908076798286,26.0902980096631,92.8596220669677,26.1450069121638,89.1081259102385,29.108646264846,28.2086451571586,32.1418843439404,0.0,0.0,46.976030765169,1,1,0,0,1,1.0,1.1799890995025635,1.0,4.58194637298584,0.0,0.0,4.0276031494140625,1.0
38,2025-02-20 22:34:47.834061,1.20094516995531,4.630135536193848,4.096114635467529,102.777485493647,26.1081716320422,92.8950177356879,26.1628492023604,89.1603282573444,29.1251992625899,28.2251981563082,32.1306095530057,0.0,0.0,46.9565943788625,1,1,0,0,1,1.0,1.1799890995025635,1.0,4.630135536193848,0.0,0.0,4.096114635467529,1.0
39,2025-02-20 22:35:36.585710,1.22181344289109,4.678301811218262,4.1645708084106445,102.647446293844,26.1259966721067,92.930379473305,26.1806428529174,89.2124677467873,29.1417090725827,28.2417079677007,32.1193185040563,0.0,0.0,46.9371468204613,1,1,0,0,1,1.0,1.221813440322876,1.0,4.678301811218262,0.0,0.0,4.1645708084106445,1.0
40,2025-02-20 22:36:28.187047,1.24259436099927,4.726445198059082,4.232972145080566,102.517936663986,26.1437659113261,92.9657043003184,26.1983806349278,89.2645434468337,29.1581676856498,28.2581665821619,32.1080107178019,0.0,0.0,46.917690909441,1,1,0,0,1,1.0,1.2425943613052368,1.0,4.726445198059082,0.0,0.0,4.232972145080566,1.0
41,2025-02-20 22:37:18.336082,1.26328843032127,4.774566173553467,4.301319122314453,102.388954189621,26.1614805282525,93.0009926760407,26.2160637457813,89.3165769540004,29.1745762383524,28.2745751362529,32.0966866373153,0.0,0.0,46.8982150722797,1,1,0,0,1,1.0,1.2425943613052368,1.0,4.774566173553467,0.0,0.0,4.301319122314453,1.0
